match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_ownGoals,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_challengeLost,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_bigChanceMissed,stat_hitWoodwork,player_sofascoreId,stat_errorLeadToAShot,stat_goodHighClaim,stat_punches,stat_totalOffside
14064429,home,Nantes,Anthony Lopes,,,anthony-lopes,A. Lopes,G,1,184.0,1194,M,48535,EUR,654739200,G,1,1,False,22.0,14.0,13.0,5.0,0.0,12.0,15.0,2.0,7.0,7.0,1.0,1.0,90.0,26.0,6.5,8.0,0.0012622,0.0027,0,-0.9453,0.03,-0.04,-0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064429,home,Nantes,Kelvin Amian,,,kelvin-amian,K. Amian,D,98,179.0,199,M,802143,EUR,886896000,D,98,98,False,59.0,46.0,6.0,1.0,0.0,22.0,26.0,24.0,33.0,3.0,,,90.0,76.0,6.8,15.0,0.134797,,0,,0.33,0.04,-0.16,,True,3.0,2.0,2.0,4.0,4.0,7.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14064429,home,Nantes,Chidozie Awaziem,,,chidozie-awaziem,C. Awaziem,D,6,189.0,1826,M,804764,EUR,852076800,D,6,6,False,100.0,93.0,14.0,10.0,0.0,51.0,52.0,42.0,48.0,5.0,,,90.0,109.0,8.0,7.0,0.0706964,,1,,0.55,0.35,-0.65,,,,,3.0,1.0,5.0,3.0,,1.0,,,2.0,1.0,1.0,2.0,1.0,2.0,0.1443,0.7291,1.0,0.55,,,,,,,,,,,,,,
14064429,home,Nantes,Tylel Tati,,,tylel-tati,T. Tati,D,78,190.0,819,M,2193204,EUR,1200700800,D,78,78,False,89.0,82.0,7.0,4.0,0.0,51.0,53.0,31.0,36.0,1.0,,,90.0,98.0,7.0,7.0,0.0153008,,0,,0.23,0.24,-0.03,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,
14064429,home,Nantes,Nicolas Cozza,,,nicolas-cozza,N. Cozza,D,3,178.0,184,M,886286,EUR,915753600,D,3,3,False,56.0,46.0,6.0,4.0,0.0,25.0,27.0,21.0,29.0,5.0,,,90.0,78.0,6.3,15.0,0.0175559,,0,,0.05,0.06,-0.21,,,2.0,,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,,,3.0,,,,,,,1.0,1.0,,,,,,,,,,,,
14064429,home,Nantes,Dehmaine Tabibou,Dehmaine,Tabibou,dehmaine-assoumani,D. Tabibou,M,17,181.0,341,M,1405912,EUR,1113696000,M,17,17,False,26.0,21.0,6.0,2.0,0.0,7.0,9.0,14.0,17.0,8.0,,,81.0,49.0,6.9,14.0,0.0531603,,1,,0.03,0.3,-0.11,,,5.0,1.0,,1.0,8.0,9.0,4.0,,3.0,2.0,2.0,,,1.0,,3.0,0.0869,,,-0.31,2.0,1.0,2.0,2.0,1.0,,,,,,,,,
14064429,home,Nantes,Hyeok-kyu Kwon,,,hyeok-kyu-kwon,H. K. Kwon,M,8,190.0,664,M,1025895,EUR,984441600,M,5,5,False,33.0,29.0,1.0,,0.0,19.0,19.0,10.0,14.0,5.0,,,59.0,39.0,6.6,6.0,0.0107083,,1,,0.01,-0.17,0.31,,,1.0,,,,3.0,1.0,,,1.0,1.0,1.0,,,1.0,,,0.0296,,,-0.12,1.0,,1.0,,,1.0,1.0,,,,,,,
14064429,home,Nantes,Junior Mwanga,,,junior-mwanga,J. Mwanga,M,18,184.0,472,M,1197153,EUR,1052611200,M,80,80,False,40.0,36.0,3.0,1.0,0.0,16.0,16.0,20.0,24.0,2.0,,,90.0,53.0,6.9,7.0,0.227927,,1,,0.35,0.2,-0.05,,,,,2.0,,5.0,4.0,,,1.0,1.0,1.0,,,,,2.0,0.0589,,2.0,-0.06,2.0,3.0,1.0,1.0,1.0,,1.0,,,,,,,
14064429,home,Nantes,Mayckel Lahdo,Mayckel Lahdo,,mayckel-lahdo,M. Lahdo,F,23,171.0,500,M,1046028,EUR,1041206400,F,15,15,False,14.0,14.0,,,0.0,7.0,7.0,7.0,7.0,4.0,,,61.0,28.0,6.5,8.0,0.01485,,1,,-0.12,0.29,-0.05,,,1.0,,1.0,1.0,3.0,3.0,,,,,,,,,,1.0,0.0425,,1.0,-0.19,1.0,6.0,2.0,1.0,,1.0,,,,,,,,
14064429,home,Nantes,Youssef El Arabi,,,youssef-el-arabi,Y. E. Arabi,F,19,183.0,2462,M,45512,EUR,539308800,F,19,19,False,15.0,9.0,1.0,,0.0,3.0,4.0,6.0,11.0,2.0,,,59.0,22.0,5.9,10.0,0.0294754,,0,,-0.13,0.08,-0.11,,,,,3.0,,8.0,1.0,1.0,,,,3.0,,,1.0,,1.0,,,,,1.0,3.0,,,,,,,,,,,,
