match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_bigChanceMissed,stat_hitWoodwork,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_challengeLost,stat_totalContest,stat_dispossessed,stat_wonContest,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches
12530726,home,Trabzonspor,Uğurcan Çakır,ugurcan-cakir,U. Çakır,G,1,192,4886,M,754330,EUR,828662400,G,1,1,False,True,15.0,14.0,5.0,4.0,0.0,13.0,13.0,1.0,2.0,2.0,2.0,90.0,19.0,6.3,1.0,0.00172824,0,-1.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530726,home,Trabzonspor,Hüseyin Türkmen,huseyin-turkmen,H. Türkmen,D,4,183,128,M,913994,EUR,883612800,D,4,4,False,,46.0,42.0,4.0,2.0,0.0,22.0,22.0,23.0,29.0,1.0,,83.0,65.0,7.4,6.0,0.137311,1,,5.0,3.0,1.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.024,3.0,,,,,,,,,,,,,,,,,,,
12530726,home,Trabzonspor,John Lundstram,john-lundstram,J. Lundstram,M,5,181,401,M,149815,EUR,761529600,D,5,5,False,,79.0,72.0,9.0,6.0,0.0,34.0,36.0,38.0,43.0,7.0,,90.0,86.0,6.9,8.0,0.100076,2,,,,3.0,2.0,4.0,2.0,,2.0,,,,,,0.283,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12530726,home,Trabzonspor,Arseniy Batagov,arsenii-batahov,A. Batagov,D,44,185,941,M,981395,EUR,1015286400,D,44,44,False,,72.0,62.0,15.0,6.0,0.0,30.0,31.0,32.0,41.0,8.0,,90.0,83.0,6.5,11.0,0.025022,1,,,,1.0,1.0,3.0,3.0,,1.0,2.0,3.0,2.0,1.0,,0.1875,,1.0,,,,,,1.0,1.0,,,,,,,,,,,
12530726,home,Trabzonspor,Arif Boşluk,arif-bosluk,A. Boşluk,D,24,183,173,M,1138095,EUR,1054857600,D,77,77,False,,50.0,42.0,,,0.0,14.0,14.0,28.0,41.0,5.0,,90.0,75.0,7.0,16.0,0.075963,1,,5.0,,,1.0,5.0,7.0,,1.0,,3.0,3.0,2.0,2.0,0.0745,,,,1.0,3.0,Arif Bosluk,,,1.0,2.0,1.0,,,,,,,,,
12530726,home,Trabzonspor,Batista Mendy,batista-mendy,B. Mendy,M,19,191,1292,M,859021,EUR,947635200,M,6,6,False,,31.0,29.0,2.0,2.0,0.0,8.0,8.0,22.0,24.0,3.0,,68.0,38.0,6.7,3.0,0.0550803,1,,1.0,1.0,1.0,,4.0,,,1.0,,1.0,,,,0.1793,1.0,1.0,,1.0,2.0,,,1.0,,,,,,,,,,,,
12530726,home,Trabzonspor,Okay Yokuşlu,okay-yokuslu,O. Yokuşlu,M,5,190,809,M,97967,EUR,763171200,M,35,35,False,,56.0,50.0,3.0,2.0,0.0,28.0,30.0,23.0,28.0,12.0,,90.0,73.0,7.4,9.0,0.0518965,2,,2.0,1.0,,6.0,1.0,12.0,,2.0,2.0,1.0,5.0,5.0,1.0,0.2859,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,
12530726,home,Trabzonspor,Oleksandr Zubkov,oleksandr-zubkov,O. Zubkov,M,22,182,1318,M,353282,EUR,839030400,M,22,22,False,,39.0,29.0,3.0,1.0,0.0,11.0,12.0,19.0,35.0,5.0,,67.0,65.0,7.8,18.0,0.193514,6,,8.0,1.0,1.0,,4.0,5.0,,2.0,1.0,,,,3.0,0.6903,2.0,1.0,,,1.0,,,1.0,2.0,1.0,2.0,,3.0,1.0,1.0,1.1136,,,,
12530726,home,Trabzonspor,Edin Višća,edin-visca,E. Višća,M,7,172,1000,M,109779,EUR,635212800,M,7,7,False,,39.0,30.0,4.0,2.0,0.0,6.0,7.0,29.0,39.0,5.0,,90.0,61.0,7.9,16.0,0.561775,3,,7.0,5.0,,,3.0,2.0,2.0,1.0,,,1.0,,1.0,0.133,6.0,,,3.0,,,,2.0,,1.0,,,,2.0,,,,,,
12530726,home,Trabzonspor,Danylo Sikan,sikan-danylo,D. Sikan,F,14,185,1357,M,945479,EUR,987379200,M,14,14,False,,37.0,32.0,2.0,2.0,0.0,11.0,11.0,24.0,32.0,6.0,,90.0,66.0,7.9,15.0,0.647843,2,,6.0,3.0,2.0,4.0,8.0,11.0,1.0,,,1.0,5.0,2.0,1.0,0.0912,3.0,,,6.0,3.0,,,2.0,1.0,1.0,1.0,,1.0,1.0,,0.0151,,,,
