match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_shotOffTarget,stat_keyPass,stat_fouls,stat_bigChanceMissed,stat_goals,stat_bigChanceCreated,player_sofascoreId,stat_goodHighClaim,stat_outfielderBlock,stat_totalOffside
12528274,home,Trabzonspor,Uğurcan Çakır,ugurcan-cakir,U. Çakır,G,1,192,4886,M,754330,EUR,828662400,G,1,1,False,True,41.0,21.0,28.0,10.0,0.0,15.0,18.0,6.0,23.0,6.0,1.0,2.0,90.0,45.0,7.0,20.0,0.00407407,0,0.2614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528274,home,Trabzonspor,Pedro Malheiro,pedro-malheiro,P. Malheiro,D,79,179,416,M,1131249,EUR,980035200,D,79,79,False,,41.0,34.0,2.0,,0.0,20.0,21.0,14.0,21.0,10.0,,,90.0,69.0,7.0,14.0,0.0113453,3,,,,1.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,2.0,0.1308,0.0506,,,,,,,,,,,,,,,,,
12528274,home,Trabzonspor,Batista Mendy,batista-mendy,B. Mendy,M,19,191,1292,M,859021,EUR,947635200,D,6,6,False,,59.0,54.0,5.0,,0.0,36.0,38.0,19.0,25.0,6.0,,,90.0,79.0,7.8,10.0,0.0561198,1,,,,4.0,3.0,9.0,1.0,3.0,3.0,1.0,,1.0,1.0,1.0,0.0803,0.0427,1.0,1.0,1.0,1.0,3.0,2.0,2.0,,,,,,,,,,
12528274,home,Trabzonspor,John Lundstram,john-lundstram,J. Lundstram,M,5,181,401,M,149815,EUR,761529600,D,5,5,False,,71.0,63.0,13.0,8.0,0.0,42.0,44.0,21.0,27.0,4.0,,,90.0,78.0,7.2,8.0,0.0203982,1,,,,,2.0,3.0,,,,,,3.0,1.0,,0.0893,,,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,,
12528274,home,Trabzonspor,Eren Elmalı,eren-elmali,E. Elmalı,D,17,180,4102,M,981483,EUR,962928000,D,18,18,False,,47.0,37.0,1.0,,1.0,15.0,16.0,22.0,33.0,6.0,,,90.0,66.0,7.7,13.0,0.302729,0,,,,2.0,2.0,7.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,2.0,,1.0,1.0,3.0,,2.0,,,,,,,,
12528274,home,Trabzonspor,Okay Yokuşlu,okay-yokuslu,O. Yokuşlu,M,5,190,809,M,97967,EUR,763171200,M,35,35,False,,43.0,40.0,1.0,1.0,0.0,19.0,21.0,21.0,22.0,3.0,,,74.0,55.0,6.9,8.0,0.0219646,0,,,,,4.0,4.0,1.0,2.0,1.0,,,,2.0,3.0,,,,,,1.0,2.0,2.0,1.0,,,1.0,,,,,,,
12528274,home,Trabzonspor,Ozan Tufan,ozan-tufan,O. Tufan,M,11,182,2045,M,251907,EUR,795916800,M,11,11,False,,35.0,30.0,1.0,1.0,0.0,14.0,14.0,16.0,22.0,5.0,,,90.0,46.0,6.9,9.0,0.0958578,2,,,,1.0,8.0,5.0,2.0,,,1.0,1.0,,,1.0,0.4117,0.3342,,2.0,3.0,,2.0,2.0,,,2.0,4.0,1.0,,,,,,
12528274,home,Trabzonspor,Edin Višća,edin-visca,E. Višća,M,7,172,1000,M,109779,EUR,635212800,M,7,7,False,,31.0,25.0,4.0,3.0,0.0,5.0,7.0,21.0,31.0,2.0,,,89.0,50.0,8.0,14.0,0.129979,4,,,,7.0,2.0,1.0,,1.0,,1.0,,,1.0,1.0,0.4089,0.191,1.0,,,1.0,,,1.0,3.0,2.0,,1.0,1.0,,,,,
12528274,home,Trabzonspor,Muhammed-Cham Saračević,muhammed-cham-saracevic,M. Cham-Saračević,M,10,180,990,M,958901,EUR,969926400,M,10,10,False,,37.0,32.0,3.0,1.0,0.0,11.0,14.0,23.0,27.0,5.0,,,74.0,55.0,6.6,13.0,0.719268,1,,,,4.0,11.0,5.0,4.0,5.0,3.0,,1.0,,,,0.0187,,2.0,2.0,,,1.0,,1.0,,3.0,3.0,,,1.0,,,,
12528274,home,Trabzonspor,Denis Drăguş,denis-dragus,D. Drăguş,F,70,184,2440,M,841199,EUR,931219200,M,70,70,False,,30.0,24.0,3.0,,0.0,5.0,6.0,19.0,25.0,1.0,,,82.0,54.0,6.7,13.0,0.0373386,2,,,,1.0,9.0,9.0,3.0,4.0,3.0,,2.0,,,2.0,0.1388,,,,,1.0,5.0,1.0,1.0,,,4.0,,,,,,,
