match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,captain,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_aerialLost,stat_fouls,player_firstName,player_lastName,stat_totalCross,stat_totalTackle,stat_challengeLost,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyMiss,stat_penaltyWon,stat_crossNotClaimed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_penaltyConceded,stat_bigChanceCreated,stat_goalAssist,stat_totalOffside
10411596,home,Roma,Rui Patrício,rui-patricio,R. Patrício,G,190,3199,M,rpatricio1,17737,EUR,571881600,G,1,1,False,22.0,16.0,15.0,9.0,13.0,15.0,3.0,7.0,1.0,10.0,1.0,90.0,30.0,6.4,6.0,0.0,0.0,0.00066159,0,-0.5824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411596,home,Roma,Gianluca Mancini,gianluca-mancini,G. Mancini,D,190,4038,M,,611210,EUR,829699200,D,23,23,False,55.0,38.0,13.0,4.0,23.0,31.0,15.0,24.0,3.0,7.0,,90.0,70.0,7.0,18.0,0.2252,0.0,0.0433425,2,,23,True,8.0,1.0,12.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10411596,home,Roma,Chris Smalling,chris-smalling,C. Smalling,D,192,1660,M,,47741,EUR,627696000,D,6,6,False,31.0,26.0,2.0,1.0,16.0,20.0,10.0,11.0,4.0,8.0,,90.0,42.0,6.9,5.0,0.0,0.0,0.00273084,0,,5,,2.0,2.0,3.0,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10411596,home,Roma,Roger Ibañez,roger-ibanez,R. Ibañez,D,185,2299,M,,888949,EUR,911779200,D,3,3,False,45.0,38.0,6.0,3.0,21.0,22.0,17.0,24.0,1.0,7.0,,90.0,60.0,7.1,8.0,0.0,0.0,0.0387607,0,,3,,2.0,1.0,5.0,,,,,,,4.0,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
10411596,home,Roma,Zeki Çelik,zeki-celik,Z. Çelik,D,180,2880,M,,893008,EUR,856137600,M,19,19,False,44.0,34.0,4.0,1.0,18.0,22.0,16.0,25.0,2.0,4.0,,90.0,70.0,7.1,17.0,0.0,0.0,0.0518273,0,,19,,2.0,1.0,6.0,,,,,,1.0,,,,,,,3.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10411596,home,Roma,Bryan Cristante,bryan-cristante,B. Cristante,M,186,2731,M,,186855,EUR,794188800,M,4,4,False,45.0,33.0,10.0,4.0,19.0,24.0,15.0,23.0,,6.0,,69.0,51.0,6.3,13.0,0.0238,0.0,0.0142075,1,,4,,1.0,5.0,2.0,,1.0,1.0,,1.0,,,,,2.0,,,2.0,,3.0,,,1.0,1.0,,,,,,,,,,,,,,
10411596,home,Roma,Mady Camara,mady-camara,M. M. Camara,M,182,1756,M,,867546,EUR,857088000,M,20,20,False,24.0,18.0,1.0,,7.0,11.0,11.0,13.0,,4.0,,54.0,33.0,6.6,8.0,0.0,0.0,0.053607,0,,2,,1.0,5.0,2.0,2.0,,,,,,4.0,,1.0,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
10411596,home,Roma,Nicola Zalewski,nicola-zalewski,N. Zalewski,M,175,16244,M,nico_zale,984184,EUR,1011744000,M,59,59,False,30.0,21.0,8.0,4.0,13.0,17.0,9.0,16.0,1.0,3.0,,70.0,49.0,6.9,15.0,0.0,0.0,0.183926,0,,59,,,4.0,2.0,,,,,,,2.0,,2.0,,,,3.0,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
10411596,home,Roma,Cristian Volpato,volpato-cristian,C. Volpato,M,187,875,M,,1155625,EUR,1068854400,F,62,62,False,17.0,12.0,2.0,,5.0,6.0,7.0,11.0,,5.0,,45.0,26.0,6.4,9.0,0.0,0.0,0.0158187,0,,7,,1.0,4.0,6.0,,5.0,2.0,,,,,2.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
10411596,home,Roma,Nicolò Zaniolo,nicolo-zaniolo,N. Zaniolo,F,189,9127,M,nicolozaniolo,864898,EUR,930873600,F,22,22,False,18.0,10.0,1.0,1.0,2.0,3.0,9.0,22.0,,5.0,,90.0,46.0,6.5,29.0,0.1273,0.0262,0.120353,3,,10,,,8.0,1.0,3.0,4.0,,2.0,,,,1.0,,,,,7.0,,1.0,,7.0,1.0,1.0,1.0,,,,,,,,,,,,,
