match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wasFouled,stat_fouls,stat_aerialLost,stat_challengeLost,stat_interceptionWon,stat_unsuccessfulTouch,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceCreated,captain,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_outfielderBlock,player_sofascoreId,stat_errorLeadToAShot
12421187,home,Cercle Brugge,Maxime Delanghe,maxime-delanghe,M. Delanghe,G,21,189.0,144,M,909953,EUR,990576000,G,21,21,False,26.0,14.0,20.0,8.0,0.0,6.0,6.0,8.0,20.0,1.0,1.0,12.0,1.0,3.0,5.0,90.0,37.0,7.9,12.0,0.00416789,0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421187,home,Cercle Brugge,Ibrahim Diakité,ibrahim-diakite,I. Diakité,D,2,178.0,2182,M,1168646,EUR,1067558400,D,2,2,False,25.0,18.0,4.0,2.0,0.0,8.0,9.0,10.0,16.0,5.0,9.0,4.0,,,,90.0,36.0,7.5,7.0,0.00691614,0,,Ibrahim Diakité,,2.0,1.0,1.0,6.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12421187,home,Cercle Brugge,Christiaan Ravych,ravych-christiaan,C. Ravych,D,66,187.0,206,M,1191212,EUR,1027987200,D,66,66,False,27.0,20.0,4.0,2.0,0.0,12.0,13.0,8.0,14.0,1.0,2.0,9.0,,,,90.0,48.0,7.3,8.0,0.00241646,0,,,,3.0,,,13.0,1.0,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12421187,home,Cercle Brugge,Edgaras Utkus,edgaras-utkus,E. Utkus,D,3,190.0,321,M,921180,EUR,961632000,D,3,3,False,31.0,28.0,2.0,1.0,0.0,21.0,21.0,7.0,10.0,7.0,10.0,3.0,,,,80.0,48.0,7.6,5.0,0.0866385,2,,,,2.0,,,7.0,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,0.1436,0.2048,1.0,,,,,,,,,,,,,
12421187,home,Cercle Brugge,Erick Nunes,erick-nunes,E. Nunes,M,8,180.0,148,M,1894087,EUR,1078012800,M,8,8,False,19.0,12.0,3.0,,0.0,3.0,4.0,10.0,16.0,,6.0,4.0,,,,90.0,52.0,6.8,18.0,0.0243248,2,,,,10.0,4.0,1.0,3.0,5.0,,1.0,3.0,1.0,2.0,5.0,,1.0,1.0,0.0902,0.0278,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,
12421187,home,Cercle Brugge,Lawrence Agyekum,lawrence-agyekum,L. Agyekum,M,6,174.0,952,M,1185568,EUR,1069545600,M,6,6,False,25.0,19.0,5.0,3.0,0.0,13.0,14.0,6.0,13.0,1.0,4.0,5.0,,,,76.0,41.0,7.2,9.0,0.0152221,0,,Lawrence Agyekum,,4.0,,,1.0,2.0,1.0,2.0,2.0,,3.0,,,,2.0,,,1.0,2.0,,1.0,,,,,,,,,,
12421187,home,Cercle Brugge,Abu Francis,francis-abu,A. Francis,M,17,182.0,1501,M,988801,EUR,988329600,M,17,17,False,46.0,34.0,5.0,3.0,0.0,11.0,15.0,23.0,31.0,2.0,9.0,6.0,,,,90.0,63.0,7.3,15.0,0.19557,1,,,,9.0,2.0,1.0,3.0,5.0,1.0,4.0,2.0,,,,,,3.0,0.0267,,2.0,,,2.0,1.0,,1.0,,,,,,,
12421187,home,Cercle Brugge,Gary Magnee,magnee-gary,G. Magnee,M,15,173.0,149,M,990265,EUR,939686400,M,15,15,False,21.0,11.0,2.0,,1.0,4.0,4.0,15.0,31.0,2.0,7.0,2.0,,,,89.0,63.0,8.6,24.0,0.684739,0,,,,4.0,5.0,3.0,8.0,1.0,1.0,,,2.0,,2.0,,,1.0,,,6.0,14.0,8.0,,,,3.0,,,,,,,
12421187,home,Cercle Brugge,Thibo Somers,somers-thibo,T. Somers,F,24,183.0,225,M,1002804,EUR,921542400,F,34,34,False,29.0,17.0,,,0.0,4.0,4.0,13.0,26.0,7.0,11.0,5.0,,,,90.0,53.0,6.7,22.0,0.0250355,3,,,,10.0,2.0,,,2.0,2.0,2.0,2.0,1.0,,1.0,2.0,,,0.168,,1.0,1.0,,3.0,1.0,,,True,1.0,,,,,
12421187,home,Cercle Brugge,Kazeem Olaigbe,kazeem-olaigbe,K. Olaigbe,F,70,178.0,763,M,1004346,EUR,1041465600,F,19,19,False,20.0,19.0,,,0.0,4.0,4.0,15.0,17.0,,5.0,4.0,,,,76.0,38.0,7.5,9.0,0.133547,3,,,,5.0,8.0,5.0,,,,,1.0,,,3.0,,2.0,,0.1062,0.1368,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,
