match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalOffside,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_wasFouled,stat_wonContest,stat_wonTackle,stat_shotOffTarget,stat_onTargetScoringAttempt,captain,stat_challengeLost,stat_dispossessed,stat_penaltyConceded,stat_accurateCross,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyMiss
10411547,home,Empoli,Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7123,M,guglielmovicario,553606,EUR,844646400,G,13,13,False,37.0,26.0,11.0,2.0,25.0,27.0,1.0,10.0,1.0,1.0,1.0,7.0,1.0,2.0,4.0,1.0,1.0,4.0,90.0,49.0,7.2,11.0,0.0,0.0,0.0003321,0,0.6462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411547,home,Empoli,Tyronne Ebuehi,tyronne-ebuehi,T. Ebuehi,D,24,187,664,M,,580512,EUR,819072000,D,24,24,False,41.0,33.0,3.0,,18.0,23.0,15.0,19.0,,,2.0,5.0,,,,,,,90.0,69.0,6.4,13.0,0.1437,0.0,0.00819732,2,,,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10411547,home,Empoli,Koni De Winter,de-winter-koni,K. De Winter,D,5,191,3255,M,,1001828,EUR,1023840000,D,6,6,False,27.0,24.0,2.0,,21.0,23.0,3.0,4.0,1.0,3.0,1.0,3.0,,,,,,,55.0,35.0,6.7,5.0,0.0,0.0,0.00057782,0,,,,,,3.0,1.0,,2.0,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
10411547,home,Empoli,Sebastiano Luperto,sebastiano-luperto,S. Luperto,D,6,191,784,M,,352736,EUR,841968000,D,33,33,False,20.0,17.0,1.0,,15.0,16.0,2.0,4.0,,1.0,4.0,3.0,,,,,,,45.0,29.0,6.7,4.0,0.0,0.0,0.00064059,0,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,
10411547,home,Empoli,Liberato Cacace,liberato-cacace,L. Cacace,D,13,184,514,M,,905264,EUR,970012800,D,3,3,False,53.0,44.0,,,24.0,29.0,20.0,27.0,2.0,11.0,1.0,5.0,,,,,,,90.0,85.0,7.2,17.0,0.0401,0.0,0.0318512,1,,,,3.0,6.0,10.0,6.0,1.0,3.0,,,5.0,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,
10411547,home,Empoli,Liam Henderson,liam-henderson,L. Henderson,M,16,183,304,M,,287573,EUR,830390400,M,8,8,False,37.0,29.0,2.0,1.0,15.0,18.0,14.0,21.0,,1.0,,3.0,,,,,,,66.0,42.0,6.5,12.0,0.0,0.0,0.00777775,0,,,,2.0,2.0,3.0,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,
10411547,home,Empoli,Răzvan Marin,razvan-marin,R. Marin,M,18,178,3932,M,,279563,EUR,832809600,M,18,18,False,59.0,55.0,4.0,2.0,27.0,27.0,28.0,36.0,,7.0,,7.0,,,,,,,90.0,77.0,7.7,8.0,0.0756,0.0125,0.0379378,2,,,,4.0,,1.0,,,1.0,1.0,,4.0,,1.0,2.0,3.0,,1.0,1.0,1.0,,,,,,,,,,
10411547,home,Empoli,Filippo Bandinelli,filippo-bandinelli,F. Bandinelli,M,25,180,70,M,,812332,EUR,796435200,M,25,25,False,36.0,30.0,4.0,2.0,20.0,23.0,10.0,13.0,,7.0,1.0,5.0,,,,,,,77.0,54.0,6.8,10.0,0.0,0.0,0.0271016,0,,,,,,3.0,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,5.0,1.0,1.0,,,True,1.0,1.0,,,,,,,
10411547,home,Empoli,Nedim Bajrami,nedim-bajrami,N. Bajrami,M,14,179,1671,M,,825861,EUR,920160000,F,10,10,False,24.0,16.0,1.0,,7.0,8.0,9.0,20.0,,4.0,,3.0,,,,,,,90.0,48.0,6.3,22.0,0.0,0.0,0.0278618,0,,,,4.0,1.0,5.0,6.0,,,,1.0,1.0,6.0,,,1.0,2.0,,,,,,,,,,,,,
10411547,home,Empoli,Mattia Destro,mattia-destro,M. Destro,F,,181,199,M,,100570,EUR,669427200,F,23,23,False,14.0,9.0,,,4.0,4.0,5.0,10.0,,1.0,,2.0,,,,,,,90.0,28.0,6.2,11.0,0.2544,0.0,0.0114363,5,,,,,4.0,8.0,2.0,2.0,,,2.0,1.0,2.0,2.0,1.0,,,1.0,3.0,,,,1.0,1.0,,,,,,
