match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateLongBalls,stat_duelLost,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_totalOffside,stat_wonTackle,captain,stat_wonContest,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_goodHighClaim,stat_punches
11369389,home,Atlético Madrid,Jan Oblak,jan-oblak,J. Oblak,G,13,189,12131,M,oblakjan,69768,EUR,726364800,G,13,13,False,13.0,10.0,3.0,10.0,10.0,3.0,6.0,5.0,6.0,90.0,22.0,7.9,3.0,8.46e-05,0,0.1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369389,home,Atlético Madrid,Axel Witsel,axel-witsel,A. Witsel,D,20,186,9808,M,axelwitsel28,35612,EUR,600566400,D,20,20,False,50.0,46.0,,15.0,16.0,34.0,2.0,,,90.0,58.0,7.7,5.0,0.0224888,1,,31.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5445,0.6227,,,,,,,,,,,,,,,,,,,,,,,,,,
11369389,home,Atlético Madrid,José María Giménez,jose-maria-gimenez,J. M. Giménez,D,2,185,5874,M,JoseMaGimenez13,325355,EUR,790560000,D,2,2,False,47.0,36.0,6.0,19.0,22.0,25.0,4.0,,,90.0,54.0,6.6,11.0,0.0144401,1,,17.0,1.0,2.0,,,,,,0.0856,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11369389,home,Atlético Madrid,Mario Hermoso,mario-hermoso,M. Hermoso,D,22,184,2630,M,,353130,EUR,803433600,D,22,22,False,74.0,72.0,4.0,18.0,18.0,59.0,7.0,,,90.0,92.0,6.9,7.0,0.190201,1,,55.0,,2.0,,,,1.0,,0.0319,,3.0,4.0,,1.0,,2.0,,3.0,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
11369389,home,Atlético Madrid,Nahuel Molina,nahuel-molina,N. Molina,D,16,175,13426,M,nahuelmolina_35,831799,EUR,891820800,M,16,16,False,50.0,46.0,2.0,10.0,11.0,44.0,4.0,,,70.0,59.0,6.9,11.0,0.268541,0,,36.0,,,,,,1.0,,,,2.0,1.0,,,,,1.0,1.0,,,5.0,,,,,,,1.0,,,,,,,,
11369389,home,Atlético Madrid,Rodrigo de Paul,rodrigo-de-paul,R. de Paul,M,7,180,54582,M,RodridePaul,249399,EUR,769737600,M,5,5,False,57.0,52.0,3.0,5.0,8.0,54.0,5.0,,,65.0,71.0,7.6,10.0,0.168473,2,,48.0,,1.0,1.0,,,,,0.0466,0.0288,3.0,1.0,,,,1.0,,3.0,,,5.0,1.0,,1.0,,,1.0,,1.0,,,,,,,
11369389,home,Atlético Madrid,Koke,koke,Koke,M,6,177,5822,M,Koke6,84539,EUR,694828800,M,6,6,False,94.0,90.0,6.0,22.0,22.0,74.0,7.0,,,90.0,105.0,7.7,9.0,0.132547,2,,68.0,,2.0,,,,,,0.1275,,4.0,4.0,2.0,,1.0,1.0,,2.0,,,2.0,,1.0,3.0,,1.0,,,1.0,True,1.0,,,,,
11369389,home,Atlético Madrid,Saúl Ñíguez,saul-niguez,S. Ñíguez,M,8,184,13421,M,Saul,116955,EUR,785376000,M,8,8,False,14.0,12.0,,,,17.0,4.0,,,45.0,28.0,6.9,9.0,0.0259219,2,,12.0,1.0,3.0,1.0,,,2.0,,0.3565,0.0263,,7.0,1.0,1.0,,2.0,1.0,,,,3.0,,2.0,2.0,2.0,,,,2.0,,,,,,,
11369389,home,Atlético Madrid,Rodrigo Riquelme,rodrigo-riquelme,R. Riquelme,M,17,174,4780,M,,989113,EUR,954633600,M,25,25,False,24.0,18.0,,1.0,1.0,28.0,3.0,,,65.0,50.0,6.9,15.0,0.137118,5,,18.0,,2.0,2.0,,,1.0,,0.2412,0.2678,,6.0,1.0,,1.0,,1.0,1.0,,,5.0,1.0,,1.0,1.0,5.0,2.0,,,,2.0,,,,,
11369389,home,Atlético Madrid,Antoine Griezmann,antoine-griezmann,A. Griezmann,F,7,176,100258,M,AGriez,85859,EUR,669513600,F,7,7,False,36.0,34.0,1.0,4.0,4.0,42.0,1.0,,,90.0,60.0,8.7,13.0,0.279898,2,,34.0,1.0,2.0,2.0,1.0,,2.0,1.0,1.0192,1.0608,1.0,7.0,,,1.0,,1.0,2.0,,,10.0,4.0,1.0,3.0,1.0,1.0,,3.0,,,,1.0,1.0,,,
