match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_sofascoreId,stat_totalCross,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_duelLost,stat_interceptionWon,player_firstName,stat_dispossessed,player_lastName,stat_challengeLost,stat_totalContest,stat_wonContest,stat_fouls,stat_keyPass,stat_goals,stat_blockedScoringAttempt,stat_totalOffside,stat_goodHighClaim,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed
13055090,home,Tottenham Hotspur,Fraser Forster,fraser-forster,F. Forster,G,17,201,1214,M,19314,EUR,574560000,G,20,20,False,35.0,23.0,18.0,7.0,0.0,18.0,21.0,5.0,14.0,1.0,7.0,2.0,1.0,2.0,1.0,90.0,44.0,5.2,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13055090,home,Tottenham Hotspur,Pedro Porro,pedro-porro,P. Porro,D,23,173,10892,M,913654,EUR,937180800,D,23,23,False,33.0,20.0,6.0,1.0,0.0,13.0,17.0,7.0,18.0,4.0,2.0,,,,,90.0,61.0,6.8,18.0,2,pedroporro29,2.0,1.0,6.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,
13055090,home,Tottenham Hotspur,Radu Drăguşin,radu-dragusin,R. Drăguşin,D,3,191,13712,M,997103,EUR,1012694400,D,6,6,False,38.0,30.0,5.0,1.0,0.0,23.0,26.0,7.0,12.0,7.0,3.0,,,,,90.0,48.0,6.3,8.0,0,radudragusin5,,,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
13055090,home,Tottenham Hotspur,Archie Gray,archie-gray,A. Gray,D,14,187,5628,M,1142335,EUR,1142121600,D,14,14,False,58.0,54.0,5.0,4.0,0.0,46.0,49.0,8.0,9.0,4.0,4.0,,,,,90.0,70.0,6.8,5.0,0,ArchieGray06,,,3.0,,,2.0,3.0,3.0,,,,1.0,,Archie Gray,1.0,,,,,,,,,,,,,
13055090,home,Tottenham Hotspur,Djed Spence,djed-spence,D. Spence,D,24,184,4530,M,945798,EUR,965779200,D,24,24,False,47.0,39.0,4.0,1.0,1.0,24.0,26.0,15.0,21.0,5.0,7.0,,,,,89.0,79.0,6.9,14.0,0,,,3.0,10.0,,,,2.0,1.0,,3.0,1.0,11.0,1.0,,2.0,,2.0,5.0,2.0,3.0,1.0,,,,,,,
13055090,home,Tottenham Hotspur,Pape Matar Sarr,pape-matar-sarr,P. M. Sarr,M,29,185,32532,M,1002711,EUR,1031961600,M,29,29,False,48.0,43.0,3.0,3.0,0.0,14.0,16.0,29.0,32.0,1.0,7.0,,,,,90.0,59.0,6.4,10.0,0,pape,,1.0,2.0,,,,1.0,1.0,2.0,,,7.0,3.0,,,,2.0,3.0,,2.0,2.0,,,,,,,
13055090,home,Tottenham Hotspur,Yves Bissouma,yves-bissouma,Y. Bissouma,M,8,181,19161,M,844842,EUR,841363200,M,8,8,False,68.0,61.0,3.0,2.0,0.0,31.0,33.0,30.0,35.0,6.0,3.0,,,,,90.0,95.0,7.9,9.0,0,YB8,,,9.0,,,3.0,6.0,4.0,1.0,1.0,1.0,2.0,1.0,,,,,2.0,2.0,1.0,2.0,,,,,,,
13055090,home,Tottenham Hotspur,Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,11670,M,928124,EUR,956620800,M,21,21,False,15.0,11.0,1.0,1.0,0.0,4.0,4.0,7.0,12.0,,4.0,,,,,90.0,33.0,7.5,10.0,2,dejan_k10,1.0,,8.0,,2.0,,,,2.0,4.0,,4.0,1.0,,1.0,,1.0,6.0,4.0,,,1.0,,,,,,
13055090,home,Tottenham Hotspur,James Maddison,james-maddison,J. Maddison,M,10,175,15555,M,356398,EUR,848707200,M,10,10,False,37.0,31.0,3.0,1.0,0.0,11.0,13.0,20.0,24.0,1.0,3.0,,,,,79.0,50.0,7.0,10.0,0,Madders,,1.0,6.0,,,,2.0,2.0,1.0,2.0,1.0,5.0,,,,,,4.0,1.0,1.0,,,,,,,,
13055090,home,Tottenham Hotspur,Heung-min Son,heung-min-son,H. M. Son,F,7,184,116471,M,111505,EUR,710553600,M,7,7,False,26.0,20.0,,,0.0,4.0,6.0,16.0,21.0,,2.0,,,,,90.0,47.0,7.2,13.0,3,HMSon,1.0,,3.0,1.0,1.0,,2.0,2.0,1.0,,,6.0,,,1.0,,1.0,5.0,1.0,,1.0,1.0,1.0,1.0,,,,
