match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name
15197283,FT,0.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
15197283,,,,,90,0.0,,1,,,injuryTime,4.0,,,,,,,,,
15197283,,,,,89,,,2,,,substitution,,125323852.0,False,False,regular,,,,,
15197283,,,,,87,,,4,,,card,,124501571.0,,False,yellow,Luke Thomas,Argument,False,991584.0,Luke Thomas
15197283,,,,,87,,,4,,,card,,124501552.0,,True,yellow,Jonathan Tomkinson,Argument,False,1014209.0,Jonathan Tomkinson
15197283,,,,,77,,,14,,,substitution,,125323771.0,False,True,regular,,,,,
15197283,,,,,77,,,14,,,substitution,,125323765.0,False,True,regular,,,,,
15197283,,,,,70,,,21,,,substitution,,125323728.0,False,False,regular,,,,,
15197283,,,,,70,,,21,,,substitution,,125323723.0,False,False,regular,,,,,
15197283,,,,,70,,,21,,,substitution,,125323722.0,False,True,regular,,,,,
15197283,,,,,55,,,36,,,substitution,,125323655.0,True,False,injury,,,,,
15197283,HT,0.0,2.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
15197283,,0.0,2.0,,45,,,1,,,goal,,334530769.0,,False,regular,,,,605338.0,Stephy Mavididi
15197283,,,,,45,0.0,,1,,,injuryTime,1.0,,,,,,,,,
15197283,,0.0,1.0,,23,,,23,,,goal,,334529376.0,,False,regular,,,,865057.0,Patson Daka
