match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_interceptionWon,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_totalOffside,stat_goalAssist,stat_totalCross,stat_aerialWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_accurateCross,stat_onTargetScoringAttempt,captain,stat_goals,stat_bigChanceMissed,stat_shotOffTarget,player_sofascoreId,stat_hitWoodwork
10407165,home,KVC Westerlo,Sinan Bolat,,,sinan-bolat,S. Bolat,G,26,187,168,M,5920,EUR,589248000,G,1,1,False,46.0,32.0,36.0,22.0,20.0,20.0,12.0,26.0,1.0,17.0,2.0,1.0,2.0,1.0,90.0,55.0,6.7,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407165,home,KVC Westerlo,Bryan Reynolds,,,bryan-reynolds,B. Reynolds,D,22,185,425,M,862075,EUR,993686400,D,22,22,False,32.0,23.0,7.0,3.0,10.0,11.0,13.0,21.0,1.0,5.0,,,,,90.0,47.0,6.3,12.0,0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10407165,home,KVC Westerlo,Rubin Seigers,,,rubin-seigers,R. Seigers,D,4,187,36,M,794983,EUR,884476800,D,23,23,False,25.0,21.0,7.0,5.0,20.0,22.0,1.0,3.0,3.0,4.0,,,,,90.0,35.0,6.9,5.0,0,3.0,4.0,,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10407165,home,KVC Westerlo,Ravil Tagir,,,tagir-ravil,R. Tagir,D,28,185,250,M,992551,EUR,1052179200,D,24,24,False,31.0,27.0,2.0,1.0,20.0,23.0,7.0,8.0,1.0,3.0,,,,,90.0,42.0,7.1,5.0,0,2.0,2.0,,2.0,1.0,1.0,1.0,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,
10407165,home,KVC Westerlo,Maxim De Cuyper,,,maxim-de-cuyper,M. De Cuyper,D,29,183,4482,M,997152,EUR,977443200,D,11,11,False,59.0,50.0,14.0,9.0,22.0,24.0,28.0,39.0,1.0,10.0,,,,,90.0,93.0,9.0,17.0,0,2.0,9.0,,6.0,5.0,1.0,,1.0,1.0,1.0,3.0,,1.0,,2.0,4.0,1.0,2.0,1.0,2.0,,,,,,,,,
10407165,home,KVC Westerlo,Nicolas Madsen,,,nicolas-madsen,N. Madsen,M,24,193,1196,M,938306,EUR,953251200,M,8,8,False,45.0,34.0,13.0,9.0,15.0,20.0,19.0,27.0,4.0,7.0,,,,,90.0,61.0,7.2,15.0,1,3.0,4.0,1.0,3.0,3.0,,2.0,,2.0,,2.0,,,,,2.0,1.0,,,,1.0,,,,,,,,
10407165,home,KVC Westerlo,Mathias Fixelles,,,mathias-fixelles,M. Fixelles,M,11,174,39,M,876447,EUR,839721600,M,4,4,False,23.0,19.0,5.0,4.0,10.0,11.0,9.0,13.0,,2.0,,,,,60.0,32.0,6.4,8.0,0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,,3.0,,,,,,1.0,,,,,,,,,,,,,
10407165,home,KVC Westerlo,Tuur Dierckx,,,tuur-dierckx,T. Dierckx,F,,171,133,M,190409,EUR,799977600,M,55,55,False,13.0,10.0,2.0,1.0,5.0,6.0,7.0,12.0,,4.0,,,,,76.0,29.0,6.7,11.0,2,4.0,3.0,,,,4.0,1.0,1.0,,3.0,1.0,1.0,,2.0,,5.0,,1.0,,,1.0,2.0,1.0,,,,,,
10407165,home,KVC Westerlo,Igor Vetokele,,,igor-vetokele,I. Vetokele,F,,173,40,M,106236,EUR,701308800,M,25,25,False,19.0,13.0,1.0,,5.0,8.0,8.0,11.0,,2.0,,,,,76.0,24.0,7.3,7.0,1,5.0,6.0,1.0,,,,1.0,,,2.0,1.0,3.0,,,,,4.0,,,,,,1.0,True,1.0,,,,
10407165,home,KVC Westerlo,Nacer Chadli,,,nacer-chadli,N. Chadli,M,,187,416,M,32492,EUR,618019200,M,5,5,False,28.0,20.0,,,6.0,8.0,14.0,20.0,1.0,6.0,,,,,60.0,40.0,6.8,13.0,1,4.0,4.0,1.0,,,3.0,1.0,1.0,1.0,,,,,,,,2.0,3.0,2.0,,,,1.0,,,,,,
