match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_fouls,player_firstName,player_lastName,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoalsOnTarget,stat_goals,stat_goalAssist,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,stat_punches
12117011,home,Fortaleza,João Ricardo,joao-ricardo,J. Ricardo,G,1,188,675,M,839761,EUR,589507200,G,1,1,False,12.0,4.0,9.0,1.0,4.0,4.0,8.0,1.0,1.0,1.0,8.0,1.0,2.0,1.0,1.0,90.0,20.0,6.7,8.0,2.523e-05,0,0.1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117011,home,Fortaleza,Tinga,tinga,Tinga,D,2,179,424,M,330057,EUR,746841600,D,2,2,False,31.0,24.0,4.0,3.0,8.0,10.0,26.0,6.0,6.0,4.0,2.0,,,,,90.0,53.0,6.8,18.0,0.0255182,0,,True,16.0,5.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12117011,home,Fortaleza,Emanuel Brítez,emanuel-britez,E. Brítez,D,33,178,532,M,789395,EUR,701568000,D,19,19,False,26.0,15.0,9.0,3.0,9.0,13.0,13.0,4.0,7.0,4.0,2.0,,,,,90.0,42.0,7.7,12.0,0.00772938,1,,,6.0,,2.0,3.0,,1.0,3.0,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0375,,,,,,,,,,,,,,,
12117011,home,Fortaleza,Titi,titi,Titi,D,4,187,324,M,243435,EUR,574128000,D,4,4,False,31.0,22.0,10.0,4.0,15.0,21.0,10.0,3.0,5.0,4.0,5.0,,,,,90.0,43.0,6.8,11.0,0.00609175,1,,,7.0,,2.0,4.0,1.0,,,2.0,,,,1.0,,1.0,2.0,1.0,0.0351,1.0,,,,,,,,,,,,,,
12117011,home,Fortaleza,Felipe Jonatan,felipe-jonatan,F. Jonatan,D,16,176,464,M,931574,EUR,887500800,D,36,36,False,26.0,24.0,3.0,3.0,8.0,10.0,21.0,,3.0,2.0,2.0,,,,,59.0,49.0,7.2,9.0,0.0244827,0,,,16.0,5.0,1.0,2.0,,,3.0,1.0,1.0,2.0,1.0,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,
12117011,home,Fortaleza,Lucas Sasha,lucas-sasha,L. Sasha,M,88,177,479,M,123225,EUR,636249600,M,88,88,False,27.0,23.0,3.0,1.0,8.0,10.0,18.0,1.0,3.0,,5.0,,,,,70.0,39.0,7.1,6.0,0.660836,1,,,16.0,1.0,,5.0,3.0,,3.0,2.0,2.0,,,,,,2.0,1.0,0.0208,3.0,,,1.0,1.0,1.0,,,,,,,,,
12117011,home,Fortaleza,Pedro Augusto,pedro-augusto,P. Augusto,M,28,181,302,M,922556,EUR,857347200,M,28,28,False,52.0,36.0,7.0,3.0,17.0,25.0,28.0,9.0,25.0,,3.0,,,,,90.0,75.0,8.3,18.0,0.132902,1,,,20.0,1.0,2.0,3.0,,,3.0,2.0,1.0,1.0,1.0,,,,12.0,8.0,0.0151,1.0,,,1.0,,,1.0,3.0,0.0787,,,,,,
12117011,home,Fortaleza,Marinho,marinho,Marinho,M,7,169,2296,M,798127,EUR,643939200,M,11,11,False,22.0,13.0,4.0,,3.0,4.0,22.0,1.0,6.0,,7.0,,,,,84.0,46.0,6.9,19.0,0.236389,2,,,12.0,4.0,2.0,8.0,,4.0,1.0,3.0,2.0,5.0,4.0,2.0,,,,,0.1524,1.0,,,2.0,,,,1.0,,,,,,,
12117011,home,Fortaleza,Kervin Andrade,kervin-andrade,K. Andrade,F,10,163,2620,M,1117065,EUR,1113350400,M,77,77,False,19.0,13.0,4.0,2.0,5.0,6.0,17.0,,,,6.0,,,,,71.0,39.0,7.3,16.0,0.0581656,2,,,9.0,4.0,2.0,6.0,,2.0,,4.0,4.0,1.0,,,,,,,0.1123,1.0,Kervin Andrade,,1.0,,1.0,1.0,,0.2391,1.0,,,,,
12117011,home,Fortaleza,Breno Lopes,breno-lopes,B. Lopes,M,26,178,1395,M,937552,EUR,822441600,M,26,26,False,22.0,17.0,3.0,1.0,3.0,6.0,16.0,,3.0,,4.0,,,,,59.0,30.0,7.0,7.0,0.0329432,2,,,14.0,,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,,,,,0.0386,,,,,,1.0,,2.0,,,1.0,,,,
12117011,home,Fortaleza,Renato Kayzer,renato-kayzer,R. Kayzer,F,79,178,1333,M,814723,EUR,824515200,F,79,79,False,13.0,9.0,,,4.0,6.0,7.0,3.0,4.0,1.0,3.0,,,,,90.0,30.0,6.9,10.0,0.0512571,5,,,5.0,,4.0,8.0,,2.0,,3.0,2.0,1.0,,3.0,,,1.0,1.0,0.6192,1.0,,,,,,2.0,,1.0898,,,1.0,1.0,,
12117011,home,Fortaleza,Bruno Pacheco,bruno-pacheco,B. Pacheco,D,91,174,374,M,870691,EUR,692150400,D,6,6,True,4.0,2.0,,,1.0,2.0,2.0,2.0,3.0,1.0,,,,,,31.0,11.0,6.8,3.0,0.00134079,1,,,1.0,,,,,,,,,,,,,,1.0,1.0,0.0607,,,,,,1.0,,,,,,,,,
12117011,home,Fortaleza,Moisés,moises,Moisés,M,21,177,1067,M,1046501,EUR,841622400,F,21,21,True,14.0,10.0,2.0,2.0,2.0,5.0,9.0,1.0,4.0,2.0,1.0,,,,,31.0,25.0,7.0,6.0,0.0278659,2,,,8.0,,,2.0,,1.0,,,3.0,3.0,2.0,,,,1.0,,0.0933,,Moisés,,,,2.0,,,,,,,,,
12117011,home,Fortaleza,Hércules,hercules,Hércules,M,35,178,3079,M,1104068,EUR,972000000,M,35,35,True,12.0,9.0,1.0,1.0,4.0,6.0,6.0,1.0,2.0,,2.0,,,,,20.0,16.0,6.9,5.0,0.00346913,1,,,5.0,,,,,,,2.0,,,,,,,1.0,1.0,0.0931,,,,,,,1.0,,0.2887,,,,,,
12117011,home,Fortaleza,Imanol Machuca,imanol-machuca,I. Machuca,F,7,169,1281,M,974698,EUR,947894400,F,39,39,True,7.0,6.0,1.0,1.0,1.0,1.0,13.0,,,,2.0,,,,,19.0,18.0,6.9,10.0,0.664121,0,,,6.0,7.0,,3.0,,2.0,,1.0,2.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,
