match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_duelLost,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_interceptionWon,player_firstName,player_lastName,stat_outfielderBlock,stat_totalCross,stat_challengeLost,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_accurateCross,stat_bigChanceMissed,stat_hitWoodwork
14083213,home,Girona FC,Paulo Gazzaniga,paulo-gazzaniga,P. Gazzaniga,G,13,196,1913,M,164343,EUR,694310400,G,13,13,False,36.0,22.0,24.0,10.0,0.0,20.0,22.0,2.0,14.0,1.0,1.0,2.0,5.0,1.0,90.0,41.0,6.7,14.0,0.00058549,27.026308756434,6.0,-1.26,2.415,0,0.06,-0.05,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083213,home,Girona FC,Hugo Rincón,rincon-lumbreras-hugo,H. Rincón,D,2,183,270,M,1632454,EUR,1043625600,D,2,2,False,34.0,29.0,2.0,1.0,0.0,16.0,19.0,13.0,15.0,3.0,10.0,1.0,4.0,,80.0,52.0,7.6,8.0,0.0830421,101.72256948324,14.0,-17.745,8.715,0,0.24,0.06,0.32,4.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,18.898224784355,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083213,home,Girona FC,Vitor Reis,reis-vitor,V. Reis,D,12,186,12809,M,1485300,EUR,1137024000,D,12,12,False,54.0,43.0,11.0,5.0,0.0,30.0,36.0,13.0,18.0,2.0,3.0,6.0,1.0,,90.0,64.0,7.2,12.0,0.00337831,177.41539318737,24.0,101.01,16.065,0,0.09,0.07,0.27,1.0,,,,,1.0,1.0,,,,,vitorreiss_06,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14083213,home,Girona FC,Daley Blind,daley-blind,D. Blind,D,17,180,2785,M,44864,EUR,636940800,D,17,17,False,61.0,56.0,9.0,8.0,0.0,34.0,36.0,22.0,25.0,2.0,8.0,5.0,5.0,,90.0,81.0,8.1,8.0,0.0168224,237.34043030436,31.0,91.455,12.39,0,0.08,0.11,0.59,3.0,1.0,1.0,5.0,4.0,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14083213,home,Girona FC,Álex Moreno,alex-moreno,Á. Moreno,D,24,179,1206,M,294593,EUR,739497600,D,24,24,False,43.0,38.0,2.0,,1.0,22.0,23.0,16.0,20.0,1.0,6.0,8.0,2.0,,90.0,70.0,8.5,12.0,0.578784,224.99585484157,25.0,131.355,14.595,1,0.69,0.37,0.33,3.0,,3.0,3.0,3.0,1.0,,,57.897583755043,4.0,1.0,,1.0,,,,,2.0,1.0,2.0,1.0,1.0,0.154,-0.39,,,,,,,,,,,,,,,,
14083213,home,Girona FC,Iván Martín,ivan-martin,I. Martín,M,23,178,895,M,973699,EUR,918950400,M,23,23,False,46.0,42.0,2.0,1.0,0.0,17.0,18.0,25.0,28.0,1.0,10.0,1.0,7.0,,90.0,63.0,7.4,7.0,0.0344255,171.71466885866,20.0,27.825,36.225,0,0.27,0.23,-0.06,4.0,,2.0,7.0,3.0,3.0,,2.0,39.844009449351,1.0,1.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
14083213,home,Girona FC,Arnau Martínez,arnau-martinez,A. Martínez,D,4,181,1573,M,1084081,EUR,1051228800,M,4,4,False,46.0,38.0,9.0,5.0,0.0,19.0,21.0,19.0,25.0,2.0,5.0,6.0,5.0,,90.0,61.0,6.8,10.0,0.00906823,123.26188952415,13.0,81.27,19.845,1,0.01,0.26,0.22,7.0,1.0,2.0,1.0,1.0,,1.0,1.0,25.267244111695,1.0,,,3.0,1.0,Arnau Martinez,,,,1.0,1.0,,1.0,0.0427,-0.15,True,,,,,,,,,,,,,,,
14083213,home,Girona FC,Viktor Tsygankov,viktor-tsygankov,V. Tsygankov,M,15,178,5432,M,319735,EUR,879552000,M,15,15,False,31.0,27.0,2.0,1.0,0.0,15.0,18.0,12.0,13.0,2.0,10.0,2.0,6.0,,90.0,55.0,7.3,8.0,0.0131489,151.10208884808,19.0,12.81,15.015,3,-0.24,0.31,0.17,3.0,,2.0,5.0,2.0,1.0,1.0,2.0,29.641016970106,2.0,1.0,viktortsygankov,,,,,,2.0,1.0,2.0,,1.0,0.0915,-0.1,,1.0,1.0,0.0088,,,,,,,,,,,,
14083213,home,Girona FC,Thomas Lemar,thomas-lemar,T. Lemar,M,11,170,3300,M,191182,EUR,816134400,M,11,11,False,42.0,39.0,,,0.0,15.0,16.0,24.0,26.0,,,,4.0,,79.0,48.0,6.8,6.0,0.0443932,170.31470288416,18.0,49.98,27.93,0,0.11,0.19,0.13,1.0,,,,,2.0,,1.0,66.183194327544,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14083213,home,Girona FC,Bryan Gil,bryan-gil,B. Gil,M,21,176,3585,M,910026,EUR,981849600,M,21,21,False,26.0,18.0,1.0,,0.0,6.0,8.0,12.0,18.0,,8.0,1.0,1.0,,79.0,42.0,7.4,12.0,0.0451934,150.15229921196,14.0,86.1,26.145,1,-0.28,0.25,-0.01,4.0,,3.0,2.0,2.0,2.0,4.0,,47.212785890567,2.0,1.0,bryan11gil,2.0,,,,,1.0,1.0,2.0,,,0.0384,0.22,,1.0,,0.3306,,,,,,,,,,,,
