match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_outfielderBlock,stat_wasFouled,stat_totalContest,stat_wonContest,stat_dispossessed,stat_shotOffTarget,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_hitWoodwork,captain,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox
12117227,home,Flamengo,Agustín Rossi,agustin-rossi,A. Rossi,G,1,195,10864,M,AgustinRossi,1140986,EUR,808963200,G,1,1,False,25.0,23.0,7.0,5.0,0.0,23.0,25.0,2.0,9.0,1.0,2.0,1.0,1.0,90.0,31.0,6.8,2.0,0.00016977,0,-0.0175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117227,home,Flamengo,Guillermo Varela,guillermo-varela,G. Varela,D,2,171,7450,M,,311456,EUR,732931200,D,2,2,False,28.0,21.0,3.0,,0.0,4.0,8.0,,1.0,,,,,63.0,40.0,7.0,12.0,0.239177,0,,,,18.0,24.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
12117227,home,Flamengo,Fabrício Bruno,fabricio-bruno,F. Bruno,D,15,192,6526,M,fabriciobruno96,840220,EUR,824083200,D,15,15,False,60.0,52.0,5.0,3.0,0.0,31.0,35.0,4.0,2.0,,,,,90.0,69.0,7.1,8.0,0.0104834,0,,,,21.0,25.0,,,2.0,3.0,2.0,6.0,,,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,
12117227,home,Flamengo,Léo Pereira,leo-pereira,L. Pereira,D,4,189,8450,M,leopereira4,358548,EUR,823046400,D,4,4,False,53.0,49.0,4.0,3.0,0.0,24.0,26.0,7.0,1.0,,,,,90.0,67.0,7.2,6.0,0.0119832,0,,,,25.0,28.0,1.0,,,3.0,1.0,5.0,,,1.0,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,
12117227,home,Flamengo,Alex Sandro,alex-sandro,A. Sandro,D,26,181,13338,M,alxsndro12,84854,EUR,664848000,D,26,26,False,61.0,60.0,1.0,1.0,0.0,22.0,22.0,2.0,2.0,,,,,90.0,79.0,7.9,5.0,0.728843,1,,,,42.0,46.0,7.0,4.0,,1.0,2.0,5.0,,1.0,2.0,2.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0409,,,,,,,,,,
12117227,home,Flamengo,Erick Pulgar,erick-pulgar,E. Pulgar,M,5,186,12411,M,erick05,590262,EUR,758592000,M,5,5,False,49.0,45.0,2.0,1.0,0.0,13.0,13.0,,7.0,,,,,83.0,61.0,6.6,7.0,0.0356184,2,,,,32.0,36.0,,,2.0,,5.0,2.0,2.0,,1.0,1.0,2.0,,,,2.0,1.0,,,1.0,1.0,0.3896,1.0,1.0,1.0,0.5181,,,,,,
12117227,home,Flamengo,Léo Ortiz,leo-ortiz,L. Ortiz,D,3,185,10970,M,leortiz33,869643,EUR,820627200,M,3,3,False,65.0,54.0,5.0,2.0,0.0,11.0,12.0,1.0,8.0,,,,,90.0,77.0,7.1,14.0,0.0405098,1,,,,43.0,54.0,1.0,,1.0,3.0,3.0,5.0,1.0,,1.0,1.0,1.0,,1.0,,2.0,1.0,,1.0,,,0.2454,1.0,,,,1.0,,,,,
12117227,home,Flamengo,Luiz Araújo,luiz-araujo,L. Araújo,M,7,175,16511,M,l_araujo11ofi,840451,EUR,833673600,M,7,7,False,6.0,5.0,,,0.0,,,,,,,,,18.0,9.0,6.9,2.0,0.0740948,1,,,,5.0,6.0,,,1.0,,2.0,1.0,,,,,,2.0,,,1.0,1.0,1.0,1.0,,,0.0182,,,,,,,,,,
12117227,home,Flamengo,Gerson,gerson,Gerson,M,11,185,29672,M,gerson_santos,611876,EUR,864086400,M,8,8,False,54.0,48.0,4.0,3.0,0.0,11.0,11.0,,10.0,,,,,90.0,79.0,8.0,14.0,0.230621,4,,,,38.0,45.0,2.0,1.0,,1.0,5.0,5.0,,,,,2.0,2.0,,1.0,5.0,3.0,1.0,1.0,,2.0,0.2372,,2.0,1.0,0.9665,,True,1.0,,,
12117227,home,Flamengo,Gonzalo Plata,gonzalo-plata,G. Plata,M,19,178,20442,M,gonzaloplata,937937,EUR,973036800,M,45,45,False,50.0,41.0,1.0,,0.0,14.0,15.0,,6.0,,,,,90.0,77.0,6.9,21.0,0.428842,4,,,,28.0,37.0,2.0,1.0,1.0,,15.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,,,6.0,2.0,3.0,2.0,1.0,3.0,0.6501,,,2.0,,,,,1.0,,
