match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_defensiveValueNormalized,stat_totalCross,stat_aerialWon,stat_duelWon,stat_interceptionWon,stat_dribbleValueNormalized,stat_aerialLost,stat_duelLost,stat_fouls,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,player_firstName,stat_accurateCross,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_bigChanceMissed,stat_keyPass,stat_totalOffside,player_sofascoreId,captain,player_lastName,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_clearanceOffLine,stat_lastManTackle
14083407,home,Espanyol,Marko Dmitrović,marko-dmitrovic,M. Dmitrović,G,13,194,1184,M,94527,EUR,696211200,G,13,13,False,20.0,15.0,13.0,8.0,0.0,11.0,13.0,4.0,7.0,2.0,8.0,1.0,1.0,90.0,28.0,6.5,5.0,0.00238605,0,-0.6819,0.05,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083407,home,Espanyol,Omar El Hilali,omar-el-hilali,O. E. Hilali,D,23,183,6663,M,1064026,EUR,1063324800,D,23,23,False,40.0,34.0,5.0,1.0,0.0,21.0,23.0,13.0,17.0,4.0,2.0,,,68.0,58.0,6.3,10.0,0.014454,0,,0.11,-0.31,2.0,1.0,1.0,1.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083407,home,Espanyol,Clemens Riedel,clemens-riedel,C. Riedel,D,38,186,353,M,1129360,EUR,1058572800,D,38,38,False,80.0,69.0,19.0,10.0,0.0,56.0,57.0,13.0,23.0,13.0,5.0,,,90.0,96.0,7.2,11.0,0.0157708,0,,0.27,-0.11,,6.0,6.0,2.0,0.11,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083407,home,Espanyol,Leandro Cabrera,leandro-cabrera,L. Cabrera,D,6,190,819,M,81992,EUR,677116800,D,6,6,False,62.0,55.0,7.0,3.0,0.0,43.0,45.0,12.0,17.0,3.0,3.0,,,90.0,79.0,7.9,10.0,0.0112938,4,,0.1,-0.28,1.0,8.0,11.0,1.0,0.01,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.236,0.6496,0.47,,,,,,,,,,,,,,,,,,,
14083407,home,Espanyol,Carlos Romero,carlos-romero,C. Romero,D,22,174,1103,M,1396048,EUR,1004313600,D,22,22,False,23.0,18.0,3.0,1.0,0.0,10.0,13.0,8.0,10.0,,5.0,,,82.0,50.0,6.2,8.0,0.0171274,1,,-0.06,-0.41,3.0,,3.0,4.0,0.12,1.0,1.0,,,,,,1.0,,,2.0,2.0,,0.0133,,-0.01,Carlos Romero,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14083407,home,Espanyol,Pol Lozano,pol-lozano,P. Lozano,M,10,176,521,M,826010,EUR,939168000,M,10,10,False,36.0,34.0,4.0,4.0,0.0,14.0,14.0,20.0,22.0,,1.0,,,68.0,41.0,6.9,4.0,0.0411993,0,,0.3,-0.13,1.0,1.0,3.0,,0.01,1.0,3.0,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
14083407,home,Espanyol,Edu Expósito,edu-exposito,E. Expósito,M,8,175,1017,M,877262,EUR,838857600,M,8,8,False,40.0,31.0,3.0,1.0,1.0,7.0,7.0,24.0,33.0,1.0,5.0,,,90.0,75.0,7.3,26.0,0.809847,3,,0.94,-0.11,15.0,2.0,6.0,1.0,0.18,4.0,13.0,1.0,,7.0,1.0,2.0,,,,1.0,1.0,1.0,0.3173,0.2279,-0.55,,7.0,3.0,2.0,1.0,1.0,1.0,6.0,,,,,,,,,,,
14083407,home,Espanyol,Tyrhys Dolan,tyrhys-dolan,T. Dolan,M,24,170,687,M,1063015,EUR,1009497600,M,24,24,False,14.0,11.0,,,0.0,2.0,3.0,9.0,11.0,,,,,82.0,32.0,6.0,14.0,0.0091915,2,,-0.13,-0.13,2.0,,1.0,,0.01,1.0,7.0,2.0,,1.0,,1.0,1.0,,,,,1.0,0.1789,0.1217,0.08,Tyrhys Dolan,,4.0,,3.0,,,,1.0,,,,,,,,,,
14083407,home,Espanyol,Charles Pickel,charles-pickel,C. Pickel,M,18,184,11753,M,758664,EUR,863654400,M,18,18,False,25.0,17.0,,,0.0,7.0,9.0,10.0,16.0,,5.0,,,57.0,30.0,6.2,9.0,0.0257955,1,,0.32,-0.02,,2.0,3.0,,0.04,3.0,4.0,,,1.0,,1.0,,,,,,1.0,0.0866,,0.01,,,,,,,1.0,,,charlespickel,,,,,,,,,
14083407,home,Espanyol,Javi Puado,javi-puado,J. Puado,M,7,178,1352,M,891511,EUR,896054400,M,7,7,False,20.0,15.0,,,0.0,5.0,5.0,10.0,15.0,1.0,7.0,,,90.0,46.0,7.2,17.0,0.235196,5,,0.26,-0.14,5.0,,1.0,1.0,0.27,2.0,8.0,1.0,1.0,3.0,2.0,3.0,,1.0,,,,,1.2083,1.2765,0.4,,1.0,2.0,1.0,3.0,2.0,3.0,2.0,,,True,,,,,,,,
