match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,captain,stat_totalContest,stat_wonContest,stat_fouls,stat_outfielderBlock,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_keyPass,stat_goalAssist,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_expectedGoals,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goals,stat_savedShotsFromInsideTheBox
11369972,home,KV Kortrijk,Lucas Pirard,,,lucas-pirard,L. Pirard,G,21,191,81,M,190379,EUR,794793600,G,95,95,False,27.0,10.0,24.0,7.0,3.0,6.0,7.0,21.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,90.0,36.0,6.9,17.0,0.0032289,0,0.0337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369972,home,KV Kortrijk,Haruya Fujii,,,fujii-haruya,H. Fujii,D,13,186,241,M,929608,EUR,977788800,D,24,24,False,42.0,34.0,9.0,3.0,21.0,21.0,13.0,21.0,3.0,7.0,4.0,,,,,90.0,55.0,7.4,8.0,0.00627929,0,,1.0,1.0,4.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
11369972,home,KV Kortrijk,João Silva,,,joao-silva,J. Silva,D,6,187,281,M,1068519,EUR,916272000,D,44,44,False,28.0,17.0,15.0,5.0,12.0,16.0,5.0,12.0,1.0,4.0,4.0,,,,,90.0,42.0,6.9,11.0,0.00283679,0,,3.0,5.0,7.0,1.0,,,2.0,True,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11369972,home,KV Kortrijk,Ryotaro Tsunoda,,,tsunoda-ryotaro,R. Tsunoda,D,22,183,198,M,1083801,EUR,930441600,D,33,33,False,42.0,27.0,14.0,7.0,16.0,23.0,11.0,19.0,3.0,6.0,6.0,,,,,90.0,60.0,7.3,16.0,0.00767566,0,,2.0,3.0,5.0,3.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11369972,home,KV Kortrijk,Nayel Mehssatou,,,nayel-mehssatou,N. Mehssatou,M,8,172,534,M,1064174,EUR,1018569600,M,6,6,False,22.0,16.0,2.0,,10.0,14.0,7.0,9.0,,1.0,1.0,,,,,83.0,33.0,6.7,9.0,0.0809736,0,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,
11369972,home,KV Kortrijk,Abdelkahar Kadri,,,abdelkahar-kadri,A. Kadri,M,37,170,2010,M,1007528,EUR,961804800,M,10,10,False,42.0,36.0,4.0,3.0,16.0,18.0,22.0,28.0,,7.0,5.0,,,,,90.0,72.0,7.6,14.0,0.203112,2,,2.0,11.0,1.0,2.0,1.0,,2.0,,8.0,4.0,1.0,,,4.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0817,,,,,,,
11369972,home,KV Kortrijk,Massimo Bruno,,,massimo-bruno,M. Bruno,M,17,177,60,M,94298,EUR,748224000,M,70,70,False,24.0,14.0,5.0,1.0,4.0,5.0,10.0,20.0,2.0,7.0,3.0,,,,,71.0,40.0,6.8,16.0,0.019611,1,,1.0,5.0,2.0,,1.0,1.0,2.0,,4.0,2.0,,,1.0,1.0,,2.0,,1.0,1.0,,,0.023,1.0,,,,,,
11369972,home,KV Kortrijk,Abdoulaye Sissako,,,abdoulaye-sissako,A. Sissako,M,8,186,79,M,846330,EUR,896140800,M,27,27,False,44.0,30.0,4.0,2.0,23.0,31.0,7.0,14.0,4.0,7.0,4.0,,,,,90.0,62.0,6.9,17.0,0.00278772,2,,5.0,6.0,4.0,2.0,2.0,1.0,,,2.0,1.0,,,,1.0,,,,,,,1.0,0.2268,,1.0,1.0,0.0516,,,
11369972,home,KV Kortrijk,Sheyi Ojo,,,sheyi-ojo,S. Ojo,D,17,177,264,M,284449,EUR,866678400,M,54,54,False,34.0,25.0,7.0,2.0,13.0,19.0,12.0,18.0,2.0,7.0,5.0,,,,,90.0,65.0,6.8,21.0,0.0168301,1,,3.0,5.0,2.0,1.0,1.0,1.0,4.0,,,,1.0,,3.0,3.0,,,,,1.0,,,0.0444,1.0,,,,,,
11369972,home,KV Kortrijk,Felipe Avenatti,,,felipe-avenatti,F. Avenatti,F,9,194,145,M,308058,EUR,767318400,F,20,20,False,34.0,20.0,3.0,2.0,7.0,9.0,13.0,25.0,10.0,16.0,9.0,,,,,89.0,55.0,7.7,19.0,0.0170764,2,,8.0,10.0,3.0,,2.0,2.0,2.0,,3.0,2.0,1.0,,3.0,,,1.0,,,,,1.0,0.2228,1.0,,,,1.0,,
