match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_aerialLost,stat_shotOffTarget,stat_errorLeadToAShot,stat_wonContest,stat_outfielderBlock,stat_wasFouled,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,player_sofascoreId,stat_accurateCross,stat_hitWoodwork,stat_goals
12513721,home,Santa Clara,Gabriel Batista,,,gabriel-batista,G. Batista,G,1,188,348,M,822526,EUR,896832000,G,1,1,False,True,38.0,29.0,17.0,8.0,0.0,23.0,23.0,6.0,15.0,1.0,1.0,5.0,10.0,1.0,2.0,5.0,4.0,90.0,52.0,8.0,9.0,0.0032601,0,1.2066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513721,home,Santa Clara,Lucas Soares,,,lucas-soares,L. Soares,M,42,176,85,M,991358,EUR,894240000,D,42,42,False,,25.0,12.0,11.0,1.0,0.0,8.0,17.0,4.0,10.0,,2.0,10.0,4.0,,,,,90.0,53.0,6.2,18.0,0.00301797,1,,2.0,9.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,0.0322,,,,,,,,,,,,,,,,,
12513721,home,Santa Clara,Sidney Lima,Sidney,,sidney-lima,S. Lima,D,23,182,139,M,1131145,EUR,853459200,D,23,23,False,,29.0,28.0,1.0,1.0,0.0,25.0,26.0,3.0,3.0,1.0,2.0,10.0,5.0,,,,,76.0,47.0,6.2,1.0,0.00089693,1,,,5.0,,,,4.0,1.0,,,1.0,0.032,4.0,1.0,1.0,,,,,,,,,,,,,,
12513721,home,Santa Clara,Luís Rocha,,,luis-rocha,L. Rocha,D,13,186,44,M,141012,EUR,524275200,D,13,13,False,,45.0,42.0,3.0,1.0,0.0,37.0,39.0,5.0,6.0,1.0,1.0,7.0,3.0,,,,,71.0,52.0,6.5,3.0,0.00215171,0,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
12513721,home,Santa Clara,Matheus Araújo,Matheus,,matheus-araujo,M. Araújo,D,32,185,323,M,1105841,EUR,983404800,D,32,32,False,,52.0,40.0,10.0,4.0,0.0,27.0,33.0,13.0,19.0,4.0,8.0,16.0,2.0,,,,,90.0,86.0,7.6,17.0,0.0468789,0,,,2.0,,1.0,,,2.0,1.0,1.0,2.0,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,
12513721,home,Santa Clara,Diogo Calila,,,diogo-calila,D. Calila,M,2,173,593,M,892083,EUR,907977600,D,2,2,False,,15.0,10.0,,,0.0,6.0,8.0,4.0,8.0,2.0,5.0,3.0,2.0,,,,,80.0,35.0,6.7,11.0,0.0019059,1,,1.0,10.0,2.0,,,,3.0,1.0,2.0,4.0,0.0285,4.0,,,,,1.0,,1.0,0.0305,,,,,,,,
12513721,home,Santa Clara,Vinícius Lopes,,,vinicius-lopes,V. Lopes,F,70,175,316,M,1001753,EUR,926035200,M,70,70,False,,20.0,17.0,,,0.0,6.0,7.0,11.0,13.0,,5.0,2.0,3.0,,,,,80.0,36.0,7.0,5.0,0.0452986,2,,,5.0,2.0,4.0,,,1.0,,,1.0,0.2979,,1.0,,2.0,2.0,2.0,,1.0,0.3458,,,,,,,,
12513721,home,Santa Clara,Serginho,,,serginho,Serginho,M,35,181,94,M,1019184,EUR,944006400,M,35,35,False,,16.0,11.0,,,0.0,8.0,10.0,3.0,8.0,1.0,3.0,3.0,2.0,,,,,71.0,29.0,6.7,10.0,0.00141069,0,,2.0,4.0,,,,1.0,1.0,1.0,2.0,1.0,,2.0,,,,1.0,1.0,,,,1.0,,,,,,,
12513721,home,Santa Clara,Adriano Firmino,,,adriano-firmino,A. Firmino,M,6,187,127,M,989383,EUR,941673600,M,6,6,False,,52.0,44.0,6.0,2.0,0.0,29.0,32.0,15.0,20.0,,4.0,2.0,6.0,,,,,90.0,66.0,6.6,11.0,0.0194185,0,,,4.0,,3.0,,,,,1.0,1.0,,1.0,,,2.0,,2.0,,,,1.0,,,,,,,
12513721,home,Santa Clara,Ricardinho,,,ricardinho,Ricardinho,M,21,178,116,M,1094399,EUR,902361600,M,10,10,False,,23.0,16.0,2.0,,0.0,5.0,7.0,11.0,16.0,,6.0,2.0,2.0,,,,,87.0,50.0,6.7,17.0,0.0263529,3,,,9.0,4.0,2.0,1.0,,2.0,1.0,7.0,1.0,0.2962,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,0.6456,2.0,1.0,,,,,,
