match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_shotOffTarget,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_totalContest,captain,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_errorLeadToAShot,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_bigChanceMissed,stat_goals,stat_blockedScoringAttempt,stat_punches,player_sofascoreId,stat_hitWoodwork
12499805,home,Borussia M'gladbach,Moritz Nicolas,moritz-nicolas,M. Nicolas,G,33,193,411,M,578166,EUR,877392000,G,33,33,False,43.0,32.0,20.0,9.0,0.0,25.0,29.0,7.0,14.0,14.0,3.0,3.0,6.0,90.0,60.0,8.2,11.0,0.00117226,0,1.2613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499805,home,Borussia M'gladbach,Joseph Scally,scally-joseph,J. Scally,D,29,184,1087,M,1002920,EUR,1041292800,D,29,29,False,57.0,48.0,5.0,1.0,0.0,31.0,32.0,17.0,26.0,3.0,,,,90.0,77.0,6.6,13.0,0.1023,0,,1.0,1.0,1.0,5.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12499805,home,Borussia M'gladbach,Marvin Friedrich,marvin-friedrich,M. Friedrich,D,5,193,161,M,254449,EUR,818812800,D,5,5,False,58.0,55.0,2.0,1.0,0.0,41.0,42.0,14.0,16.0,2.0,,,,90.0,62.0,6.4,4.0,0.00706248,0,,,3.0,2.0,5.0,2.0,2.0,,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12499805,home,Borussia M'gladbach,Ko Itakura,ko-itakura,K. Itakura,D,4,189,3073,M,790989,EUR,854323200,D,3,3,False,56.0,51.0,4.0,1.0,0.0,36.0,39.0,15.0,17.0,3.0,,,,90.0,68.0,6.9,6.0,0.00673931,1,,,1.0,1.0,3.0,3.0,1.0,,6.0,,1.0,,1.0,,,,1.0,1.0,1.0,2.0,1.0,0.0269,,,,,,,,,,,,,,,
12499805,home,Borussia M'gladbach,Lukas Ullrich,lukas-ullrich,L. Ullrich,D,26,177,362,M,1083382,EUR,1079395200,D,26,26,False,27.0,21.0,1.0,,0.0,9.0,10.0,12.0,17.0,3.0,,,,70.0,42.0,6.5,7.0,0.0088283,0,,,,1.0,2.0,4.0,,,3.0,,,1.0,1.0,,Lukas Ullrich,,,,,2.0,,,1.0,,,,,,,,,,,,,,
12499805,home,Borussia M'gladbach,Julian Weigl,julian-weigl,J. Weigl,M,5,186,1190,M,237068,EUR,810518400,M,8,8,False,52.0,50.0,3.0,3.0,0.0,29.0,29.0,21.0,26.0,4.0,,,,90.0,73.0,7.3,6.0,0.0194284,0,,3.0,,,3.0,4.0,2.0,1.0,6.0,2.0,,1.0,,,,,,1.0,,3.0,2.0,,,True,,,,,,,,,,,,,
12499805,home,Borussia M'gladbach,Florian Neuhaus,florian-neuhaus,F. Neuhaus,M,10,185,880,M,837205,EUR,858470400,M,10,10,False,52.0,44.0,7.0,4.0,1.0,18.0,20.0,29.0,35.0,5.0,,,,90.0,71.0,7.5,13.0,0.369594,2,,3.0,,,5.0,5.0,1.0,,1.0,,2.0,1.0,3.0,3.0,,,2.0,2.0,,1.0,,0.1084,4.0,,3.0,3.0,1.0,1.0,,,,,,,,,
12499805,home,Borussia M'gladbach,Nathan N'Goumou,nathan-ngoumou,N. Ngoumou,M,19,182,657,M,962409,EUR,952992000,M,19,19,False,32.0,26.0,,,0.0,8.0,9.0,18.0,25.0,2.0,,,,89.0,50.0,6.6,13.0,0.0170489,1,,2.0,,,6.0,3.0,1.0,,4.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,0.0518,5.0,,,1.0,,,1.0,0.0303,,,,,,,
12499805,home,Borussia M'gladbach,Kevin Stöger,kevin-stoger,K. Stöger,M,7,175,715,M,95381,EUR,746409600,M,7,7,False,69.0,54.0,7.0,3.0,0.0,16.0,20.0,38.0,58.0,5.0,,,,90.0,88.0,7.2,26.0,0.254947,0,,9.0,1.0,2.0,7.0,6.0,3.0,1.0,1.0,,,2.0,1.0,2.0,,,,,,1.0,1.0,,2.0,,,1.0,,,,,,,,,,,
12499805,home,Borussia M'gladbach,Robin Hack,robin-hack,R. Hack,M,25,176,520,M,876858,EUR,904176000,M,25,25,False,34.0,31.0,1.0,1.0,0.0,11.0,12.0,20.0,23.0,5.0,,,,70.0,45.0,6.6,9.0,0.111042,1,,1.0,1.0,1.0,6.0,1.0,1.0,2.0,,,1.0,,,1.0,,,,1.0,,,,0.0202,2.0,,,,1.0,,1.0,0.0164,1.0,,,,,,
