match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_aerialWon,stat_totalCross,stat_goals,stat_outfielderBlock,stat_wonTackle,stat_accurateCross,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_hitWoodwork,stat_fouls,stat_totalOffside,stat_blockedScoringAttempt,stat_bigChanceMissed,captain,stat_bigChanceCreated,player_sofascoreId,stat_lastManTackle,stat_goodHighClaim,stat_totalKeeperSweeper,stat_errorLeadToAShot
14035887,away,Sint-Truidense VV,Shogo Taniguchi,shogo-taniguchi,S. Taniguchi,D,5,182,732,M,386958,EUR,679536000,D,5,5,False,55.0,48.0,7.0,3.0,0.0,29.0,32.0,19.0,23.0,2.0,5.0,4.0,1.0,,,90.0,66.0,6.7,8.0,0.0148489,,0,,0.26,0.09,-0.13,,Shogo,Taniguchi,2.0,,,,2.0,1.0,,,,,,2.0,,,,1.0,,,,,,,,,,,True,,,,,,
14035887,away,Sint-Truidense VV,Visar Musliu,visar-musliu,V. Musliu,D,26,186,207,M,134231,EUR,784684800,D,26,26,False,57.0,52.0,5.0,3.0,0.0,38.0,40.0,14.0,17.0,5.0,5.0,4.0,1.0,,,90.0,69.0,6.9,5.0,0.00904583,,0,,0.18,0.11,-0.34,,Visar,Musliu,3.0,1.0,,,2.0,2.0,,,,,,1.0,2.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,1.0
14035887,away,Sint-Truidense VV,Taiga Hata,taiga-hata,T. Hata,M,3,175,259,M,1002356,EUR,1011484800,D,3,3,False,38.0,30.0,3.0,2.0,0.0,18.0,23.0,12.0,15.0,1.0,3.0,2.0,1.0,,,90.0,54.0,6.2,11.0,0.0929522,,0,,-0.02,0.04,-0.23,,,,2.0,1.0,,,,,2.0,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,
14035887,away,Sint-Truidense VV,Rihito Yamamoto,rihito-yamamoto,R. Yamamoto,M,6,179,455,M,1030211,EUR,1008115200,M,6,6,False,33.0,25.0,1.0,1.0,0.0,14.0,17.0,11.0,16.0,5.0,2.0,4.0,2.0,,,90.0,53.0,6.8,12.0,0.245622,,0,,0.27,0.0,-0.14,,,,4.0,1.0,1.0,,3.0,3.0,2.0,,,2.0,,1.0,,3.0,,,2.0,3.0,,,,,1.0,,,,,,,,,,
14035887,away,Sint-Truidense VV,Abdoulaye Sissako,abdoulaye-sissako,A. Sissako,M,8,186,79,M,846330,EUR,896140800,M,8,8,False,41.0,34.0,3.0,1.0,0.0,19.0,22.0,15.0,19.0,3.0,4.0,3.0,,,,83.0,55.0,6.7,10.0,0.0260729,,0,,0.05,0.07,0.35,,,,5.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,1.0,,2.0,1.0,,,2.0,,,,,,,,,,
14035887,away,Sint-Truidense VV,Robert-Jan Vanwesemael,vanwesemael-robert-jan,R. Vanwesemael,M,60,175,67,M,1047164,EUR,1017100800,M,60,60,False,27.0,21.0,1.0,1.0,0.0,8.0,11.0,13.0,16.0,4.0,2.0,5.0,,,,77.0,55.0,6.4,16.0,0.100354,,1,,0.0,0.24,-0.13,,,,7.0,1.0,,1.0,1.0,3.0,4.0,0.0155,0.0107,1.0,-0.05,1.0,,3.0,,1.0,1.0,1.0,3.0,1.0,,,3.0,,,,,,,,,,
14035887,away,Sint-Truidense VV,Arbnor Muja,arbnor-muja,A. Muja,M,7,179,523,M,890695,EUR,912297600,M,7,7,False,23.0,18.0,2.0,1.0,0.0,6.0,7.0,12.0,16.0,2.0,1.0,4.0,,,,64.0,29.0,6.1,9.0,0.0622724,,0,,-0.24,0.18,-0.1,,Arbnor,Muja,3.0,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,
14035887,away,Sint-Truidense VV,Ilias Sebaoui,ilias-sebaoui,I. Sebaoui,M,10,180,683,M,1154586,EUR,1002153600,M,10,10,False,32.0,22.0,6.0,2.0,0.0,9.0,12.0,13.0,20.0,5.0,1.0,5.0,1.0,,,83.0,47.0,6.5,15.0,0.0180329,,1,,-0.16,0.2,-0.19,,Ilias Sebaoui,,4.0,2.0,1.0,,,2.0,3.0,0.1049,,1.0,-0.17,,,,,,2.0,,2.0,2.0,1.0,,1.0,1.0,,,,,,,,,
14035887,away,Sint-Truidense VV,Keisuke Goto,goto-keisuke,K. Goto,F,42,191,1367,M,1391315,EUR,1117756800,F,42,42,False,22.0,16.0,1.0,,0.0,8.0,9.0,8.0,13.0,5.0,1.0,2.0,,,,90.0,34.0,6.2,10.0,0.100127,,1,,-0.31,-0.13,0.14,,,,4.0,,1.0,,,2.0,1.0,0.1364,,1.0,-0.51,1.0,3.0,,,,1.0,,1.0,,1.0,,1.0,2.0,,,,,,,,,
14035887,away,Sint-Truidense VV,Andrés Ferrari,andres-ferrari,A. Ferrari,F,9,183,452,M,1177406,EUR,1041552000,F,9,9,True,4.0,4.0,,,0.0,3.0,3.0,1.0,1.0,2.0,,2.0,2.0,,,26.0,13.0,6.6,2.0,0.0004748,,2,,-0.01,0.27,0.16,,,,2.0,,,1.0,,,1.0,0.0872,0.0859,,-0.42,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,
14035887,away,Sint-Truidense VV,Kaito Matsuzawa,kaito-matsuzawa,K. Matsuzawa,M,38,176,200,M,1514300,EUR,981331200,F,38,38,True,6.0,5.0,,,0.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,,,,13.0,11.0,6.5,2.0,0.00427119,,1,,-0.02,0.04,0.15,,Kaito,Matsuzawa,2.0,,1.0,,,1.0,,0.0604,,,0.0,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,
14035887,away,Sint-Truidense VV,Isaías Delpupo,delpupo-isaias,I. Delpupo,M,11,176,147,M,1046241,EUR,1049068800,M,11,11,True,3.0,1.0,1.0,,0.0,1.0,1.0,,2.0,3.0,1.0,2.0,,,,10.0,10.0,6.8,3.0,1.672e-05,,0,,-0.09,0.18,0.24,,Isaias Del Pupo,,2.0,,1.0,,,2.0,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
14035887,away,Sint-Truidense VV,Alouis Diriken,alouis-diriken,A. Diriken,M,33,187,37,M,1481773,EUR,1080777600,M,33,33,True,5.0,4.0,,,0.0,1.0,1.0,3.0,4.0,,,,,,,11.0,7.0,6.7,1.0,0.00521897,,1,,-0.01,0.02,0.0,,,,,,,1.0,,,,0.0156,0.0415,,-0.01,,,,,,,,,,,,,,,,,,,,,,
14035887,away,Sint-Truidense VV,Matt Lendfers,matt-lendfers,M. Lendfers,G,21,190,61,M,1393695,EUR,1141948800,G,21,21,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Matt Lendfers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035887,away,Sint-Truidense VV,Jo Coppens,jo-coppens,J. Coppens,G,12,190,48,M,45854,EUR,661737600,G,12,12,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035887,away,Sint-Truidense VV,Simen Juklerød,simen-juklerod,S. Juklerød,D,18,186,64,M,252515,EUR,769219200,D,18,18,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Simen,Juklerød,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035887,away,Sint-Truidense VV,Wolke Janssens,janssens-wolke,W. Janssens,D,22,185,37,M,794418,EUR,789782400,D,22,22,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035887,away,Sint-Truidense VV,Hugo Lambotte,hugo-lambotte,H. Lambotte,D,34,180,27,M,1888649,EUR,1150675200,D,34,34,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Hugo Lambotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
