match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_totalContest,stat_fouls,captain,stat_outfielderBlock,stat_totalOffside,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_shotOffTarget,stat_goals,stat_blockedScoringAttempt
12448266,home,NAC Breda,Daniel Bielica,,,bielica-daniel,D. Bielica,G,99,189,296,M,939460,EUR,925430400,G,99,99,False,29.0,23.0,17.0,11.0,0.0,17.0,17.0,6.0,12.0,1.0,1.0,1.0,5.0,1.0,3.0,4.0,90.0,38.0,7.2,6.0,0.00146811,0,-0.0097,,,,,,,,,,,,,,,,,,,,,,,,,
12448266,home,NAC Breda,Boyd Lucassen,Boyd,Lucassen,boyd-lucassen,B. Lucassen,D,2,173,39,M,912651,EUR,899251200,D,2,2,False,14.0,9.0,3.0,1.0,0.0,7.0,9.0,2.0,6.0,2.0,7.0,3.0,2.0,,,,90.0,32.0,6.6,9.0,0.00798371,0,,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
12448266,home,NAC Breda,Leo Greiml,,,leo-greiml,L. Greiml,D,12,186,224,M,918420,EUR,994118400,D,12,12,False,29.0,22.0,4.0,1.0,0.0,21.0,24.0,1.0,5.0,3.0,6.0,9.0,3.0,,,,85.0,46.0,6.4,9.0,0.00215407,0,,,5.0,,,3.0,3.0,1.0,,1.0,1.0,3.0,,,,,,,,,,,,,,
12448266,home,NAC Breda,Jan Van den Bergh,,,jan-van-den-bergh,J. Van den Bergh,D,52,189,155,M,929498,EUR,781056000,D,5,5,False,40.0,27.0,11.0,3.0,0.0,19.0,24.0,8.0,17.0,,2.0,5.0,2.0,,,,90.0,59.0,6.5,20.0,0.00308097,0,,1.0,6.0,1.0,1.0,,,,2.0,2.0,1.0,2.0,True,2.0,1.0,,,,,,,,,,,
12448266,home,NAC Breda,Boy Kemper,Boy,Kemper,boy-kemper,B. Kemper,D,4,185,120,M,858242,EUR,929923200,D,4,4,False,40.0,27.0,8.0,2.0,1.0,12.0,16.0,16.0,25.0,1.0,3.0,1.0,6.0,,,,90.0,59.0,7.2,14.0,0.774167,0,,1.0,6.0,,3.0,,,1.0,1.0,4.0,1.0,2.0,,1.0,,1.0,1.0,1.0,2.0,,,,,,,
12448266,home,NAC Breda,Fredrik Jensen,Fredrik,Jensen,fredrik-jensen,F. Jensen,M,20,185,100,M,226762,EUR,737683200,M,20,20,False,25.0,19.0,2.0,1.0,0.0,11.0,14.0,8.0,11.0,,1.0,1.0,3.0,,,,72.0,28.0,6.8,6.0,0.00715413,1,,,3.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,1.0,0.0282,0.2309,,,,
12448266,home,NAC Breda,Maximilien Balard,Maximilien,Balard,balard-maximilien,M. Balard,M,16,178,164,M,1096511,EUR,974592000,M,16,16,False,24.0,20.0,1.0,,0.0,13.0,13.0,7.0,11.0,2.0,4.0,4.0,8.0,,,,90.0,38.0,6.6,8.0,0.0133069,0,,,7.0,,1.0,2.0,,1.0,,4.0,1.0,1.0,,,,,,,,,,,1.0,,,
12448266,home,NAC Breda,Raul Paula,Raul Paula,,paula-raul,R. Paula,M,11,177,105,M,1083398,EUR,1074988800,M,11,11,False,9.0,5.0,,,0.0,3.0,5.0,2.0,5.0,,4.0,,4.0,,,,67.0,19.0,6.6,8.0,0.00480149,0,,1.0,4.0,,,,,,2.0,1.0,3.0,,,,,,2.0,,,,,,2.0,,,
12448266,home,NAC Breda,Clint Leemans,Clint,Leemans,clint-franciscus-henricus-leemans,C. Leemans,M,8,187,91,M,336811,EUR,811123200,M,8,8,False,27.0,20.0,,,0.0,6.0,7.0,15.0,22.0,1.0,6.0,,1.0,,,,72.0,35.0,7.1,8.0,0.0575003,1,,2.0,4.0,,,4.0,2.0,,1.0,2.0,,2.0,,,,1.0,,,,,0.0226,,,1.0,,
12448266,home,NAC Breda,Leo Sauer,Leo Sauer,,sauer-leo,L. Sauer,M,16,184,1911,M,1150938,EUR,1134691200,M,77,77,False,19.0,11.0,1.0,,0.0,2.0,3.0,9.0,20.0,3.0,4.0,1.0,,,,,90.0,37.0,6.2,20.0,0.00910689,1,,4.0,8.0,1.0,,1.0,1.0,2.0,,,3.0,3.0,,,,,,,,,0.122,,1.0,1.0,,
