match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_keyPass,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_lastManTackle,captain,stat_totalContest,stat_wonContest,stat_clearanceOffLine,stat_dispossessed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_goalAssist,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches
10437988,home,Paços de Ferreira,Marafona,marafona,Marafona,G,28,190,49,M,59715,EUR,547430400,G,28,28,False,17.0,17.0,8.0,8.0,15.0,15.0,2.0,2.0,1.0,5.0,3.0,90.0,25.0,5.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437988,home,Paços de Ferreira,Juan Delgado,juan-delgado,J. Delgado,D,15,177,146,M,339695,EUR,731289600,D,15,15,False,40.0,31.0,5.0,2.0,18.0,20.0,15.0,31.0,,2.0,,90.0,77.0,6.8,1,11.0,2.0,1.0,3.0,7.0,8.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,20.0,3.0,,,,,,,,,,,,,,,,,,
10437988,home,Paços de Ferreira,Nuno Lima,nuno-lima,N. Lima,D,3,184,122,M,1133301,EUR,984700800,D,3,3,False,78.0,68.0,11.0,8.0,54.0,60.0,14.0,19.0,3.0,12.0,,90.0,94.0,7.5,1,1.0,,3.0,4.0,4.0,11.0,,,,1.0,2.0,6.0,2.0,,,1.0,1.0,11.0,,Nuno Lima,,1.0,1.0,,,,,,,,,,,,,,
10437988,home,Paços de Ferreira,Maracás,maracas,Maracás,D,26,184,121,M,931485,EUR,767404800,D,25,25,False,56.0,52.0,5.0,4.0,46.0,49.0,6.0,7.0,4.0,2.0,,90.0,66.0,6.9,0,,,,5.0,2.0,7.0,,,,1.0,1.0,2.0,2.0,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,
10437988,home,Paços de Ferreira,Vitorino Antunes,vitorino-antunes,V. Antunes,D,,175,105,M,28386,EUR,544233600,D,5,5,False,49.0,44.0,8.0,5.0,16.0,18.0,28.0,38.0,1.0,8.0,,90.0,75.0,7.2,1,7.0,,,1.0,4.0,5.0,1.0,,1.0,2.0,3.0,2.0,1.0,,1.0,1.0,1.0,15.0,,,,,,True,3.0,1.0,1.0,,,,,,,,,,
10437988,home,Paços de Ferreira,Rui Pires,rui-pires,R. Pires,M,8,182,65,M,845751,EUR,890524800,M,26,26,False,42.0,37.0,6.0,4.0,16.0,18.0,21.0,24.0,2.0,4.0,,73.0,47.0,6.5,0,,,2.0,1.0,3.0,1.0,,,,,,,,,,,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,
10437988,home,Paços de Ferreira,Hernani Infande,infande-hernani,H. Infande,F,,178,44,M,1088749,EUR,986256000,M,70,70,False,18.0,14.0,2.0,2.0,3.0,5.0,11.0,14.0,,1.0,,61.0,28.0,6.8,0,1.0,,,,2.0,6.0,,,,,,2.0,1.0,,,2.0,1.0,6.0,2.0,,,,,,3.0,2.0,,,,,,,,,,,
10437988,home,Paços de Ferreira,Luiz Carlos,luiz-carlos,L. Carlos,M,,175,24,M,94203,EUR,489369600,M,22,22,False,34.0,30.0,3.0,3.0,13.0,15.0,17.0,20.0,,4.0,,61.0,45.0,6.5,1,1.0,,,2.0,3.0,5.0,1.0,,1.0,,1.0,,,,,1.0,1.0,6.0,,,,,,,2.0,2.0,,1.0,,,,,,,,,
10437988,home,Paços de Ferreira,Jordan Holsgrove,jordan-holsgrove,J. Holsgrove,M,10,180,223,M,920684,EUR,936921600,M,6,6,False,49.0,38.0,6.0,3.0,15.0,18.0,23.0,35.0,1.0,3.0,,73.0,63.0,6.5,2,4.0,,,1.0,3.0,3.0,,,,,,,,,1.0,2.0,1.0,18.0,1.0,,,,,,1.0,,,1.0,2.0,1.0,,,,,,,
10437988,home,Paços de Ferreira,Nigel Thomas,nigel-thomas,N. Thomas,F,27,177,76,M,916952,EUR,980985600,M,7,7,False,19.0,17.0,3.0,1.0,1.0,2.0,18.0,20.0,1.0,,,60.0,34.0,6.6,3,3.0,2.0,,,2.0,4.0,1.0,,2.0,,,,,,2.0,2.0,,6.0,,,,,,,2.0,2.0,,1.0,1.0,,,,,,,,
