match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_bigChanceCreated,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_aerialLost,stat_duelLost,stat_totalContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_shotOffTarget,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_totalCross,stat_dispossessed,stat_fouls,captain,stat_accurateCross,stat_challengeLost,stat_wonContest,stat_goals,stat_penaltyWon,stat_totalOffside,stat_blockedScoringAttempt,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_hitWoodwork,stat_errorLeadToAShot,stat_clearanceOffLine,stat_penaltyConceded
14065076,home,Bayer 04 Leverkusen,Mark Flekken,mark-flekken,M. Flekken,G,1,194,2843,M,171919,EUR,739929600,G,1,1,False,36.0,20.0,26.0,10.0,0.0,14.0,17.0,6.0,19.0,1.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,90.0,42.0,6.7,16.0,0.00472624,0.0002,1.0,0,-0.5265,0.17,0.02,-0.06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065076,home,Bayer 04 Leverkusen,Jarell Quansah,jarell-quansah,J. Quansah,D,4,190,10345,M,1003339,EUR,1043798400,D,4,4,False,31.0,26.0,3.0,1.0,0.0,16.0,18.0,10.0,13.0,3.0,4.0,,6.0,4.0,,,,,90.0,48.0,6.7,7.0,0.0090018,,,1,,0.08,0.04,0.16,,jarellquansah,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2215,0.6504,-0.52,,,,,,,,,,,,,,,,,,,,,
14065076,home,Bayer 04 Leverkusen,Loïc Badé,loic-bade,L. Badé,D,5,191,3191,M,1006489,EUR,955411200,D,5,5,False,32.0,28.0,3.0,2.0,0.0,23.0,24.0,5.0,8.0,6.0,8.0,,5.0,4.0,,,,,90.0,43.0,7.0,5.0,0.00575296,,,2,,0.01,0.1,-0.08,,,1.0,1.0,,,1.0,,,2.0,1.0,,0.065,0.0916,-0.24,1.0,1.0,,,,,,,,,,,,,,,,,,,
14065076,home,Bayer 04 Leverkusen,Edmond Tapsoba,edmond-tapsoba,E. Tapsoba,D,12,193,33838,M,883262,EUR,917913600,D,12,12,False,45.0,37.0,7.0,3.0,0.0,30.0,35.0,7.0,10.0,2.0,7.0,,5.0,,,,,,90.0,64.0,7.2,10.0,0.00299989,,,0,,-0.04,0.02,0.18,,edmondtapsoba,1.0,1.0,,,,1.0,,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
14065076,home,Bayer 04 Leverkusen,Lucas Vázquez,lucas-vazquez,L. Vázquez,D,21,173,59984,M,255239,EUR,678326400,M,21,21,False,26.0,20.0,,,0.0,8.0,10.0,12.0,16.0,1.0,5.0,1.0,2.0,2.0,,,,,90.0,49.0,7.2,10.0,0.355477,,1.0,2,,0.34,0.1,-0.03,,LucasVaz91,,2.0,,1.0,,,1.0,2.0,2.0,2.0,0.1015,,-0.02,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,
14065076,home,Bayer 04 Leverkusen,Robert Andrich,robert-andrich,R. Andrich,M,8,189,3316,M,168903,EUR,780192000,M,8,8,False,18.0,13.0,1.0,,0.0,6.0,8.0,7.0,10.0,1.0,2.0,,1.0,4.0,,,,,59.0,23.0,5.6,8.0,0.0273582,,,0,,0.17,0.08,-0.03,,,,4.0,1.0,,,,,1.0,,,,,,,2.0,,,,,3.0,True,,,,,,,,,,,,,
14065076,home,Bayer 04 Leverkusen,Exequiel Palacios,exequiel-palacios,E. Palacios,M,25,177,12684,M,822600,EUR,907545600,M,25,25,False,,,,,0.0,,,,,,2.0,,,1.0,,,,,15.0,2.0,6.7,,,,,0,,,,0.14,,exepalaciosok,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14065076,home,Bayer 04 Leverkusen,Alejandro Grimaldo,alejandro-grimaldo,A. Grimaldo,M,20,171,13099,M,177177,EUR,811555200,M,20,20,False,21.0,15.0,2.0,1.0,0.0,11.0,13.0,4.0,8.0,,9.0,1.0,3.0,3.0,,,,,90.0,53.0,9.7,13.0,0.233453,,2.0,2,,0.33,0.12,-0.04,,grimaldo35,2.0,6.0,6.0,,2.0,,,5.0,2.0,1.0,0.1202,0.3811,0.99,,,,,3.0,,,,1.0,1.0,3.0,2.0,,,,,,,,,
14065076,home,Bayer 04 Leverkusen,Nathan Tella,nathan-tella,N. Tella,M,23,173,3098,M,920379,EUR,931132800,F,23,23,False,17.0,14.0,,,0.0,4.0,4.0,10.0,13.0,1.0,10.0,,,6.0,,,,,83.0,35.0,7.6,9.0,0.0834246,,3.0,2,,0.24,0.64,-0.09,,,,10.0,5.0,1.0,1.0,,1.0,3.0,1.0,3.0,0.264,,-0.61,1.0,1.0,,,,3.0,3.0,,,2.0,3.0,,1.0,3.0,,,,,,,
14065076,home,Bayer 04 Leverkusen,Malik Tillman,malik-tillman,M. Tillman,M,10,186,5864,M,975798,EUR,1022544000,F,10,10,False,13.0,12.0,,,0.0,7.0,8.0,5.0,5.0,3.0,4.0,,,2.0,,,,,62.0,24.0,6.7,3.0,0.0102851,,1.0,3,,0.04,0.23,-0.01,,MalikTillman8,1.0,3.0,,,,,,1.0,1.0,,0.1777,,-0.56,2.0,,,,,1.0,,,,1.0,,,,,1.0,,,,,,
