match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_totalClearance,stat_interceptionWon,stat_aerialWon,stat_duelWon,stat_clearanceOffLine,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_errorLeadToAGoal,stat_totalCross,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_wonTackle,stat_totalOffside,captain,stat_accurateCross,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_penaltyWon,stat_keyPass,stat_penaltyMiss,stat_goodHighClaim,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_bigChanceCreated,stat_shotOffTarget,stat_penaltyConceded,player_sofascoreId,stat_goals
12694090,home,Colchester United,Matt Macey,,,matt-macey,M. Macey,G,1,201.0,123,M,225096,EUR,779068800,G,1,1,False,29.0,11.0,24.0,6.0,0.0,7.0,10.0,4.0,19.0,1.0,1.0,6.0,1.0,2.0,1.0,90.0,33.0,6.4,19.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12694090,home,Colchester United,Rob Hunt,Rob,Hunt,rob-hunt,R. Hunt,D,2,170.0,8,M,828615,EUR,805075200,D,19,19,False,8.0,7.0,2.0,1.0,0.0,2.0,3.0,5.0,5.0,1.0,,3.0,,,,45.0,15.0,6.5,1.0,0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12694090,home,Colchester United,Ben Goodliffe,Ben,Goodliffe,ben-goodliffe,B. Goodliffe,D,6,188.0,84,M,855857,EUR,929750400,D,5,5,False,31.0,22.0,7.0,2.0,0.0,21.0,22.0,1.0,9.0,5.0,1.0,4.0,,,,90.0,39.0,6.6,10.0,0,3.0,4.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12694090,home,Colchester United,Aaron Donnelly,,,aaron-donnelly,A. Donnelly,D,6,185.0,65,M,1123687,EUR,1055030400,D,25,25,False,27.0,18.0,6.0,2.0,0.0,13.0,13.0,5.0,14.0,1.0,1.0,1.0,,,,90.0,49.0,6.4,20.0,0,,4.0,2.0,1.0,3.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
12694090,home,Colchester United,Alex Woodyard,Alex,Woodyard,alex-woodyard,A. Woodyard,M,30,175.0,5,M,851289,EUR,721872000,M,30,30,False,2.0,1.0,2.0,1.0,0.0,1.0,1.0,,1.0,2.0,1.0,2.0,,,,45.0,5.0,6.3,2.0,0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12694090,home,Colchester United,Harry Anderson,Harry,Anderson,harry-anderson,H. Anderson,M,7,168.0,16,M,589168,EUR,852768000,M,7,7,False,8.0,5.0,2.0,,0.0,2.0,2.0,3.0,9.0,3.0,2.0,5.0,,,,62.0,24.0,6.9,10.0,1,,,,1.0,7.0,,,3.0,2.0,2.0,,,3.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,
12694090,home,Colchester United,Milton Oni,Milton,Oni,milton-oni,M. Oni,M,42,,1,M,1587425,EUR,1142899200,M,42,42,False,14.0,9.0,1.0,,0.0,6.0,7.0,3.0,8.0,5.0,1.0,3.0,,,,66.0,21.0,6.5,7.0,0,1.0,,,1.0,4.0,,,1.0,,1.0,2.0,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
12694090,home,Colchester United,Arthur Read,Arthur,Read,arthur-read,A. Read,M,16,178.0,42,M,864439,EUR,941587200,M,16,16,False,25.0,23.0,3.0,2.0,0.0,11.0,12.0,14.0,17.0,1.0,1.0,4.0,,,,90.0,42.0,7.1,6.0,0,,,3.0,,3.0,,,3.0,1.0,,,,4.0,,,,1.0,,True,2.0,,,,,,,,,,,,,,,
12694090,home,Colchester United,Ellis Iandolo,,,ellis-iandolo,E. Iandolo,D,3,178.0,10,M,812106,EUR,872208000,M,3,3,False,11.0,6.0,3.0,,0.0,3.0,4.0,3.0,7.0,,,,,,,45.0,17.0,6.7,5.0,0,,,2.0,,2.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12694090,home,Colchester United,Tom Hopper,Tom,Hopper,tom-hopper,T. Hopper,F,21,186.0,22,M,219566,EUR,755827200,F,14,14,False,15.0,6.0,1.0,,0.0,3.0,5.0,3.0,10.0,9.0,1.0,2.0,,,,90.0,22.0,6.6,13.0,1,7.0,,,4.0,4.0,,,,3.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
