match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,length,playerName,reason,rescinded,player_id,player_name
14083247,FT,0.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
14083247,,,,,90,,,1,,,substitution,125424538.0,False,True,regular,,,,,,
14083247,,,,,90,,,1,,,substitution,125424537.0,True,True,injury,,,,,,
14083247,,,,,90,,,1,,,substitution,125424531.0,True,True,injury,,,,,,
14083247,,,,,90,0.0,,1,,,injuryTime,,,,,4.0,,,,,
14083247,,,,,81,,,10,,,substitution,125424492.0,False,False,regular,,,,,,
14083247,,,,,77,,,14,,,substitution,125424470.0,False,True,regular,,,,,,
14083247,,,,,77,,,14,,,substitution,125424471.0,False,False,regular,,,,,,
14083247,,,,,76,,,15,,,substitution,125424472.0,False,False,regular,,,,,,
14083247,,,,,68,,,23,,,substitution,125424404.0,False,True,regular,,,,,,
14083247,,,,,68,,,23,,,substitution,125424405.0,False,False,regular,,,,,,
14083247,,,,,68,,,23,,,substitution,125424387.0,False,False,regular,,,,,,
14083247,,,,,61,,,30,,,card,124581581.0,,False,yellow,,Borja Iglesias,Foul,False,785989.0,Borja Iglesias
14083247,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
14083247,,,,,45,0.0,,1,,,injuryTime,,,,,2.0,,,,,
14083247,,,,,35,,,11,,,card,124581436.0,,True,yellow,,Martín Satriano,Foul,False,973536.0,Martín Satriano
14083247,,,,,19,,,27,,,card,124581380.0,,False,yellow,,Ilaix Moriba,Foul,False,962890.0,Ilaix Moriba
