match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_totalClearance,stat_fouls,stat_aerialLost,stat_interceptionWon,stat_totalTackle,stat_accurateCross,stat_challengeLost,stat_outfielderBlock,stat_wonTackle,player_firstName,player_lastName,stat_unsuccessfulTouch,stat_keyPass,stat_totalContest,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_expectedGoals,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal
12436884,home,Bournemouth,Neto,neto,Neto,G,22,190,5148,M,Neto_Murara,84844,EUR,616809600,G,1,1,False,True,27.0,16.0,22.0,11.0,0.0,7.0,11.0,9.0,16.0,2.0,5.0,2.0,1.0,3.0,4.0,90.0,36.0,7.6,11.0,0.0031841,0,1.6482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436884,home,Bournemouth,Julián Araujo,julian-araujo,J. Araujo,D,22,175,4723,M,julian_araujo,978150,EUR,997660800,D,28,28,False,,27.0,21.0,5.0,2.0,0.0,10.0,11.0,11.0,17.0,1.0,6.0,,,,,86.0,40.0,6.5,9.0,0.00354477,0,,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436884,home,Bournemouth,Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,17027,M,IlliaZabarnyi,1023567,EUR,1030838400,D,27,27,False,,42.0,32.0,14.0,4.0,0.0,20.0,20.0,12.0,22.0,4.0,9.0,,,,,90.0,52.0,6.7,10.0,0.00635395,0,,,3.0,2.0,7.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12436884,home,Bournemouth,Marcos Senesi,marcos-senesi,M. Senesi,D,5,184,5596,M,,830659,EUR,863222400,D,5,5,False,,37.0,26.0,10.0,2.0,0.0,14.0,15.0,13.0,23.0,4.0,8.0,,,,,90.0,57.0,7.3,11.0,0.0321663,0,,1.0,1.0,3.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,
12436884,home,Bournemouth,Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,25853,M,miloskerkez,1097425,EUR,1068163200,D,3,3,False,,29.0,21.0,3.0,1.0,0.0,8.0,10.0,13.0,20.0,2.0,2.0,,,,,90.0,50.0,7.0,15.0,0.00981451,0,,1.0,,1.0,4.0,1.0,,1.0,2.0,,,1.0,1.0,Milos,Kerkez,3.0,,,,,,,,,,,,,,,,,
12436884,home,Bournemouth,Lewis Cook,lewis-cook,L. Cook,M,4,175,895,M,,548188,EUR,854928000,M,4,4,False,,43.0,33.0,7.0,5.0,0.0,12.0,15.0,23.0,35.0,6.0,4.0,,,,,90.0,60.0,7.2,15.0,0.305183,0,,7.0,1.0,7.0,3.0,5.0,,1.0,5.0,2.0,2.0,,4.0,,,,1.0,,,,,,,,,,,,,,,,
12436884,home,Bournemouth,Ryan Christie,ryan-christie,R. Christie,M,10,178,1213,M,,322391,EUR,793411200,M,10,10,False,,21.0,19.0,2.0,1.0,0.0,6.0,6.0,13.0,15.0,2.0,9.0,1.0,,,,64.0,32.0,6.8,6.0,0.037413,0,,,,4.0,1.0,1.0,1.0,,1.0,,,,,,,2.0,3.0,2.0,,,,,,,,,,,,,,,
12436884,home,Bournemouth,Antoine Semenyo,antoine-semenyo,A. Semenyo,M,42,185,84914,M,antoinesemenyo42,934354,EUR,947203200,M,24,24,False,,25.0,24.0,,,1.0,5.0,5.0,19.0,20.0,2.0,6.0,,,,,90.0,52.0,7.7,9.0,1.13406,7,,,,10.0,1.0,1.0,1.0,,2.0,,1.0,1.0,2.0,,,1.0,3.0,3.0,4.0,2.0,3.0,4.0,1.0,0.3266,,,,,,,,,
12436884,home,Bournemouth,Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171,6976,M,justinkluivert,851596,EUR,925862400,M,19,19,False,,18.0,15.0,,,0.0,3.0,4.0,12.0,17.0,2.0,5.0,,,,,72.0,33.0,6.7,11.0,0.195323,1,,3.0,,8.0,,5.0,,1.0,1.0,,,,,,,2.0,2.0,3.0,1.0,,1.0,,,0.0281,1.0,,,,,,,,
12436884,home,Bournemouth,Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1762,M,,895576,EUR,922060800,M,16,16,False,,26.0,22.0,,,0.0,6.0,7.0,17.0,23.0,6.0,5.0,1.0,,,,85.0,52.0,7.7,13.0,0.0373504,2,,4.0,2.0,7.0,,2.0,1.0,,3.0,1.0,,,3.0,,,2.0,4.0,2.0,2.0,,,1.0,,0.8723,,1.0,1.0,0.9919,,,,,
12436884,home,Bournemouth,Evanilson,evanilson,Evanilson,F,9,181,7635,M,evanilsonlima99,998490,EUR,939168000,F,9,9,False,,11.0,6.0,1.0,1.0,0.0,,1.0,6.0,10.0,5.0,1.0,2.0,,,,72.0,28.0,6.9,8.0,0.00310648,3,,,1.0,7.0,1.0,2.0,2.0,,1.0,,,1.0,1.0,,,,,2.0,2.0,,1.0,,,0.8107,1.0,2.0,,0.0975,1.0,,,,
