match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_shotValueNormalized,player_firstName,player_lastName,player_sofascoreId,stat_errorLeadToAGoal,stat_aerialLost,stat_ownGoals,stat_wonContest,stat_outfielderBlock,stat_dispossessed,captain,stat_keyPass,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals,stat_blockedScoringAttempt
13981608,home,Sassuolo,Arijanet Murić,arijanet-muric,A. Murić,G,49,198.0,1886,M,888971,EUR,910396800,G,49,49,False,32.0,25.0,16.0,9.0,0.0,22.0,23.0,3.0,9.0,1.0,1.0,1.0,1.0,2.0,15.0,5.0,7.0,8.0,2.0,2.0,90.0,58.0,8.2,7.0,0.00255489,56.354412754673,8.0,14.28,6.93,0.7913,0,-0.2356,0.06,0.02,-0.14,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981608,home,Sassuolo,Sebastian Walukiewicz,sebastian-walukiewicz,S. Walukiewicz,D,6,188.0,2252,M,886243,EUR,954892800,D,6,6,False,44.0,30.0,7.0,2.0,0.0,16.0,23.0,14.0,21.0,1.0,2.0,4.0,,3.0,2.0,,,,,,90.0,61.0,6.1,18.0,0.0158994,69.644565231832,8.0,53.34,26.985,,1,,0.12,0.03,-0.56,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.055,27.095810174269,1.0,-0.04,,,,,,,,,,,,,,,,,,,
13981608,home,Sassuolo,Jay Idzes,jay-idzes,J. Idzes,D,21,190.0,19111,M,933641,EUR,959904000,D,21,21,False,47.0,37.0,5.0,1.0,0.0,30.0,34.0,7.0,13.0,1.0,,4.0,,4.0,3.0,,,,,,89.0,58.0,5.8,10.0,0.00306395,74.157888346231,13.0,35.7,10.92,,0,,-0.04,0.11,-0.67,,,,,3.0,3.0,1.0,,,,,,,,,,,jayidzes,1.0,,,,,,,,,,,,,,,
13981608,home,Sassuolo,Tarik Muharemović,tarik-muharemovic,T. Muharemović,D,80,193.0,3504,M,1118177,EUR,1046390400,D,80,80,False,71.0,56.0,9.0,1.0,0.0,39.0,45.0,17.0,26.0,1.0,1.0,1.0,,4.0,1.0,,,,,,90.0,80.0,5.0,15.0,0.00721758,202.71804114019,29.0,99.75,16.8,,0,,0.01,0.09,-1.0,,,,,,,,,,,,,15.146037138473,1.0,,Tarik Muharemovic,,,,1.0,1.0,,,,,,,,,,,,,
13981608,home,Sassuolo,Josh Doig,josh-doig,J. Doig,D,3,189.0,836,M,989276,EUR,1021680000,D,3,3,False,36.0,27.0,3.0,,0.0,10.0,14.0,17.0,22.0,2.0,1.0,5.0,,2.0,1.0,,,,,,90.0,60.0,6.2,16.0,0.0105866,109.1251754119,16.0,-16.905,10.71,,0,,-0.24,0.3,-0.39,,3.0,1.0,,2.0,,,,2.0,2.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,
13981608,home,Sassuolo,Edoardo Iannoni,edoardo-iannoni,E. Iannoni,M,44,185.0,147,M,1013239,EUR,986947200,M,44,44,False,22.0,20.0,1.0,,0.0,10.0,10.0,10.0,12.0,1.0,2.0,3.0,,1.0,4.0,,,,,,77.0,34.0,6.4,7.0,0.00595046,48.956751683011,9.0,8.715,6.615,,1,,0.05,0.07,-0.18,,1.0,,1.0,,2.0,1.0,1.0,3.0,,1.0,0.0269,,,-0.17,,,,,,,,,1.0,,,,,,,,,,
13981608,home,Sassuolo,Nemanja Matić,nemanja-matic,N. Matić,M,18,194.0,3565,M,44241,EUR,586396800,M,18,18,False,62.0,57.0,6.0,3.0,0.0,32.0,34.0,25.0,28.0,,2.0,1.0,,1.0,4.0,,,,,,77.0,69.0,6.6,7.0,0.040087,216.46171622816,26.0,78.33,31.605,,0,,0.28,0.17,-0.23,,,,,1.0,,,1.0,1.0,1.0,,,31.67982009103,1.0,,,,Mati,,1.0,,,,1.0,True,1.0,,,,,,,,
13981608,home,Sassuolo,Ismael Koné,ismael-kone,I. Koné,M,90,188.0,2687,M,1134351,EUR,1023321600,M,90,90,False,56.0,54.0,6.0,5.0,0.0,20.0,21.0,34.0,35.0,,4.0,3.0,1.0,1.0,4.0,,,,,,90.0,67.0,6.9,5.0,0.0208101,261.54909772117,28.0,101.535,28.14,,0,,0.18,0.2,-0.11,,,3.0,,,,,,,,1.0,,55.588696692763,1.0,,Ismael Koné,,,,,,3.0,,2.0,,,,,,,,,,
13981608,home,Sassuolo,Kristian Thorstvedt,kristian-thorstvedt,K. Thorstvedt,M,42,187.0,1387,M,924973,EUR,921283200,F,42,42,False,13.0,8.0,1.0,1.0,0.0,5.0,7.0,3.0,6.0,,2.0,2.0,,,2.0,,,,,,39.0,22.0,6.3,7.0,0.00091645,45.441221245356,6.0,15.015,13.545,,1,,-0.2,0.02,-0.04,,,1.0,1.0,3.0,,,,1.0,1.0,,0.0622,,,-0.32,,,,,1.0,,1.0,,1.0,,,,,,,,,,
13981608,home,Sassuolo,Andrea Pinamonti,andrea-pinamonti,A. Pinamonti,F,99,185.0,2688,M,826198,EUR,927072000,F,99,99,False,23.0,16.0,,,0.0,10.0,13.0,6.0,10.0,4.0,6.0,5.0,,1.0,2.0,,,,,,90.0,30.0,6.4,10.0,0.0193545,20.029440893664,5.0,1.89,5.67,,1,,-0.21,0.01,0.13,,,1.0,1.0,,,,,,1.0,,0.0082,,,-0.11,,,,,3.0,,,,2.0,,,1.0,,,,,,,
13981608,home,Sassuolo,Armand Laurienté,armand-lauriente,A. Laurienté,M,45,177.0,2531,M,932643,EUR,912729600,F,45,45,False,21.0,19.0,,,0.0,4.0,4.0,15.0,17.0,,4.0,2.0,1.0,1.0,1.0,,,,,,77.0,32.0,6.5,8.0,0.0191399,76.494445671526,11.0,11.865,9.555,,0,,-0.1,0.01,0.0,,3.0,2.0,,,,,,,2.0,,,7.4251346115744,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,
13981608,home,Sassuolo,Alieu Fadera,fadera-alieu,A. Fadera,M,20,181.0,1183,M,1031548,EUR,1004745600,F,20,20,True,20.0,14.0,,,0.0,5.0,7.0,9.0,13.0,,4.0,3.0,1.0,,2.0,,,,,,51.0,29.0,6.5,8.0,0.0223187,113.81476790018,13.0,16.905,11.55,,0,,-0.18,0.3,-0.03,,1.0,,,,1.0,,,,2.0,,,32.985376110648,3.0,,,,,,2.0,,,,1.0,,1.0,,,,,,,,
13981608,home,Sassuolo,Aster Vranckx,vranckx-aster,A. Vranckx,M,40,183.0,1108,M,989371,EUR,1033689600,M,40,40,True,14.0,14.0,,,0.0,4.0,4.0,10.0,10.0,,2.0,1.0,,,1.0,,,,,,13.0,18.0,6.5,3.0,0.0121221,49.434000550798,7.0,28.035,12.6,,0,,-0.02,-0.11,0.13,,1.0,2.0,,,,,,,1.0,,,13.244108123992,1.0,,,,,,,,,,,,,,,,,,,,
13981608,home,Sassuolo,Luca Lipani,luca-lipani,L. Lipani,M,35,185.0,442,M,1154898,EUR,1116374400,M,35,35,True,11.0,10.0,,,0.0,2.0,2.0,8.0,9.0,,,1.0,,,,,,,,,13.0,13.0,6.6,1.0,0.00487938,33.093323928793,6.0,16.17,7.245,,1,,-0.11,0.05,-0.01,,,,,,,,,,1.0,,0.0312,,,-0.12,Luca Lipani,,,,,,,,,,,,1.0,0.066,,,,,
13981608,home,Sassuolo,Nicholas Pierini,pierini-nicholas,N. Pierini,F,77,176.0,186,M,829581,EUR,902361600,F,77,77,True,8.0,8.0,,,0.0,2.0,2.0,6.0,6.0,,,2.0,,,1.0,,,,,,13.0,15.0,6.8,1.0,0.0496496,47.574333876968,3.0,31.5,16.275,,1,,0.09,0.05,0.0,,3.0,1.0,,1.0,1.0,1.0,,,,,0.0313,24.180841197113,1.0,0.01,,,,,,,1.0,,,,1.0,,1.0,0.0805,2.0,,,,
