match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,captain,stat_aerialLost,player_lastName,stat_aerialWon,stat_dispossessed,stat_outfielderBlock,stat_keyPass,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_goalAssist,stat_hitWoodwork,stat_accurateCross
10913352,home,Damac FC,Mohammed Al-Mahasneh,mohammed-al-mahasneh,M. Al-Mahasneh,G,33,180.0,55,M,1018709,EUR,862185600.0,G,33,33,False,27.0,20.0,12.0,5.0,20.0,22.0,5.0,1.0,1.0,5.0,2.0,6.0,90.0,38.0,6.5,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913352,home,Damac FC,Abdullah Hassoun,abdullah-hassoun,A. Hassoun,D,17,177.0,31,M,983081,EUR,858729600.0,D,32,32,False,31.0,26.0,6.0,4.0,20.0,24.0,8.0,6.0,5.0,3.0,,,90.0,46.0,5.8,7.0,0,6.0,1.0,5.0,1.0,2.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10913352,home,Damac FC,Mohanad Al-Najai,mohanad-al-najai,M. Al-Najai,M,20,179.0,1,M,1914783,EUR,763862400.0,D,18,18,False,18.0,13.0,4.0,1.0,11.0,13.0,5.0,3.0,,,,,49.0,18.0,5.4,5.0,0,2.0,,,,,,,1.0,Mohanad Al-Najai,True,2.0,,,,,,,,,,,,,,,,,,,
10913352,home,Damac FC,Hassan Alshammrani,hassan-alshammrani,H. Alshammrani,D,,184.0,3,M,923016,EUR,679536000.0,D,40,40,False,35.0,28.0,8.0,3.0,21.0,22.0,13.0,2.0,,3.0,,,90.0,46.0,6.4,8.0,0,7.0,,4.0,5.0,,3.0,1.0,1.0,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
10913352,home,Damac FC,Dhari Al-Enezi,dhari-al-enezi,D. Al-Enezi,D,20,170.0,42,M,1214301,EUR,957571200.0,D,20,20,False,36.0,29.0,3.0,2.0,11.0,11.0,28.0,,,3.0,,,90.0,52.0,6.5,13.0,0,18.0,3.0,5.0,1.0,,,,1.0,Dhari Al-Enezi,,,,,,,,3.0,3.0,2.0,2.0,,,,,,,,,,
10913352,home,Damac FC,Adam Maher,adam-maher,A. Maher,M,,174.0,90,M,111719,EUR,743126400.0,M,6,6,False,51.0,46.0,6.0,5.0,33.0,36.0,15.0,,,4.0,,,78.0,53.0,6.6,5.0,0,13.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10913352,home,Damac FC,Abdulaziz Majrashi,abdulaziz-majrashi,A. Majrashi,M,23,173.0,10,M,877163,EUR,826416000.0,M,23,23,False,19.0,15.0,1.0,,11.0,13.0,6.0,3.0,2.0,5.0,,,61.0,28.0,6.2,7.0,1,4.0,,4.0,1.0,1.0,2.0,2.0,,,,,,1.0,1.0,,,,,2.0,1.0,1.0,1.0,,,,,,,,
10913352,home,Damac FC,Domagoj Antolić,domagoj-antolic,D. Antolić,M,8,180.0,103,M,67645,EUR,646704000.0,M,17,17,False,58.0,55.0,8.0,7.0,22.0,23.0,40.0,2.0,1.0,4.0,,,90.0,72.0,6.9,9.0,0,33.0,5.0,5.0,1.0,2.0,1.0,1.0,,,,,,,,,,3.0,2.0,,2.0,,,,,,,,,,
10913352,home,Damac FC,Nono,nono,Nono,M,14,179.0,56,M,232434,EUR,733449600.0,M,10,10,False,37.0,33.0,3.0,2.0,18.0,18.0,19.0,2.0,1.0,4.0,,,78.0,45.0,7.2,5.0,1,15.0,,4.0,,,,,1.0,,,,,,,,2.0,1.0,1.0,1.0,3.0,,,2.0,1.0,,,,,,
10913352,home,Damac FC,Abdulaziz Makin,abdulaziz-makeen,A. Making,M,12,169.0,12,M,1141407,EUR,993772800.0,M,12,12,False,23.0,22.0,4.0,4.0,2.0,2.0,22.0,4.0,,2.0,,,89.0,43.0,7.5,7.0,2,20.0,1.0,7.0,,2.0,2.0,1.0,1.0,Abdulaziz Makin,,,,,2.0,,,3.0,2.0,2.0,3.0,,1.0,,,1.0,1.0,,,,
