match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,player_sofascoreId,stat_dispossessed,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_keyPass,stat_wasFouled,captain,stat_goals,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_totalOffside
12624868,away,Al-Khaleej,Fábio Martins,fabio-martins,F. Martins,M,10,178.0,359,M,193064,EUR,743472000.0,M,10,10,False,23.0,19.0,1.0,1.0,0.0,6.0,7.0,13.0,19.0,1.0,5.0,,,,77.0,42.0,6.9,10.0,3,3.0,,1.0,,7.0,7.0,3.0,3.0,,1.0,1.0,,,,,1.0,1.0,,1.0,,,2.0,,,,5.0,True,,,,1.0
12624868,away,Al-Khaleej,Abdullah Al-Salem,abdullah-al-salem,A. Al-Salem,F,9,183.0,285,M,818674,EUR,724723200.0,F,11,11,False,18.0,13.0,2.0,1.0,0.0,10.0,12.0,3.0,6.0,1.0,1.0,,,,68.0,27.0,6.4,11.0,0,,,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,
12624868,away,Al-Khaleej,Mohamed Sherif,mohamed-sherif,M. Sherif,F,10,184.0,13085,M,918784,EUR,823392000.0,F,9,9,True,6.0,5.0,1.0,1.0,0.0,2.0,2.0,3.0,4.0,,,,,,22.0,12.0,6.9,3.0,2,,,,,2.0,2.0,,1.0,,,,,,,mohamed_shereif19,2.0,1.0,,1.0,,1.0,,,,1.0,1.0,,,,,2.0
12624868,away,Al-Khaleej,Abdullah Al-Fahad,al-fahad-abdullah,A. Al-Fahad,D,19,177.0,20,M,817947,EUR,771638400.0,D,20,20,True,2.0,1.0,,,0.0,1.0,2.0,,,1.0,1.0,,,,13.0,6.0,6.0,3.0,0,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0
12624868,away,Al-Khaleej,Bandar Al Mutairi,bandar-al-mutairi,B. A. Mutairi,D,33,168.0,13,M,847483,EUR,637372800.0,D,33,33,True,3.0,3.0,,,0.0,3.0,3.0,,1.0,,,,,,12.0,8.0,6.3,1.0,0,1.0,,,,,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
12624868,away,Al-Khaleej,Saleh Abu Al-Shamat,saleh-aboulshamat,S. Aboulshamat,M,47,171.0,764,M,1429250,EUR,1029024000.0,M,47,47,True,9.0,9.0,1.0,1.0,0.0,3.0,3.0,6.0,6.0,,,,,,13.0,15.0,6.9,,1,,,,,,3.0,,3.0,,,,,Saleh Aboulshamat,,,,3.0,,1.0,,,,,,1.0,,,,,,
12624868,away,Al-Khaleej,Rayan Al Dossary,rayan-al-dossary,R. A. Dossary,G,35,,1,M,1490719,EUR,,G,35,35,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Rayan Al Dossary,,,,,,,,,,,,,,,,,,
12624868,away,Al-Khaleej,Theyab Absa,theyab-absa,T. Absa,D,,,5,,1916967,EUR,1135468800.0,F,66,66,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Theyab Absa,,,,,,,,,,,,,,,,,,
12624868,away,Al-Khaleej,Ali Abdoulraouf Alabdrabalnabi,ali-abdoulraouf-alabdrabalnabi,A. A. Alabdrabalnabi,M,24,,10,M,2040371,EUR,1072915200.0,M,24,24,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Ali Abdoulraouf Alabdrabalnabi,,,,,,,,,,,,,,,,,,
12624868,away,Al-Khaleej,Khaled Al-Semeiry,khaled-al-semeiry,K. Al-Semeiry,M,88,170.0,35,M,857390,EUR,852076800.0,M,8,8,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
