match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_fouls,player_firstName,player_lastName,player_sofascoreId,stat_clearanceOffLine,stat_wonTackle,captain,stat_shotOffTarget,stat_bigChanceMissed,stat_goals,stat_accurateCross,stat_hitWoodwork
13981430,home,Como,Jean Butez,jean-butez,J. Butez,G,1,188,1319,M,599114,EUR,802569600,G,1,1,False,44.0,40.0,13.0,9.0,0.0,35.0,35.0,5.0,9.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,90.0,60.0,7.3,5.0,0.00092633,0.2522,0,0.3161,0.1,0.04,-0.04,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981430,home,Como,Mërgim Vojvoda,mergim-vojvoda,M. Vojvoda,D,31,187,1424,M,798147,EUR,791596800,D,31,31,False,39.0,31.0,6.0,3.0,0.0,19.0,24.0,12.0,15.0,2.0,1.0,3.0,1.0,4.0,3.0,2.0,,,,,,,90.0,60.0,6.3,12.0,0.0050138,,1,,-0.03,0.01,-0.15,,2.0,1.0,1.0,1.0,0.0893,0.1341,1.0,-0.18,,,,,,,,,,,,,,,,,,,
13981430,home,Como,Jacobo Ramón,jacobo-naveros,J. Ramón,D,14,196,13079,M,1403348,EUR,1104969600,D,14,14,False,49.0,40.0,5.0,3.0,0.0,35.0,39.0,5.0,10.0,1.0,8.0,3.0,11.0,9.0,5.0,,1.0,,,,,,88.0,68.0,7.8,10.0,0.00085548,,1,,-0.03,0.15,0.72,,,,,,0.0418,,,-0.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
13981430,home,Como,Marc-Oliver Kempf,marc-oliver-kempf,M. O. Kempf,D,2,186,853,M,226974,EUR,791251200,D,2,2,False,66.0,61.0,1.0,1.0,0.0,49.0,52.0,12.0,14.0,1.0,3.0,3.0,7.0,3.0,6.0,,3.0,,,,,,90.0,80.0,7.2,5.0,0.00252516,,0,,-0.01,0.08,0.34,,,,,,,,,,,,,,3.0,,1.0,2.0,,,,,,,,,,,
13981430,home,Como,Álex Valle,valle-alex,Á. Valle,D,3,178,6518,M,1142238,EUR,1082851200,D,3,3,False,52.0,39.0,8.0,3.0,0.0,19.0,25.0,20.0,27.0,1.0,,8.0,4.0,4.0,2.0,3.0,2.0,,,,,,90.0,91.0,6.8,20.0,0.0118697,,0,,0.09,0.02,-0.14,,,3.0,,,,,1.0,,,1.0,,,1.0,1.0,2.0,3.0,,,alexxv_5,1.0,1.0,,,,,,
13981430,home,Como,Lucas Da Cunha,lucas-da-cunha,L. Da Cunha,M,33,174,1933,M,911848,EUR,992044800,M,33,33,False,44.0,42.0,2.0,2.0,0.0,29.0,29.0,13.0,15.0,2.0,,7.0,2.0,,5.0,,,,,,,,65.0,55.0,6.7,6.0,0.0152598,,0,,0.12,0.28,0.13,,1.0,2.0,,,,,1.0,,1.0,3.0,1.0,,,,1.0,,,,,,,True,,,,,
13981430,home,Como,Maxence Caqueret,maxence-caqueret,M. Caqueret,M,6,174,2464,M,859027,EUR,950572800,M,6,6,False,34.0,32.0,,,0.0,18.0,18.0,14.0,16.0,,,3.0,7.0,1.0,4.0,1.0,1.0,,,,,,73.0,48.0,7.3,5.0,0.00965192,,1,,0.28,0.11,0.13,,,1.0,,,0.0322,,,-0.18,1.0,3.0,2.0,,1.0,1.0,4.0,,,,,,3.0,,1.0,,,,
13981430,home,Como,Nicolas-Gerrit Kühn,nicolas-gerrit-kuhn,N. Kühn,F,19,174,2326,M,877835,EUR,946684800,M,19,19,False,18.0,11.0,,,0.0,3.0,5.0,8.0,13.0,,,5.0,3.0,,2.0,1.0,1.0,,,,,,73.0,34.0,6.9,15.0,0.0607613,,2,,0.23,0.65,-0.07,,2.0,1.0,,1.0,0.5209,0.6753,3.0,-0.61,1.0,4.0,1.0,1.0,,,1.0,,,,,,1.0,,,1.0,,,
13981430,home,Como,Nico Paz,nico-paz,N. Paz,M,10,185,88676,M,1171451,EUR,1094601600,M,10,10,False,35.0,27.0,1.0,,0.0,12.0,14.0,15.0,21.0,,,9.0,5.0,,3.0,2.0,3.0,,,,,,90.0,56.0,7.5,16.0,0.0226874,,3,,0.19,0.18,-0.17,,,3.0,,1.0,0.0862,0.1988,1.0,0.53,2.0,4.0,1.0,2.0,,1.0,1.0,2.0,,,nicopaz1o,,,,,,1.0,,
13981430,home,Como,Jesús Rodriguez,jesus-rodriguez,J. Rodriguez,M,17,185,4146,M,1800245,EUR,1132531200,M,17,17,False,18.0,12.0,1.0,,0.0,1.0,2.0,11.0,16.0,1.0,,12.0,2.0,1.0,4.0,3.0,1.0,,,,,,85.0,37.0,6.4,20.0,0.0713164,,1,,0.27,0.35,0.15,,1.0,1.0,,1.0,0.0374,0.0195,1.0,-0.18,4.0,6.0,,,,,1.0,,,,,,,,,,,,
