match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,player_sofascoreId,stat_bigChanceCreated,stat_shotOffTarget,captain,stat_totalOffside,stat_errorLeadToAGoal,stat_punches,stat_blockedScoringAttempt
12437732,home,Real Betis,Adrián,adrian,Adrián,G,13,190,2131,M,50539,EUR,536630400,G,13,13,False,44.0,37.0,16.0,9.0,0.0,35.0,37.0,2.0,7.0,1.0,8.0,1.0,2.0,2.0,90.0,55.0,6.8,7.0,0.0003762,0,-0.6892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437732,home,Real Betis,Angel Ortiz,angel-ortiz,Á. Ortiz,D,40,167,493,M,1152139,EUR,1090713600,D,40,40,False,39.0,23.0,7.0,,0.0,13.0,21.0,10.0,24.0,1.0,4.0,,,,90.0,72.0,6.0,29.0,0.00462834,0,,,,6.0,3.0,3.0,8.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,
12437732,home,Real Betis,Diego Llorente,diego-llorente,D. Llorente,D,3,185,1146,M,305278,EUR,745459200,D,3,3,False,68.0,56.0,12.0,5.0,0.0,48.0,52.0,8.0,16.0,8.0,2.0,,,,90.0,88.0,7.1,13.0,0.00572082,0,,,,,2.0,4.0,2.0,8.0,,,,,2.0,1.0,2.0,,,1.0,3.0,1.0,,,,,,,,,,,,,,
12437732,home,Real Betis,Natan,natan,Natan,D,4,188,3251,M,1015287,EUR,981417600,D,6,6,False,63.0,52.0,7.0,2.0,0.0,49.0,53.0,3.0,10.0,6.0,1.0,,,,90.0,76.0,6.7,13.0,0.00183074,0,,,,,,2.0,,5.0,,,,,2.0,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,
12437732,home,Real Betis,Romain Perraud,romain-perraud,R. Perraud,D,15,173,596,M,827519,EUR,874886400,D,15,15,False,40.0,31.0,4.0,1.0,0.0,14.0,18.0,18.0,24.0,3.0,3.0,,,,90.0,77.0,7.4,18.0,0.180036,1,,,,2.0,1.0,,3.0,5.0,,,3.0,1.0,,3.0,4.0,,2.0,1.0,,,1.0,1.0,1.0,0.0137,0.49,,,,,,,,,
12437732,home,Real Betis,Johnny Cardoso,johnny,J. Cardoso,M,5,186,5097,M,990169,EUR,1000944000,M,4,4,False,38.0,28.0,1.0,1.0,0.0,17.0,23.0,11.0,15.0,2.0,8.0,,,,81.0,55.0,7.1,12.0,0.00513314,1,,,,,1.0,1.0,3.0,8.0,,2.0,3.0,3.0,3.0,,1.0,,,1.0,2.0,1.0,,1.0,,0.054,0.0392,1.0,,,,,,,,
12437732,home,Real Betis,Sergi Altimira,sergi-altimira,S. Altimira,M,6,188,1049,M,1137814,EUR,998697600,M,16,16,False,32.0,27.0,,,0.0,19.0,21.0,8.0,11.0,1.0,6.0,,,,72.0,42.0,6.7,7.0,0.0115349,0,,,,,1.0,,4.0,4.0,,,,,4.0,1.0,,3.0,,,2.0,2.0,,,,,,,,,,,,,,
12437732,home,Real Betis,Antony,antony,Antony,M,7,172,219783,M,958380,EUR,951350400,M,7,7,False,24.0,20.0,2.0,2.0,0.0,4.0,5.0,17.0,20.0,,3.0,,,,72.0,40.0,7.0,14.0,0.133398,2,,,,1.0,1.0,,6.0,1.0,1.0,2.0,1.0,,1.0,4.0,,1.0,2.0,,,1.0,1.0,1.0,,0.1039,0.1703,,Antony,1.0,1.0,,,,,
12437732,home,Real Betis,Isco,isco,Isco,M,22,176,26276,M,103417,EUR,703814400,M,22,22,False,45.0,38.0,3.0,3.0,0.0,13.0,17.0,25.0,31.0,,5.0,,,,90.0,68.0,7.3,19.0,0.0301534,2,,,,3.0,,2.0,6.0,7.0,2.0,2.0,3.0,1.0,1.0,4.0,3.0,,1.0,,1.0,,,1.0,1.0,0.7245,0.8446,,iscoalarcon,,1.0,True,,,,
12437732,home,Real Betis,Jesús Rodriguez,jesus-rodriguez,J. Rodriguez,M,17,185,4146,M,1800245,EUR,1132531200,M,36,36,False,18.0,16.0,1.0,1.0,0.0,6.0,6.0,11.0,14.0,,4.0,,,,81.0,47.0,6.9,12.0,0.0543871,2,,,,2.0,1.0,,8.0,10.0,,2.0,8.0,3.0,4.0,2.0,3.0,,,,1.0,2.0,1.0,1.0,,0.0505,0.0627,,,,1.0,,,,,
