match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_totalContest,stat_totalOffside,stat_wonContest,captain,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_penaltyWon,stat_bigChanceMissed,stat_penaltyFaced,stat_penaltyConceded,player_sofascoreId,stat_savedShotsFromInsideTheBox
10406844,home,KAS Eupen,Lennart Moser,lennart-moser,L. Moser,G,99,196,55,M,886064,EUR,944438400,G,1,1,False,38.0,9.0,36.0,8.0,6.0,12.0,3.0,26.0,1.0,13.0,1.0,1.0,1.0,1.0,90.0,46.0,6.0,29.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406844,home,KAS Eupen,Rune Paeshuyse,rune-paeshuyse,R. Paeshuyse,D,28,187,35,M,1020435,EUR,1017273600,D,28,28,False,21.0,14.0,6.0,4.0,12.0,16.0,2.0,5.0,4.0,3.0,,,,,90.0,31.0,6.7,7.0,0,,,1.0,3.0,3.0,4.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10406844,home,KAS Eupen,Oleksandr Filin,oleksandr-filin,O. Filin,D,25,179,38,M,788155,EUR,835660800,D,4,4,False,22.0,12.0,5.0,,10.0,14.0,2.0,8.0,2.0,4.0,,,,,90.0,33.0,6.6,10.0,1,,,1.0,5.0,2.0,6.0,1.0,,5.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10406844,home,KAS Eupen,Jason Davidson,jason-davidson,J. Davidson,D,2,180,74,M,105350,EUR,678153600,D,3,3,False,44.0,24.0,14.0,5.0,18.0,27.0,6.0,17.0,4.0,9.0,,,,,90.0,64.0,6.5,25.0,0,,,5.0,6.0,6.0,7.0,,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
10406844,home,KAS Eupen,Yentl Van Genechten,yentl-van-genechten,Y. V. Genechten,D,2,191,45,M,921951,EUR,966556800,M,2,2,False,10.0,6.0,3.0,1.0,3.0,5.0,3.0,5.0,2.0,,,,,,62.0,25.0,6.6,6.0,0,,,2.0,,2.0,1.0,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
10406844,home,KAS Eupen,Stef Peeters,stef-peeters,S. Peeters,M,8,188,82,M,201988,EUR,697593600,M,8,8,False,41.0,22.0,9.0,3.0,10.0,15.0,13.0,34.0,1.0,11.0,,,,,90.0,70.0,7.6,34.0,2,,,7.0,1.0,19.0,7.0,5.0,,1.0,4.0,,2.0,2.0,,,,True,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,6.0,3.0,,,,,,
10406844,home,KAS Eupen,Brandon Baiye,baiye-brandon,B. Baiye,M,6,177,82,M,861975,EUR,977875200,M,6,6,False,4.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,17.0,7.0,3.0,3.0,0,,,,1.0,2.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,
10406844,home,KAS Eupen,Gary Magnee,magnee-gary,G. Magnee,M,15,173,149,M,990265,EUR,939686400,M,15,15,False,31.0,18.0,8.0,3.0,8.0,11.0,10.0,21.0,2.0,6.0,,,,,77.0,42.0,6.2,16.0,0,,,4.0,3.0,8.0,4.0,2.0,,1.0,,,,,2.0,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,
10406844,home,KAS Eupen,Regan Charles-Cook,regan-charles-cook,R. Charles-Cook,F,77,175,63,M,803116,EUR,857174400,M,10,10,False,20.0,8.0,4.0,,6.0,14.0,2.0,7.0,1.0,2.0,,,,,90.0,28.0,5.7,16.0,0,,,4.0,1.0,8.0,1.0,2.0,,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,
10406844,home,KAS Eupen,Konan N'Dri,ndri-konan,K. N'Dri,F,11,174,435,M,978327,EUR,972604800,F,11,11,False,10.0,7.0,1.0,,2.0,3.0,5.0,7.0,2.0,3.0,,,,,87.0,27.0,7.6,9.0,1,,,7.0,1.0,11.0,6.0,,,1.0,4.0,,,,3.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,,,,,
