match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,captain,stat_interceptionWon,player_sofascoreId,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,player_firstName,stat_goals,player_lastName,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_bigChanceMissed
14025273,home,Brighton & Hove Albion,Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193.0,4212,M,994363,EUR,1029628800,G,1,1,False,41.0,35.0,10.0,4.0,0.0,31.0,32.0,4.0,9.0,6.0,1.0,2.0,2.0,1.0,1.0,90.0,48.0,8.2,6.0,0.00238751,0.6015,0,0.8837,0.1,0.01,0.22,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025273,home,Brighton & Hove Albion,Mats Wieffer,mats-wieffer,M. Wieffer,M,27,188.0,2191,M,959628,EUR,942710400,D,27,27,False,30.0,27.0,4.0,2.0,1.0,15.0,15.0,12.0,15.0,7.0,,,,,,90.0,54.0,7.8,7.0,0.382556,,0,,0.51,0.09,-0.13,,1.0,8.0,6.0,6.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
14025273,home,Brighton & Hove Albion,Jan Paul van Hecke,jan-paul-van-hecke,J. P. van Hecke,D,6,189.0,3186,M,962012,EUR,960422400,D,6,6,False,103.0,93.0,12.0,8.0,0.0,61.0,63.0,32.0,40.0,3.0,,,,,,90.0,116.0,8.4,10.0,0.0161958,,1,,0.35,0.3,0.55,,,3.0,6.0,1.0,,,5.0,3.0,2.0,,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.1724,0.7258,-0.54,,,,,,,,,,,,
14025273,home,Brighton & Hove Albion,Lewis Dunk,lewis-dunk,L. Dunk,D,5,190.0,1911,M,115365,EUR,690681600,D,5,5,False,98.0,91.0,4.0,1.0,0.0,69.0,71.0,22.0,27.0,4.0,,,,,,90.0,106.0,7.3,7.0,0.00682277,,0,,0.22,0.12,0.24,,,1.0,3.0,,,,3.0,1.0,,,,,,1.0,2.0,,,,,,,,,True,1.0,,,,,,,,,,
14025273,home,Brighton & Hove Albion,Ferdi Kadıoğlu,ferdi-kadioglu,F. Kadıoğlu,D,24,174.0,21035,M,825844,EUR,939254400,D,24,24,False,35.0,30.0,1.0,1.0,0.0,19.0,21.0,11.0,14.0,3.0,,,,,,90.0,53.0,7.1,8.0,0.0140387,,0,,-0.11,0.19,-0.02,,2.0,3.0,6.0,1.0,,,1.0,4.0,3.0,1.0,,,,2.0,2.0,,,,,,,,,,,ferdikadioglu,1.0,,,,,,,,
14025273,home,Brighton & Hove Albion,Carlos Baleba,baleba-carlos,C. Baleba,M,17,179.0,25912,M,1199043,EUR,1073088000,M,17,17,False,46.0,42.0,1.0,,0.0,32.0,34.0,10.0,12.0,2.0,,,,,,90.0,58.0,6.5,8.0,0.00602123,,1,,-0.26,0.09,-0.09,,,5.0,6.0,1.0,1.0,,2.0,2.0,2.0,3.0,2.0,2.0,,1.0,2.0,,,,,,0.0068,,-0.1,,,carlos_baleba,,1.0,,,,,,,
14025273,home,Brighton & Hove Albion,Yasin Ayari,yasin-ayari,Y. Ayari,M,26,172.0,2693,M,1036269,EUR,1065398400,M,26,26,False,48.0,40.0,3.0,1.0,0.0,25.0,25.0,15.0,23.0,7.0,,,,,,89.0,59.0,6.6,11.0,0.0213745,,4,,0.0,0.35,-0.08,,,5.0,3.0,1.0,2.0,,,1.0,,,,2.0,,,,2.0,2.0,2.0,,,0.3384,0.7689,-0.59,,1.0,,,1.0,1.0,,,,,,
14025273,home,Brighton & Hove Albion,Yankuba Minteh,minteh-yankuba,Y. Minteh,M,11,180.0,7051,M,1400106,EUR,1090454400,M,11,11,False,23.0,18.0,1.0,,1.0,5.0,5.0,13.0,18.0,2.0,,,,,,88.0,48.0,8.3,18.0,0.110843,,1,,0.67,0.87,-0.03,,7.0,5.0,6.0,1.0,2.0,1.0,,3.0,1.0,3.0,,1.0,3.0,,,4.0,3.0,,,,0.2507,,-0.51,,,minteh01,1.0,1.0,,,,,,,
14025273,home,Brighton & Hove Albion,Georginio Rutter,rutter-georginio,G. Rutter,M,10,182.0,3505,M,946695,EUR,1019260800,M,10,10,False,21.0,19.0,1.0,1.0,0.0,9.0,9.0,10.0,12.0,2.0,,,,,,89.0,36.0,6.9,10.0,0.466619,,1,,0.13,0.59,-0.05,,,4.0,3.0,,3.0,,,1.0,,5.0,1.0,1.0,,,,1.0,1.0,,,1.0,0.0263,,-0.26,,,,,1.0,,,,,,,
14025273,home,Brighton & Hove Albion,Diego Gómez,diego-gomez,D. Gómez,M,25,185.0,11180,M,1065588,EUR,1048723200,M,25,25,False,20.0,18.0,1.0,1.0,0.0,7.0,7.0,11.0,13.0,2.0,,,,,,81.0,45.0,9.4,8.0,0.0115547,,4,,0.07,0.22,0.24,,,3.0,9.0,,,,1.0,4.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,,,1.3539,1.987,0.74,,1.0,,,,1.0,Diego Gomez,2.0,,,,
