match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_wasFouled,stat_fouls,captain,stat_onTargetScoringAttempt,stat_interceptionWon,player_firstName,player_lastName,stat_totalOffside,stat_keyPass,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_errorLeadToAGoal,player_sofascoreId,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_outfielderBlock,stat_goals,stat_penaltyWon
12624940,home,Damac FC,Florin Niță,florin-nita,F. Niță,G,185.0,1579,M,83551,EUR,552268800,G,1,1,False,21.0,19.0,10.0,8.0,0.0,17.0,17.0,2.0,4.0,2.0,1.0,90.0,21.0,6.3,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624940,home,Damac FC,Ramzi Sawlan,sawlan-ramzi,R. Sawlan,D,,23,M,965309,EUR,892857600,D,51,51,False,29.0,20.0,,,0.0,6.0,8.0,16.0,25.0,2.0,,90.0,59.0,6.2,16.0,1,15,4.0,2.0,1.0,1.0,6.0,8.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,
12624940,home,Damac FC,Farouk Chafaï,farouk-chafai,F. Chafaï,D,182.0,329,M,880083,EUR,646099200,D,15,15,False,43.0,37.0,9.0,7.0,0.0,21.0,23.0,16.0,20.0,7.0,,90.0,59.0,7.1,9.0,2,5,,,,5.0,,9.0,,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,,1.0,,True,1.0,2.0,,,,,,,,,,,,,,,,
12624940,home,Damac FC,Abdelkader Bedrane,abdelkader-bedrane,A. Bedrane,D,185.0,1163,M,906407,EUR,702172800,D,3,3,False,51.0,40.0,14.0,8.0,0.0,30.0,34.0,10.0,17.0,10.0,,90.0,59.0,6.3,13.0,0,3,,,2.0,3.0,4.0,4.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,
12624940,home,Damac FC,Dhari Al-Enezi,dhari-al-enezi,D. Al-Enezi,D,170.0,42,M,1214301,EUR,957571200,D,20,20,False,40.0,38.0,1.0,,0.0,21.0,21.0,20.0,24.0,6.0,,90.0,72.0,7.1,9.0,0,20,5.0,3.0,1.0,,4.0,10.0,2.0,1.0,1.0,,,3.0,3.0,1.0,1.0,,6.0,1.0,,,1.0,Dhari Al-Enezi,,,1.0,,,,,,,,,,,,
12624940,home,Damac FC,Faisal Al-Sibyani,faisal-al-sibyani,F. Al-Sibyani,M,172.0,54,M,1217924,EUR,1057536000,M,6,6,False,47.0,42.0,7.0,4.0,0.0,21.0,23.0,21.0,24.0,4.0,,90.0,57.0,6.7,6.0,0,6,,,,,3.0,4.0,,1.0,1.0,,,,3.0,2.0,,,,2.0,,,,,,,,1.0,,,,,,,,,,,
12624940,home,Damac FC,Tariq Mohammed,tariq-mohammed,T. Mohammed,M,170.0,26,M,871619,EUR,810345600,M,5,5,False,16.0,13.0,1.0,,0.0,6.0,6.0,7.0,10.0,3.0,,45.0,24.0,6.6,4.0,0,6,,,,,1.0,4.0,,2.0,1.0,,,,1.0,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,
12624940,home,Damac FC,François Kamano,francois-kamano,F. Kamano,M,182.0,1456,M,580800,EUR,830995200,M,11,11,False,14.0,13.0,,,0.0,3.0,3.0,10.0,11.0,1.0,,78.0,23.0,6.3,7.0,1,45,,,,,5.0,1.0,2.0,2.0,1.0,,1.0,,,,3.0,,,1.0,,,,,,,1.0,2.0,,,,,,,,,,,
12624940,home,Damac FC,Nicolae Stanciu,nicolae-stanciu,N. Stanciu,M,171.0,4005,M,108673,EUR,736732800,M,32,32,False,38.0,34.0,5.0,3.0,0.0,16.0,17.0,19.0,28.0,2.0,,90.0,59.0,6.6,15.0,4,8,7.0,1.0,,,1.0,3.0,,3.0,2.0,,1.0,,,,2.0,,1.0,,,2.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
12624940,home,Damac FC,Georges-Kévin N'Koudou,georges-kevin-nkoudou,G. N'Koudou,M,172.0,2369,M,342909,EUR,792633600,M,10,10,False,41.0,30.0,6.0,1.0,0.0,9.0,13.0,25.0,34.0,8.0,,90.0,66.0,7.1,20.0,0,11,6.0,4.0,,,4.0,9.0,,6.0,2.0,,,,2.0,1.0,1.0,,5.0,,,,1.0,,,2.0,1.0,,1.0,,,,,,,,,,
