match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_outfielderBlock,stat_fouls,captain,stat_blockedScoringAttempt,stat_challengeLost,stat_shotOffTarget,stat_accurateCross,stat_totalOffside,stat_keyPass,stat_onTargetScoringAttempt,stat_dispossessed,stat_errorLeadToAShot,stat_bigChanceCreated,stat_goals,stat_goalAssist,stat_bigChanceMissed,player_sofascoreId
10438087,away,Sporting Braga,Nuno Sequeira,nuno-sequeira,N. Sequeira,D,184,53,M,170117,EUR,651024000,D,6,6,False,25.0,15.0,2.0,2.0,6.0,10.0,9.0,18.0,1.0,1.0,8.0,,,,,,,,,45.0,39.0,6.9,15.0,0,,,6,3.0,1.0,2.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,
10438087,away,Sporting Braga,Iuri Medeiros,iuri-medeiros,I. Medeiros,M,174,247,M,252613,EUR,773798400,M,45,45,False,25.0,24.0,4.0,4.0,8.0,8.0,16.0,23.0,3.0,,5.0,,,,,,,,,84.0,45.0,8.2,10.0,4,,,45,6.0,2.0,4.0,3.0,2.0,,,1.0,,,,,1.0,,1.0,,,1.0,2.0,1.0,,1.0,1.0,,,
10438087,away,Sporting Braga,Mutassim Al-Musrati,mutassim-al-musrati,M. Al-Musrati,M,189,2821,M,868958,EUR,828748800,M,8,8,False,55.0,40.0,9.0,4.0,23.0,29.0,17.0,26.0,4.0,1.0,9.0,2.0,1.0,,,,,,,90.0,67.0,7.0,19.0,0,,,73,,1.0,4.0,1.0,,1.0,1.0,,2.0,,2.0,,,,,,,2.0,,,,1.0,,,,
10438087,away,Sporting Braga,André Horta,andre-horta,A. Horta,M,174,845,M,775699,EUR,847324800,M,10,10,False,52.0,48.0,8.0,7.0,29.0,29.0,19.0,27.0,3.0,,5.0,2.0,2.0,,,,,,,69.0,66.0,7.0,10.0,1,,,6,4.0,,4.0,2.0,,1.0,,1.0,,,,,,2.0,,,,,1.0,,,,,,,
10438087,away,Sporting Braga,Ricardo Horta,ricardo-horta,R. Horta,M,173,2145,M,314380,EUR,779587200,M,21,21,False,46.0,38.0,2.0,1.0,15.0,17.0,24.0,32.0,4.0,,7.0,1.0,1.0,,,,,,,90.0,70.0,7.4,17.0,3,,,21,3.0,,4.0,3.0,1.0,1.0,3.0,2.0,,,,True,1.0,,1.0,1.0,,3.0,1.0,2.0,,,,,,
10438087,away,Sporting Braga,Vitinha,vitinha,Vitinha,F,183,2248,M,1093695,EUR,953078400,F,99,99,False,12.0,8.0,1.0,,2.0,3.0,7.0,13.0,7.0,1.0,1.0,,,,,,,,,69.0,33.0,6.3,12.0,3,,,9,4.0,1.0,4.0,1.0,,,4.0,5.0,2.0,,2.0,,,,1.0,1.0,3.0,1.0,2.0,,,1.0,,1.0,3.0,
10438087,away,Sporting Braga,Abel Ruíz,abel-ruiz,A. Ruíz,F,182,1448,M,826013,EUR,949017600,F,9,9,False,13.0,11.0,1.0,1.0,3.0,4.0,8.0,10.0,1.0,,2.0,,,,,,,,,56.0,20.0,7.1,6.0,3,,,9,1.0,1.0,2.0,,,,2.0,,1.0,,,,2.0,,1.0,,,1.0,,1.0,,1.0,,,,
10438087,away,Sporting Braga,Paulo Oliveira,paulo-oliveira,P. Oliveira,D,187,180,M,106751,EUR,694828800,D,15,15,True,24.0,21.0,4.0,2.0,17.0,19.0,4.0,5.0,1.0,4.0,4.0,,,,,,,,,45.0,32.0,6.9,4.0,0,,,15,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,
10438087,away,Sporting Braga,Simon Banza,simon-banza,S. Banza,F,189,10452,M,825945,EUR,839894400,F,23,23,True,10.0,9.0,,,3.0,3.0,6.0,7.0,6.0,,1.0,2.0,2.0,,,,,,,34.0,17.0,6.8,3.0,0,,,9,,1.0,5.0,,,,1.0,2.0,2.0,,3.0,,,,,,1.0,1.0,,1.0,,,,,,simbnz
10438087,away,Sporting Braga,Uroš Račić,uros-racic,U. Račić,M,193,669,M,839909,EUR,890092800,M,19,19,True,7.0,7.0,4.0,4.0,4.0,4.0,3.0,3.0,,1.0,1.0,,,,,,,,,21.0,9.0,6.6,,0,,,10,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
10438087,away,Sporting Braga,Rodrigo Gomes,gomes-rodrigo,R. Gomes,M,171,1190,M,1006073,EUR,1057536000,F,7,7,True,3.0,1.0,,,,1.0,1.0,3.0,,1.0,,,,,,,,,,21.0,8.0,6.3,5.0,0,,,21,1.0,,2.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,
10438087,away,Sporting Braga,André Castro,andre-castro,A. Castro,M,179,107,M,41652,EUR,575942400,M,88,88,True,5.0,3.0,,,,1.0,3.0,4.0,1.0,,,,,,,,,,,11.0,5.0,6.5,2.0,0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
10438087,away,Sporting Braga,Tiago Sá,tiago-sa,T. Sá,G,188,145,M,344159,EUR,789782400,G,12,12,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
10438087,away,Sporting Braga,Victor Gómez,victor-gomez,V. Gómez,D,169,297,M,877918,EUR,954547200,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10438087,away,Sporting Braga,Diego Lainez,diego-lainez,D. Lainez,M,168,2266,M,874535,EUR,960508800,F,18,18,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
10438087,away,Sporting Braga,Álvaro Djaló,alvaro-djalo,Á. Djaló,F,176,1150,M,1160960,EUR,934761600,F,14,14,True,,,,,,,,,,,,,,,,,,,,,,,,0,Álvaro Djaló,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
