match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_outfielderBlock,stat_wasFouled,player_firstName,player_lastName,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_blockedScoringAttempt,player_sofascoreId,stat_punches
12530712,home,Kayserispor,Bilal Bayazit,bilal-bayazit,B. Bayazit,G,25,185,235,M,825850,EUR,923529600,G,25,25,False,19.0,13.0,11.0,5.0,0.0,8.0,9.0,5.0,10.0,11.0,2.0,3.0,4.0,90.0,35.0,7.6,7.0,0.00097663,0,0.5784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530712,home,Kayserispor,Gökhan Sazdağı,gokhan-sazdagi,G. Sazdağı,D,25,179,949,M,595396,EUR,780019200,D,11,11,False,29.0,22.0,7.0,5.0,1.0,9.0,12.0,14.0,20.0,2.0,,,,81.0,61.0,8.2,14.0,0.153433,1,,True,3.0,1.0,1.0,4.0,5.0,10.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,5.0,4.0,2.0,1.0,0.1617,0.5484,3.0,,,,,,,,,,,,
12530712,home,Kayserispor,Majid Hosseini,majid-hosseini,M. Hosseini,D,5,187,803,M,359332,EUR,835228800,D,5,5,False,28.0,25.0,5.0,4.0,0.0,17.0,17.0,8.0,11.0,1.0,,,,90.0,43.0,7.2,4.0,0.00331699,0,,,,,2.0,2.0,4.0,3.0,,,,,,5.0,1.0,,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,
12530712,home,Kayserispor,Joseph Attamah,joseph-attamah,J. Attamah,D,3,180,183,M,332963,EUR,769564800,D,3,3,False,30.0,27.0,5.0,3.0,0.0,22.0,22.0,5.0,8.0,4.0,,,,90.0,47.0,7.7,3.0,0.00168381,0,,,,,1.0,3.0,1.0,5.0,,,,,,11.0,1.0,1.0,1.0,,,,,,2.0,1.0,,,,,,,,,,
12530712,home,Kayserispor,Lionel Carole,lionel-carole,L. Carole,D,23,180,84,M,122922,EUR,671414400,D,23,23,False,22.0,17.0,3.0,1.0,0.0,10.0,12.0,8.0,11.0,2.0,,,,81.0,36.0,7.0,6.0,0.110727,0,,,1.0,1.0,,2.0,3.0,3.0,1.0,,1.0,,,5.0,2.0,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,
12530712,home,Kayserispor,Ali Karimi,ali-karimi,A. Karimi,M,24,186,411,M,803869,EUR,760924800,M,6,6,False,44.0,31.0,6.0,2.0,1.0,15.0,17.0,17.0,29.0,8.0,,,,90.0,64.0,8.5,18.0,0.443698,4,,,2.0,1.0,1.0,1.0,4.0,3.0,,2.0,,,3.0,1.0,,2.0,1.0,2.0,1.0,1.081,1.1638,2.0,,,,,1.0,1.0,1.0,1.0,,,,
12530712,home,Kayserispor,Kartal Kayra Yılmaz,kartal-kayra-yilmaz,K. K. Yılmaz,M,17,177,1057,M,966811,EUR,973296000,M,8,8,False,34.0,23.0,2.0,,0.0,9.0,9.0,17.0,34.0,6.0,,,,90.0,50.0,7.8,18.0,0.493929,1,,,9.0,3.0,,,3.0,4.0,,,2.0,1.0,,1.0,,3.0,1.0,,2.0,0.0419,,6.0,,,,,2.0,1.0,,,,,,
12530712,home,Kayserispor,Ramazan Civelek,ramazan-civelek,R. Civelek,M,28,172,61,M,781408,EUR,822268800,M,28,28,False,42.0,38.0,4.0,4.0,0.0,18.0,18.0,20.0,26.0,8.0,,,,90.0,54.0,7.8,8.0,0.336751,1,,,2.0,,,,6.0,3.0,3.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,0.2784,0.2728,2.0,,1.0,,,1.0,,1.0,,,,,
12530712,home,Kayserispor,Mehdi Bourabia,mehdi-bourabia,M. Bourabia,M,,183,403,M,98003,EUR,681523200,M,10,10,False,11.0,8.0,2.0,,0.0,2.0,2.0,6.0,9.0,4.0,,,,67.0,17.0,6.7,4.0,0.00484704,1,,,,,1.0,1.0,3.0,4.0,,1.0,1.0,1.0,,1.0,,2.0,,,1.0,0.0384,,,,,,,,1.0,,,,,,
12530712,home,Kayserispor,Miguel Cardoso,miguel-cardoso,M. Cardoso,M,7,176,326,M,344009,EUR,771984000,M,7,7,False,15.0,12.0,2.0,2.0,1.0,2.0,3.0,10.0,15.0,3.0,,,,67.0,34.0,7.2,13.0,0.402719,3,,,3.0,,,,4.0,1.0,1.0,2.0,1.0,,1.0,,,,,3.0,,0.9495,0.4709,2.0,,1.0,,,1.0,1.0,,,1.0,1.0,,
