match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_challengeLost,stat_fouls,captain,stat_unsuccessfulTouch,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_outfielderBlock,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,stat_goals,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_bigChanceMissed,stat_hitWoodwork
10388409,home,1. FSV Mainz 05,Robin Zentner,robin-zentner,R. Zentner,G,27,193,298,M,174345,EUR,783302400,G,27,27,False,23.0,13.0,17.0,7.0,7.0,7.0,6.0,16.0,1.0,2.0,5.0,1.0,4.0,2.0,2.0,90.0,32.0,6.6,10.0,0.0,0.0,0.0013578,0,-0.3561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388409,home,1. FSV Mainz 05,Edimilson Fernandes,edimilson-fernandes,E. Fernandes,M,6,190,345,M,330099,EUR,829526400,D,20,20,False,34.0,27.0,12.0,8.0,14.0,15.0,13.0,21.0,1.0,6.0,8.0,1.0,,,,82.0,53.0,7.4,10.0,0.0,0.0,0.00762922,0,,,,2.0,1.0,1.0,2.0,2.0,2.0,7.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
10388409,home,1. FSV Mainz 05,Alexander Hack,alexander-hack,A. Hack,D,42,186,103,M,142208,EUR,747446400,D,42,42,False,35.0,28.0,5.0,3.0,14.0,15.0,14.0,20.0,2.0,5.0,2.0,1.0,,,,90.0,44.0,6.3,7.0,0.0,0.0,0.0180382,0,,,,,7.0,,,,2.0,,2.0,,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,
10388409,home,1. FSV Mainz 05,Anthony Caci,anthony-caci,A. Caci,M,19,184,357,M,846471,EUR,867715200,D,19,19,False,42.0,29.0,12.0,4.0,19.0,24.0,10.0,18.0,,7.0,11.0,1.0,,,,90.0,56.0,7.2,13.0,0.0,0.0,0.00780615,0,,,,,3.0,,,,2.0,3.0,6.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,
10388409,home,1. FSV Mainz 05,Silvan Widmer,silvan-widmer,S. Widmer,M,30,182,532,M,157377,EUR,731289600,M,30,30,False,13.0,7.0,3.0,,4.0,5.0,3.0,10.0,,,1.0,,,,,45.0,29.0,6.5,14.0,0.0,0.0,0.0299738,0,,,,2.0,3.0,,,,,,,,,3.0,,True,3.0,2.0,,,,,,,,,,,,,,,
10388409,home,1. FSV Mainz 05,Anton Stach,anton-stach,A. Stach,M,18,192,1470,M,889861,EUR,911088000,M,6,6,False,35.0,24.0,2.0,2.0,8.0,11.0,16.0,25.0,1.0,5.0,9.0,2.0,,,,86.0,52.0,7.5,15.0,0.0363,0.0,0.143134,1,,,,1.0,4.0,,3.0,1.0,,3.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
10388409,home,1. FSV Mainz 05,Dominik Kohr,dominik-kohr,D. Kohr,D,31,183,342,M,152206,EUR,759974400,M,31,31,False,34.0,26.0,4.0,,10.0,12.0,16.0,23.0,,5.0,7.0,,,,,90.0,49.0,6.9,10.0,0.0024,0.0,0.0213297,1,,,,1.0,6.0,,1.0,,,1.0,5.0,4.0,1.0,1.0,3.0,,,1.0,,,1.0,1.0,,,,,,,,,,,
10388409,home,1. FSV Mainz 05,Jae-sung Lee,jae-sung-lee,J. Lee,F,7,180,2646,M,537552,EUR,713404800,M,7,7,False,21.0,15.0,2.0,1.0,7.0,8.0,9.0,17.0,,3.0,2.0,1.0,,,,65.0,33.0,7.1,10.0,0.0519,0.23,0.049108,1,,,,4.0,2.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
10388409,home,1. FSV Mainz 05,Aarón Martín,aaron-martin,A. Martín,D,3,180,1160,M,797286,EUR,861667200,M,3,3,False,33.0,27.0,3.0,1.0,12.0,13.0,16.0,28.0,,3.0,4.0,1.0,,,,90.0,60.0,6.8,17.0,0.0672,0.0,0.061717,1,,,,8.0,3.0,1.0,,,,,2.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,
10388409,home,1. FSV Mainz 05,Karim Onisiwo,karim-onisiwo,K. Onisiwo,F,9,188,465,M,165413,EUR,700790400,F,9,9,False,25.0,12.0,,,4.0,5.0,9.0,23.0,6.0,15.0,6.0,3.0,,,,90.0,64.0,7.0,28.0,0.1811,0.353,0.0114105,3,,,,3.0,14.0,3.0,6.0,3.0,1.0,,3.0,2.0,4.0,1.0,3.0,,4.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,
