match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_outfielderBlock,stat_errorLeadToAGoal,stat_blockedScoringAttempt,stat_totalOffside,player_firstName,player_lastName,stat_shotOffTarget,stat_clearanceOffLine,stat_accurateCross,stat_keyPass,stat_bigChanceMissed,stat_bigChanceCreated,player_sofascoreId,stat_goodHighClaim,stat_goalAssist
10434050,home,Gaziantep FK,Günay Güvenç,gunay-guvenc,G. Güvenç,G,19,187,2987,M,103457,EUR,677808000,G,1,1,False,True,23.0,10.0,21.0,8.0,4.0,6.0,6.0,17.0,1.0,1.0,2.0,7.0,3.0,3.0,1.0,90.0,30.0,6.9,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434050,home,Gaziantep FK,Stelios Kitsiou,stelios-kitsiou,S. Kitsiou,D,70,173,90,M,189627,EUR,749174400,D,70,70,False,,19.0,14.0,1.0,,7.0,9.0,7.0,12.0,1.0,9.0,,8.0,,,,90.0,56.0,7.1,14.0,1,2.0,7.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,
10434050,home,Gaziantep FK,Ertuğrul Ersoy,ertugrul-ersoy,E. Ersoy,D,5,185,88,M,355004,EUR,855792000,D,15,15,False,,23.0,14.0,7.0,1.0,11.0,15.0,3.0,8.0,,1.0,13.0,1.0,,,,90.0,42.0,5.9,11.0,0,,3.0,2.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10434050,home,Gaziantep FK,Papy Djilobodji,papy-djilobodji,P. Djilobodji,D,3,193,175,M,106661,EUR,596937600,D,3,3,False,,14.0,7.0,5.0,2.0,6.0,11.0,1.0,3.0,,1.0,3.0,4.0,,,,90.0,29.0,6.4,9.0,0,,7.0,,1.0,1.0,1.0,,,2.0,,,,,1.0,5.0,4.0,,,,,,,,,,,,,,
10434050,home,Gaziantep FK,Halil Ibrahim Pehlivan,halil-ibrahim-pehlivan,H. I. Pehlivan,D,3,175,17,M,777291,EUR,745891200,D,11,11,False,,14.0,10.0,3.0,2.0,4.0,4.0,6.0,11.0,2.0,3.0,1.0,3.0,,,,86.0,45.0,6.3,14.0,1,1.0,3.0,,2.0,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,
10434050,home,Gaziantep FK,Ángelo Sagal,angelo-sagal,Á. Sagal,M,25,180,265,M,588784,EUR,735091200,M,28,28,False,,9.0,5.0,,,1.0,4.0,4.0,6.0,4.0,6.0,,3.0,,,,70.0,22.0,5.9,10.0,3,1.0,7.0,,1.0,,,2.0,,,,,4.0,2.0,5.0,1.0,,,,,Ángelo,Sagal,1.0,,,,,,,,
10434050,home,Gaziantep FK,Alexander Merkel,alexander-merkel,A. Merkel,M,50,179,90,M,143228,EUR,698716800,M,52,52,False,,21.0,15.0,2.0,,7.0,9.0,8.0,12.0,,3.0,3.0,5.0,,,,86.0,31.0,7.2,7.0,0,,2.0,1.0,1.0,,,,,1.0,2.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,,
10434050,home,Gaziantep FK,Marko Jevtović,marko-jevtovic,M. Jevtović,M,16,194,134,M,310068,EUR,743472000,M,8,8,False,,25.0,16.0,4.0,2.0,10.0,13.0,7.0,13.0,3.0,9.0,,8.0,,,,90.0,39.0,6.8,13.0,1,1.0,9.0,,3.0,,,,,,4.0,2.0,1.0,2.0,4.0,3.0,1.0,,,,,,1.0,,1.0,1.0,,,,,
10434050,home,Gaziantep FK,João Figueiredo,joao-figueiredo,J. Figueiredo,F,25,179,1278,M,841012,EUR,833155200,M,25,25,False,,18.0,13.0,1.0,1.0,5.0,6.0,9.0,14.0,1.0,6.0,1.0,6.0,,,,90.0,36.0,6.3,10.0,1,2.0,5.0,1.0,1.0,3.0,1.0,,,,2.0,1.0,1.0,2.0,1.0,,,,1.0,,,,,,1.0,,,,,,
10434050,home,Gaziantep FK,Lazar Marković,lazar-markovic,L. Marković,M,50,175,330,M,98461,EUR,762566400,F,50,50,False,,24.0,13.0,,,3.0,6.0,10.0,18.0,2.0,8.0,1.0,4.0,,,,80.0,43.0,6.9,17.0,4,,3.0,,3.0,,,,,,5.0,1.0,2.0,1.0,,,,,,1.0,,,4.0,,,1.0,1.0,,,,
