match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_accurateCross,captain,stat_goodHighClaim,stat_outfielderBlock,stat_lastManTackle,stat_clearanceOffLine
12441711,home,PSV Eindhoven,Walter Benítez,,,walter-benitez,W. Benítez,G,44,193,4345,M,249859,EUR,727401600,G,1,1,False,23.0,22.0,2.0,1.0,0.0,21.0,22.0,1.0,1.0,9.0,1.0,1.0,90.0,25.0,6.6,1.0,0.00032958,0,0.0132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441711,home,PSV Eindhoven,Sergiño Dest,,,sergino-dest,S. Dest,D,8,173,6120,M,906021,EUR,973209600,D,8,8,False,28.0,27.0,,,1.0,11.0,11.0,16.0,19.0,1.0,,,45.0,35.0,6.9,6.0,0.0274074,0,,sergino,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12441711,home,PSV Eindhoven,Ryan Flamingo,Ryan Flamingo,,ryan-flamingo,R. Flamingo,D,6,186,1614,M,1046960,EUR,1041292800,D,6,6,False,93.0,84.0,13.0,7.0,0.0,45.0,46.0,39.0,47.0,1.0,,,90.0,102.0,7.1,9.0,0.0385559,1,,,,5.0,,1.0,,,,,4.0,3.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.2828,,,,,,,,,,
12441711,home,PSV Eindhoven,Olivier Boscagli,,,boscagli-olivier,O. Boscagli,D,21,181,1043,M,788784,EUR,879811200,D,18,18,False,73.0,65.0,12.0,8.0,0.0,43.0,46.0,22.0,27.0,10.0,,,84.0,77.0,7.1,10.0,0.122595,1,,,,2.0,,,2.0,2.0,1.0,2.0,1.0,,1.0,,,,1.0,,,,,1.0,0.0123,,,,,,,,,,
12441711,home,PSV Eindhoven,Mauro Júnior,,,mauro-junior,M. Júnior,D,17,171,1141,M,893499,EUR,925948800,D,17,17,False,59.0,52.0,12.0,8.0,1.0,24.0,28.0,28.0,33.0,12.0,,,90.0,83.0,7.2,15.0,0.0935537,0,,,2.0,5.0,1.0,2.0,,2.0,1.0,2.0,,,6.0,1.0,,,,1.0,2.0,6.0,4.0,,,,,,,,,,,,
12441711,home,PSV Eindhoven,Ismael Saibari,,,ismael-saibari,I. Saibari,M,34,185,23357,M,1063767,EUR,980640000,M,34,34,False,36.0,33.0,,,0.0,10.0,10.0,23.0,28.0,1.0,,,90.0,53.0,8.7,8.0,0.0869034,5,,ismaelsaibari,2.0,5.0,1.0,2.0,,2.0,2.0,3.0,,,4.0,2.0,2.0,1.0,2.0,,,,,2.0,1.2924,2.0,1.0,2.0,1.3413,,,,,,
12441711,home,PSV Eindhoven,Joey Veerman,,,joey-veerman,J. Veerman,M,23,185,3780,M,850816,EUR,911433600,M,23,23,False,45.0,41.0,5.0,4.0,0.0,13.0,13.0,29.0,35.0,4.0,,,63.0,54.0,7.2,6.0,0.115583,0,,,3.0,2.0,,1.0,,,1.0,,,,2.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,
12441711,home,PSV Eindhoven,Malik Tillman,,,malik-tillman,M. Tillman,M,10,186,5864,M,975798,EUR,1022544000,M,7,7,False,48.0,37.0,4.0,2.0,1.0,17.0,19.0,21.0,32.0,9.0,,,90.0,73.0,10.0,16.0,0.337873,5,,MalikTillman8,3.0,3.0,2.0,3.0,2.0,,,4.0,,3.0,9.0,1.0,3.0,,3.0,1.0,1.0,2.0,1.0,1.0,0.2744,2.0,,2.0,0.502,1.0,,,,,
12441711,home,PSV Eindhoven,Ivan Perišić,,,ivan-perisic,I. Perišić,M,5,187,17305,M,38710,EUR,602380800,F,5,5,False,30.0,25.0,3.0,2.0,0.0,8.0,9.0,18.0,23.0,,,,45.0,37.0,6.7,8.0,0.164838,2,,ivanperisic444,2.0,,,,,1.0,,,,,,,,,1.0,,,,,,0.0321,,1.0,,,1.0,,,,,
12441711,home,PSV Eindhoven,Luuk de Jong,,,luuk-de-jong,L. de Jong,F,26,188,8572,M,40878,EUR,651715200,F,9,9,False,20.0,18.0,,,1.0,6.0,6.0,12.0,15.0,2.0,,,84.0,32.0,6.7,4.0,0.684694,4,,luukdejong9,1.0,4.0,1.0,,1.0,,,3.0,2.0,3.0,5.0,1.0,,2.0,,,1.0,1.0,,1.0,0.8209,2.0,2.0,,0.6736,,True,,,,
