match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_expectedGoals,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_shotOffTarget,stat_interceptionWon,player_sofascoreId,stat_outfielderBlock,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_fouls,stat_expectedGoalsOnTarget,stat_keyPass,stat_wasFouled,captain,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed
12421262,home,KV Mechelen,Ortwin De Wolf,,,de-wolf-ortwin,O. D. Wolf,G,1,190,160,M,877292,EUR,830217600,G,1,1,False,38.0,24.0,25.0,12.0,0.0,18.0,20.0,6.0,18.0,1.0,12.0,1.0,5.0,6.0,1.0,1.0,1.0,90.0,51.0,7.8,14.0,0.00096013,0,1.6247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421262,home,KV Mechelen,Rafik Belghali,,,belghali-rafik,R. Belghali,M,7,177,6622,M,1103488,EUR,1023408000,D,17,17,False,64.0,48.0,5.0,2.0,0.0,21.0,28.0,27.0,38.0,1.0,5.0,,,,,,,90.0,90.0,6.3,25.0,0.016725,1,,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0159,,,,,,,,,,,,,,,,,,
12421262,home,KV Mechelen,Stephen Welsh,,,welsh-stephen,S. Welsh,D,57,180,174,M,862953,EUR,948240000,D,21,21,False,54.0,45.0,8.0,6.0,0.0,34.0,38.0,11.0,16.0,2.0,,,,,,,,69.0,61.0,6.8,9.0,0.00322485,1,,,6.0,9.0,,,,,2.0,,1.0,,0.1048,4.0,7.0,2.0,1.0,1.0,,,,,,,,,,,,,
12421262,home,KV Mechelen,Ahmed Touba,,,ahmed-touba,A. Touba,D,5,190,4979,M,856216,EUR,889747200,D,6,6,False,67.0,59.0,4.0,4.0,0.0,35.0,39.0,24.0,28.0,3.0,8.0,,,,,,,90.0,81.0,7.1,11.0,0.00658462,0,,,4.0,5.0,1.0,,,,2.0,1.0,,2.0,,3.0,3.0,,,3.0,Toubaahmed59,1.0,,,,,,,,,,,
12421262,home,KV Mechelen,Daam Foulon,,,daam-foulon,D. Foulon,M,5,180,205,M,826170,EUR,922147200,D,23,23,False,40.0,33.0,5.0,2.0,0.0,22.0,26.0,13.0,18.0,,6.0,,,,,,,90.0,68.0,7.7,15.0,0.0883188,3,,4.0,5.0,4.0,2.0,,,,3.0,1.0,,,0.76,2.0,1.0,,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,0.99,1.0,,,,,
12421262,home,KV Mechelen,Geoffry Hairemans,,,geoffry-hairemans,G. Hairemans,F,11,184,140,M,58917,EUR,688003200,M,7,7,False,61.0,51.0,9.0,9.0,0.0,17.0,17.0,36.0,50.0,1.0,,,,,,,,90.0,85.0,7.7,22.0,0.193384,0,,6.0,8.0,10.0,2.0,3.0,2.0,,1.0,1.0,,3.0,,4.0,6.0,,,,,,2.0,,,1.0,,5.0,1.0,,,,
12421262,home,KV Mechelen,Fredrik Hammar,,,fredrik-hammar,F. Hammar,M,6,181,204,M,946959,EUR,983145600,M,33,33,False,42.0,31.0,6.0,2.0,0.0,18.0,22.0,14.0,21.0,1.0,8.0,,,,,,,90.0,56.0,7.1,12.0,0.0218638,0,,1.0,4.0,7.0,1.0,,,,3.0,3.0,,,,1.0,3.0,1.0,,2.0,,2.0,1.0,,,2.0,,,1.0,,,,
12421262,home,KV Mechelen,Kerim Mrabti,,,kerim-mrabti,K. Mrabti,F,19,175,187,M,338869,EUR,769392000,M,19,19,False,58.0,52.0,4.0,4.0,0.0,23.0,27.0,29.0,31.0,1.0,3.0,,,,,,,80.0,69.0,7.3,8.0,0.0385252,1,,,,3.0,,,,,2.0,,,2.0,0.0804,,,,,2.0,,,,1.0,,,0.2965,1.0,1.0,True,,,
12421262,home,KV Mechelen,Patrick Pflücke,,,patrick-pflucke,P. Pflücke,M,14,170,191,M,281283,EUR,849312000,F,77,77,False,25.0,22.0,1.0,,0.0,4.0,5.0,19.0,26.0,,1.0,,,,,,,65.0,37.0,7.4,9.0,0.111403,3,,6.0,1.0,1.0,1.0,,,1.0,,,,,0.1131,,1.0,,2.0,,,,1.0,,,,,1.0,,,,,
12421262,home,KV Mechelen,Benito Raman,,,benito-raman,B. Raman,F,14,172,396,M,94300,EUR,784166400,F,14,14,False,11.0,9.0,1.0,,0.0,5.0,6.0,4.0,6.0,,2.0,,,,,,,80.0,23.0,7.5,8.0,0.016838,3,,1.0,4.0,4.0,2.0,,,,1.0,1.0,,2.0,0.5284,2.0,2.0,,2.0,,,,,1.0,1.0,,0.8602,1.0,2.0,,,,
