match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,playerName,rescinded,player_id,player_name,from,reason,confirmed
12499483,FT,3.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
12499483,,,,,90,0.0,,1,,,injuryTime,5.0,,,,,,,,,,,
12499483,,,,,83,,,8,,,substitution,,123888946.0,False,False,regular,,,,,,,
12499483,,,,,83,,,8,,,substitution,,123888947.0,False,False,regular,,,,,,,
12499483,,,,,73,,,18,,,substitution,,123888898.0,False,True,regular,,,,,,,
12499483,,,,,73,,,18,,,substitution,,123888899.0,False,True,regular,,,,,,,
12499483,,,,,73,,,18,,,substitution,,123888897.0,False,True,regular,,,,,,,
12499483,,,,,70,,,21,,,substitution,,123888888.0,False,False,regular,,,,,,,
12499483,,,,,70,,,21,,,substitution,,123888887.0,False,False,regular,,,,,,,
12499483,,,,,70,,,21,,,substitution,,123888886.0,False,False,regular,,,,,,,
12499483,,,,,61,,,30,,,substitution,,123888780.0,False,True,regular,,,,,,,
12499483,,,,,56,,,35,,,card,,123364724.0,,False,yellow,Kevin Stöger,False,95381.0,Kevin Stöger,,,
12499483,,3.0,2.0,,56,,,35,,,goal,,304501429.0,,False,penalty,,,95381.0,Kevin Stöger,penalty,,
12499483,,,,,56,,,35,,,card,,123364709.0,,True,yellow,Serhou Guirassy,False,328027.0,Serhou Guirassy,,Time wasting,
12499483,,,,,53,,,38,,,varDecision,,33112.0,,False,penaltyNotAwarded,,,228981.0,Tim Kleindienst,,,False
12499483,HT,3.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
12499483,,3.0,1.0,,45,4.0,,1,,,goal,,304437043.0,,True,regular,,,1021272.0,Daniel Svensson,,,
12499483,,,,,45,0.0,,1,,,injuryTime,4.0,,,,,,,,,,,
12499483,,2.0,1.0,,44,,,2,,,goal,,304423336.0,,True,regular,,,907463.0,Felix Nmecha,,,
12499483,,1.0,1.0,,41,,,5,,,goal,,304416873.0,,True,regular,,,328027.0,Serhou Guirassy,,,
12499483,,,,,35,,,11,,,substitution,,123888328.0,True,True,injury,,,,,,,
12499483,,0.0,1.0,,24,,,22,,,goal,,304375968.0,,False,regular,,,790989.0,Ko Itakura,,,
12499483,,,,,4,,,42,,,card,,123364275.0,,False,yellow,Joseph Scally,False,1002920.0,Joseph Scally,,Foul,
