match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialWon,stat_interceptionWon,stat_outfielderBlock,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_keyPass,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,captain,stat_blockedScoringAttempt,stat_totalOffside
11034788,home,Manchester United,David De Gea,,,david-de-gea,D. De Gea,G,43,192,23571,M,d_degea,69378,EUR,657936000,G,1,1,False,25.0,12.0,19.0,6.0,9.0,9.0,3.0,16.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,90.0,33.0,7.4,13.0,0,,,,,,,,,,,,,,,,,,,,,,,
11034788,home,Manchester United,Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22937,M,DDalot,843200,EUR,921715200,D,20,20,False,11.0,8.0,2.0,1.0,6.0,6.0,2.0,5.0,2.0,1.0,2.0,,,,,,,45.0,17.0,6.3,3.0,0,1.0,4.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
11034788,home,Manchester United,Raphaël Varane,,,raphael-varane,R. Varane,D,,191,10105,M,raphael_varane,138310,EUR,735696000,D,19,19,False,19.0,13.0,4.0,1.0,10.0,13.0,3.0,6.0,4.0,4.0,2.0,,,,,,,90.0,25.0,7.0,6.0,0,,,,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,
11034788,home,Manchester United,Lisandro Martínez,,,lisandro-martinez,L. Martínez,D,6,175,51493,M,LichaMartínez,859999,EUR,885081600,D,6,6,False,28.0,23.0,3.0,,16.0,18.0,7.0,10.0,3.0,4.0,5.0,,,,,,,90.0,38.0,7.3,5.0,0,1.0,2.0,,3.0,2.0,1.0,,,2.0,,,,,,,,,,,,,,
11034788,home,Manchester United,Luke Shaw,,,luke-shaw,L. Shaw,D,23,178,17999,M,lukeshaw23,190839,EUR,805507200,D,23,23,False,24.0,18.0,4.0,3.0,10.0,10.0,10.0,18.0,4.0,2.0,5.0,,,,,,,90.0,54.0,7.7,13.0,0,3.0,5.0,,1.0,,1.0,2.0,3.0,,1.0,4.0,2.0,2.0,1.0,1.0,1.0,,,,,,,
11034788,home,Manchester United,Fred,,,fred,Fred,M,7,169,11619,M,fred08,243623,EUR,731289600,M,17,17,False,17.0,9.0,3.0,,8.0,13.0,1.0,4.0,3.0,,9.0,2.0,,,,,,69.0,27.0,6.4,12.0,1,1.0,5.0,,,,2.0,,1.0,,,,,2.0,1.0,2.0,,1.0,1.0,,,,,
11034788,home,Manchester United,Casemiro,,,casemiro,Casemiro,M,18,185,85477,M,Casemiro,122951,EUR,698803200,M,18,18,False,36.0,21.0,8.0,3.0,10.0,16.0,11.0,20.0,8.0,2.0,6.0,1.0,,,,,,90.0,53.0,7.7,17.0,1,,4.0,2.0,5.0,3.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,
11034788,home,Manchester United,Antony,,,antony,Antony,M,7,172,218925,M,Antony,958380,EUR,951350400,M,21,21,False,20.0,14.0,,,5.0,6.0,9.0,15.0,4.0,,8.0,,,,,,,83.0,38.0,6.7,15.0,2,1.0,8.0,4.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,1.0,4.0,,1.0,,2.0,,,,
11034788,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,237692,M,BrunoFernandes,288205,EUR,778982400,M,8,8,False,39.0,27.0,2.0,1.0,6.0,9.0,21.0,31.0,6.0,,10.0,2.0,,,,,,90.0,57.0,7.1,16.0,2,2.0,7.0,3.0,3.0,1.0,1.0,,1.0,1.0,,1.0,,2.0,1.0,2.0,1.0,,,1.0,,True,1.0,
11034788,home,Manchester United,Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185,363363,M,Rashford,814590,EUR,878256000,M,10,10,False,22.0,15.0,1.0,,4.0,6.0,11.0,16.0,7.0,1.0,3.0,2.0,,,,,,88.0,38.0,7.5,12.0,2,1.0,6.0,2.0,1.0,1.0,,,,,,,,7.0,4.0,2.0,3.0,,,2.0,1.0,,,
