match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_interceptionWon,stat_wasFouled,stat_keyPass,stat_totalCross,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_wonTackle,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_accurateCross,stat_challengeLost,captain,stat_outfielderBlock,stat_totalOffside,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_penaltyFaced,stat_penaltyConceded,stat_bigChanceMissed
11406773,home,Inter,Yann Sommer,yann-sommer,Y. Sommer,G,1,183,12749,M,yannsommer,16206,EUR,598320000,G,1,1,False,20.0,19.0,3.0,2.0,19.0,19.0,1.0,2.0,2.0,8.0,2.0,3.0,4.0,1.0,1.0,90.0,33.0,7.4,1.0,0.00011796,0,-0.2575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406773,home,Inter,Yann Bisseck,yann-bisseck,Y. Bisseck,D,31,194,5415,M,,906275,EUR,975456000,D,31,31,False,79.0,77.0,3.0,3.0,31.0,32.0,47.0,2.0,3.0,5.0,,,,,,90.0,89.0,6.6,4.0,0.0186241,1,,46.0,4.0,6.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0287,,,,,,,,,,,,,,,,,,,,,,,
11406773,home,Inter,Francesco Acerbi,francesco-acerbi,F. Acerbi,D,15,192,5573,M,,126816,EUR,571449600,D,15,15,False,95.0,89.0,9.0,9.0,38.0,39.0,56.0,2.0,4.0,3.0,,,,,,90.0,99.0,7.0,6.0,0.0240101,0,,51.0,2.0,3.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11406773,home,Inter,Alessandro Bastoni,alessandro-bastoni,A. Bastoni,D,95,190,15274,M,alessandrobastoni,826188,EUR,923961600,D,95,95,False,82.0,74.0,6.0,3.0,26.0,26.0,60.0,,3.0,1.0,,,,,,86.0,104.0,7.0,15.0,0.0437222,1,,48.0,1.0,3.0,1.0,,3.0,1.0,,1.0,0.115,,1.0,,4.0,1.0,1.0,1.0,1.0,0.0413,,,,,,,,,,,,,,
11406773,home,Inter,Matteo Darmian,matteo-darmian,M. Darmian,M,36,182,3779,M,,19352,EUR,628560000,M,36,36,False,39.0,37.0,1.0,,16.0,17.0,25.0,2.0,5.0,1.0,,,,,,76.0,55.0,7.0,6.0,0.048711,0,,22.0,,2.0,2.0,,3.0,2.0,,,,1.0,,2.0,3.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,
11406773,home,Inter,Nicolò Barella,nicolo-barella,N. Barella,M,23,175,21290,M,nicolo_barella,363856,EUR,855273600,M,23,23,False,77.0,69.0,4.0,2.0,10.0,12.0,69.0,,,3.0,,,,,,90.0,95.0,7.5,16.0,0.140938,2,,61.0,1.0,2.0,,1.0,,,3.0,,0.0292,2.0,,2.0,4.0,1.0,,1.0,,0.1469,,,2.0,,True,1.0,1.0,,,,,,,
11406773,home,Inter,Hakan Çalhanoğlu,hakan-calhanoglu,H. Çalhanoğlu,M,20,178,32988,M,HÇalhanoğlu,135700,EUR,760665600,M,20,20,False,87.0,87.0,9.0,9.0,30.0,30.0,63.0,,4.0,5.0,,,,,,90.0,101.0,8.3,3.0,0.243676,2,,60.0,,,,,,2.0,,,0.8223,2.0,2.0,,6.0,,,2.0,1.0,1.3307,,,3.0,,,,,1.0,,,,,,
11406773,home,Inter,Henrikh Mkhitaryan,henrikh-mkhitaryan,H. Mkhitaryan,M,22,178,8680,M,micki_taryan,37151,EUR,601344000,M,22,22,False,42.0,36.0,,,6.0,6.0,36.0,,1.0,1.0,,,,,,64.0,45.0,6.8,7.0,0.0350021,0,,30.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
11406773,home,Inter,Federico Dimarco,federico-dimarco,F. Dimarco,M,32,174,15308,M,dimarco32,284361,EUR,879120000,M,32,32,False,31.0,30.0,2.0,1.0,7.0,7.0,33.0,,3.0,1.0,,,,,,76.0,54.0,7.1,12.0,0.0615741,2,,24.0,,2.0,,1.0,2.0,2.0,,,0.0728,,1.0,1.0,9.0,2.0,,1.0,1.0,0.0669,,,1.0,,,,1.0,,,,,,,
11406773,home,Inter,Alexis Sánchez,alexis-sanchez,A. Sánchez,F,10,169,29898,M,AlexisS,34120,EUR,598492800,F,70,70,False,25.0,20.0,,,1.0,1.0,24.0,1.0,7.0,1.0,,,,,,76.0,39.0,8.0,8.0,0.501435,4,,19.0,,1.0,2.0,2.0,,2.0,2.0,,0.4284,,2.0,2.0,,1.0,2.0,1.0,1.0,0.2516,,,,,,,,,1.0,1.0,1.0,,,
