match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_expectedGoals,stat_outfielderBlock,stat_accurateCross,stat_keyPass,stat_dispossessed,stat_wasFouled,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalOffside,captain,stat_bigChanceMissed,stat_goals,stat_punches
11450152,home,Adana Demirspor,Shahrudin Mahammadaliyev,,,sahrudin-mahammadaliyev,Ş. Mahammadaliev,G,1,185.0,5783,M,shahrudin1,813105,EUR,771379200,G,71,71,False,22.0,18.0,7.0,3.0,17.0,17.0,1.0,5.0,4.0,3.0,3.0,90.0,27.0,6.8,4.0,0.00022993,0,0.5201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450152,home,Adana Demirspor,Dorukhan Toköz,,,dorukhan-tokoz,D. Toköz,M,24,180.0,156,M,,796133,EUR,832636800,D,26,26,False,16.0,13.0,1.0,,8.0,9.0,5.0,8.0,,,,54.0,33.0,6.9,7.0,0.0105183,0,,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
11450152,home,Adana Demirspor,Semih Güler,,,semih-guler,S. Güler,D,6,184.0,112,M,,325155,EUR,786153600,D,4,4,False,53.0,46.0,17.0,12.0,34.0,36.0,12.0,17.0,3.0,,,90.0,63.0,7.0,7.0,0.00753828,2,,,1.0,2.0,2.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,4.0,0.066,,,,,,,,,,,,
11450152,home,Adana Demirspor,Pape Abou Cissé,Pape,Abou Cissé,pape-abou-cisse,P. A. Cissé,D,,197.0,811,M,,790198,EUR,811036800,D,66,66,False,46.0,38.0,6.0,3.0,24.0,27.0,14.0,19.0,3.0,,,73.0,52.0,6.8,9.0,0.00700473,0,,,3.0,2.0,3.0,1.0,,,,,,,1.0,,,,2.0,,2.0,,,,,,,,,,,
11450152,home,Adana Demirspor,Abdurrahim Dursun,,,abdurrahim-dursun,A. Dursun,D,77,176.0,46,M,,883275,EUR,912470400,D,3,3,False,36.0,27.0,9.0,4.0,12.0,15.0,16.0,24.0,6.0,,,74.0,56.0,6.9,16.0,0.0538533,0,,3.0,,3.0,4.0,,2.0,1.0,,3.0,2.0,1.0,2.0,,,,,,,1.0,1.0,,,,,,,,,
11450152,home,Adana Demirspor,Andreaw Gravillon,,,andreaw-gravillon,A. Gravillon,D,26,188.0,179,M,,827934,EUR,886896000,M,5,5,False,36.0,28.0,6.0,5.0,16.0,20.0,12.0,16.0,5.0,,,90.0,41.0,6.8,8.0,0.0161849,2,,,1.0,3.0,1.0,,,,,,,,,3.0,1.0,1.0,1.0,0.0841,,,,,,,,,,,,
11450152,home,Adana Demirspor,Édouard Michut,,,edouard-michut,É. Michut,M,20,178.0,701,M,,1048011,EUR,1046736000,M,20,20,False,38.0,35.0,2.0,1.0,14.0,14.0,21.0,24.0,3.0,,,86.0,47.0,6.9,6.0,0.0242952,1,,,,3.0,3.0,1.0,1.0,,1.0,2.0,2.0,,,,1.0,,1.0,0.0331,,,1.0,1.0,1.0,,,,,,,
11450152,home,Adana Demirspor,Babajide David Akintola,,,babajide-david-akintola,D. Babajide,M,11,178.0,297,M,,798676,EUR,821491200,M,11,11,False,15.0,12.0,1.0,1.0,4.0,5.0,8.0,11.0,4.0,,,90.0,35.0,7.2,13.0,0.384963,3,,1.0,1.0,4.0,4.0,,4.0,1.0,,,,5.0,1.0,1.0,1.0,1.0,1.0,0.2408,1.0,,2.0,,2.0,1.0,1.0,2.0,,,,
11450152,home,Adana Demirspor,Benjamin Stambouli,,,benjamin-stambouli,B. Stambouli,M,21,180.0,161,M,,105951,EUR,650505600,M,90,90,False,24.0,12.0,2.0,,4.0,5.0,8.0,19.0,5.0,,,90.0,33.0,6.7,14.0,0.00887192,0,,,3.0,4.0,6.0,,,,,2.0,,2.0,1.0,4.0,,,1.0,,,,,,1.0,,,1.0,True,,,
11450152,home,Adana Demirspor,Yusuf Erdoğan,,,yusuf-erdogan,Y. Erdoğan,M,10,172.0,204,M,,256663,EUR,713145600,M,32,32,False,17.0,11.0,1.0,,4.0,5.0,8.0,16.0,3.0,,,90.0,44.0,6.9,16.0,0.044215,2,,4.0,1.0,6.0,6.0,2.0,,,,,,4.0,,2.0,,,3.0,0.1743,,1.0,1.0,2.0,5.0,,2.0,,,,,
