match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_unsuccessfulTouch,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_wonTackle,stat_goalAssist,stat_wonContest,stat_challengeLost,player_firstName,player_lastName,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_punches,stat_lastManTackle,stat_outfielderBlock
10411725,home,Napoli,Alex Meret,alex-meret,A. Meret,G,1,190,4366,M,592794,EUR,858988800,G,1,1,False,17.0,17.0,4.0,4.0,16.0,16.0,1.0,1.0,4.0,1.0,2.0,90.0,24.0,7.3,0.0,0.0,0.00020327,0,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411725,home,Napoli,Giovanni Di Lorenzo,giovanni-di-lorenzo,G. Di Lorenzo,D,22,182,6986,M,153257,EUR,744422400,D,22,22,False,45.0,40.0,4.0,3.0,17.0,17.0,24.0,29.0,4.0,,,90.0,61.0,7.1,0.0247,0.0,0.374461,1,,dilorenzo22,True,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,,,,,,,,,,,,,,,,,,
10411725,home,Napoli,Amir Rrahmani,amir-rrahmani,A. Rrahmani,D,13,190,3520,M,332155,EUR,762048000,D,13,13,False,47.0,45.0,6.0,4.0,29.0,30.0,16.0,17.0,6.0,,,90.0,52.0,7.0,0.0,0.0,0.00893833,0,,,,,,1.0,,1.0,1.0,,,,2.0,,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,
10411725,home,Napoli,Min-jae Kim,min-jae-kim,M. Kim,D,3,190,15025,M,896569,EUR,848016000,D,3,3,False,57.0,53.0,4.0,4.0,38.0,39.0,15.0,18.0,10.0,,,90.0,72.0,8.0,0.2987,0.6897,0.00640357,3,,kiminjae3,,,,,4.0,2.0,7.0,,,,5.0,2.0,1.0,1.0,5.0,,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,
10411725,home,Napoli,Mário Rui,mario-rui,M. Rui,D,,168,1034,M,99546,EUR,675302400,D,6,6,False,57.0,47.0,7.0,4.0,24.0,25.0,26.0,38.0,4.0,,,70.0,76.0,7.4,0.0,0.0,0.0619832,0,,,,6.0,3.0,1.0,,3.0,2.0,,1.0,,1.0,2.0,,2.0,13.0,3.0,,,,,,,,1.0,,,,,,,,,,
10411725,home,Napoli,Frank Anguissa,frank-anguissa,F. Anguissa,M,99,184,12968,M,787941,EUR,816480000,M,99,99,False,70.0,64.0,4.0,4.0,36.0,38.0,28.0,32.0,3.0,,,90.0,82.0,7.3,0.153,0.0,0.0401303,1,,anguiss_29,,,,,2.0,3.0,3.0,3.0,1.0,1.0,,,,1.0,9.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,
10411725,home,Napoli,Stanislav Lobotka,stanislav-lobotka,S. Lobotka,M,68,170,4661,M,150383,EUR,785721600,M,68,68,False,54.0,52.0,3.0,3.0,25.0,25.0,27.0,29.0,3.0,,,78.0,59.0,7.2,0.0,0.0,0.0536652,0,,StanLobotka,,,,,1.0,2.0,2.0,,1.0,,1.0,,1.0,1.0,4.0,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,,
10411725,home,Napoli,Piotr Zieliński,piotr-zielinski,P. Zieliński,M,7,180,18478,M,138605,EUR,769392000,M,20,20,False,45.0,38.0,1.0,,14.0,15.0,28.0,36.0,5.0,,,90.0,65.0,9.1,0.0685,0.0,0.502003,2,,zielu_94,,6.0,4.0,,,1.0,7.0,3.0,3.0,2.0,,2.0,3.0,,11.0,6.0,1.0,,,,,,1.0,1.0,2.0,2.0,,,,,,,,
10411725,home,Napoli,Hirving Lozano,hirving-lozano,H. Lozano,F,11,175,6583,M,385320,EUR,807062400,F,11,11,False,20.0,16.0,1.0,,2.0,2.0,15.0,20.0,2.0,,,78.0,34.0,6.9,0.0315,0.0,0.0562034,1,,hirvinglozano,,2.0,1.0,,,3.0,2.0,1.0,,,,,1.0,2.0,9.0,1.0,3.0,1.0,,1.0,,,,,,1.0,,,,,,,,
10411725,home,Napoli,Victor Osimhen,victor-osimhen,V. Osimhen,F,45,186,227771,M,822471,EUR,914889600,F,9,9,False,14.0,10.0,,,,,10.0,15.0,3.0,,,84.0,35.0,6.4,1.1717,0.2,0.14867,10,,Osimhen9,,1.0,,1.0,3.0,6.0,6.0,5.0,,3.0,1.0,,2.0,1.0,11.0,1.0,2.0,,3.0,5.0,2.0,1.0,,,,1.0,,,,,,,,
