match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_aerialLost,stat_shotOffTarget,stat_unsuccessfulTouch,stat_challengeLost,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_wonContest,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,stat_goals,stat_savedShotsFromInsideTheBox,stat_goalAssist,stat_outfielderBlock,stat_clearanceOffLine,stat_errorLeadToAShot,stat_penaltyConceded,stat_hitWoodwork,stat_penaltyFaced
11451091,home,Galatasaray,Fernando Muslera,fernando-muslera,F. Muslera,G,16,190,9264,M,Muslera,28381,EUR,519264000,G,1,1,False,True,28.0,20.0,10.0,2.0,19.0,21.0,1.0,7.0,12.0,3.0,1.0,90.0,38.0,6.7,8.0,0.00027773,0,-0.1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451091,home,Galatasaray,Sacha Boey,boey-sacha,S. Boey,D,93,178,14707,M,sacha_boey,980418,EUR,968803200,D,93,93,False,,34.0,27.0,2.0,,10.0,13.0,18.0,22.0,7.0,,,90.0,61.0,6.6,9.0,0.0522485,1,,,,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0242,,,,,,,,,,,,,,,,,,,,
11451091,home,Galatasaray,Davinson Sánchez,davinson-sanchez,D. Sánchez,D,6,187,12299,M,DAVINSON,566102,EUR,834537600,D,6,6,False,,73.0,59.0,14.0,8.0,36.0,39.0,23.0,34.0,14.0,,,90.0,78.0,6.8,15.0,0.0223764,1,,,,,,3.0,4.0,3.0,,,,2.0,1.0,,,,,0.0261,4.0,1.0,1.0,,,,,,,,,,,,,,,,,
11451091,home,Galatasaray,Abdülkerim Bardakcı,abdulkerim-bardakci,A. Bardakcı,D,42,185,6104,M,abdulkerimbard1,178963,EUR,778896000,D,42,42,False,,52.0,49.0,7.0,5.0,31.0,31.0,18.0,22.0,10.0,,,90.0,64.0,7.0,5.0,0.016202,1,,,,1.0,,,5.0,3.0,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,0.0158,2.0,,,1.0,1.0,0.0414,2.0,,,,,,,,,,,,,
11451091,home,Galatasaray,Angeliño,angelino,Angeliño,M,3,171,3334,M,,848355,EUR,852336000,D,3,3,False,,26.0,19.0,2.0,,6.0,7.0,13.0,22.0,4.0,,,79.0,44.0,6.7,12.0,0.0110861,2,,,,3.0,,,4.0,2.0,,,,2.0,1.0,2.0,2.0,,1.0,0.0567,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
11451091,home,Galatasaray,Kaan Ayhan,kaan-ayhan,K. Ayhan,D,23,185,4087,M,,138152,EUR,784425600,M,23,23,False,,31.0,29.0,4.0,3.0,11.0,11.0,18.0,21.0,6.0,,,90.0,44.0,6.7,6.0,0.111128,1,,,,1.0,,,4.0,3.0,1.0,1.0,,,1.0,2.0,,,,0.0351,2.0,,,1.0,1.0,0.0453,1.0,1.0,1.0,,,,,,,,,,,
11451091,home,Galatasaray,Lucas Torreira,lucas-torreira,L. Torreira,M,34,168,8760,M,ltorreira34,754794,EUR,823996800,M,34,34,False,,46.0,42.0,1.0,1.0,21.0,22.0,21.0,24.0,9.0,,,85.0,66.0,7.2,5.0,0.0141119,3,,,,,,2.0,7.0,9.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,0.0677,2.0,1.0,,2.0,,,,1.0,,,,,,,,,,,,
11451091,home,Galatasaray,Tetê,tete,Tetê,F,21,175,4004,M,Tete,980327,EUR,950572800,M,20,20,False,,29.0,25.0,4.0,3.0,6.0,6.0,19.0,25.0,4.0,,,65.0,50.0,7.7,13.0,0.315351,2,,,,2.0,,2.0,8.0,5.0,1.0,5.0,,,,1.0,1.0,1.0,1.0,0.0588,2.0,1.0,1.0,,1.0,0.0269,5.0,1.0,,1.0,,,,,,,,,,
11451091,home,Galatasaray,Kerem Aktürkoğlu,kerem-akturkoglu,K. Aktürkoğlu,F,9,173,24917,M,KAktürkoğlu,903324,EUR,908928000,M,7,7,False,,26.0,18.0,6.0,3.0,7.0,7.0,14.0,27.0,6.0,,,85.0,49.0,7.7,19.0,0.31152,2,,,,8.0,3.0,,5.0,5.0,2.0,2.0,1.0,,,2.0,2.0,3.0,,0.1014,1.0,1.0,1.0,,,,7.0,,,2.0,,,,,,,,,,
11451091,home,Galatasaray,Wilfried Zaha,wilfried-zaha,W. Zaha,M,10,180,18594,M,wilfriedzaha,111850,EUR,721353600,M,14,14,False,,13.0,11.0,1.0,,4.0,5.0,7.0,9.0,4.0,,,64.0,33.0,6.9,11.0,0.00688804,1,,,,1.0,,,4.0,6.0,1.0,5.0,,,,2.0,2.0,2.0,,0.0323,,,4.0,,1.0,0.0545,,2.0,,,1.0,,,,,,,,,
