match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_accurateCross,stat_aerialWon,stat_totalClearance,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_ownGoals,stat_wasFouled,stat_fouls,stat_blockedScoringAttempt,stat_bigChanceMissed,player_sofascoreId,captain,stat_savedShotsFromInsideTheBox,stat_lastManTackle,stat_errorLeadToAGoal,stat_hitWoodwork,stat_totalOffside
11388388,home,PSV Eindhoven,Walter Benítez,,,walter-benitez,W. Benítez,G,44,193,4345,M,249859,EUR,727401600,G,1,1,False,26.0,23.0,8.0,5.0,0.0,21.0,21.0,2.0,5.0,5.0,1.0,1.0,2.0,1.0,90.0,36.0,6.2,4.0,0.00088905,0,-1.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388388,home,PSV Eindhoven,Jordan Teze,,,jordan-teze,J. Teze,D,4,183,1080,M,825846,EUR,938649600,D,3,3,False,68.0,62.0,5.0,2.0,0.0,27.0,29.0,35.0,43.0,3.0,,3.0,,,88.0,88.0,7.5,15.0,0.630556,1,,4.0,1.0,4.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2694,0.5595,3.0,,,,,,,,,,,,,,,,,,
11388388,home,PSV Eindhoven,André Ramalho,,,andre-ramalho,A. Ramalho,D,5,182,5374,M,148155,EUR,698198400,D,5,5,False,76.0,70.0,7.0,6.0,0.0,27.0,29.0,44.0,48.0,4.0,,,,,58.0,81.0,6.8,6.0,0.0705846,0,,1.0,2.0,2.0,3.0,,,,,,,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,
11388388,home,PSV Eindhoven,Olivier Boscagli,,,boscagli-olivier,O. Boscagli,D,21,181,1043,M,788784,EUR,879811200,D,18,18,False,100.0,92.0,12.0,7.0,1.0,42.0,44.0,50.0,57.0,6.0,,,,,90.0,116.0,8.1,9.0,0.0618552,2,,1.0,5.0,5.0,5.0,,,,,,1.0,1.0,2.0,1.0,0.545,0.2437,1.0,,2.0,3.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,
11388388,home,PSV Eindhoven,Mauro Júnior,,,mauro-junior,M. Júnior,D,17,171,1141,M,893499,EUR,925948800,D,17,17,False,53.0,45.0,2.0,,0.0,23.0,27.0,22.0,27.0,10.0,,1.0,,,88.0,67.0,6.5,10.0,0.0242815,0,,1.0,1.0,2.0,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,
11388388,home,PSV Eindhoven,Jerdy Schouten,,,jerdy-schouten,J. Schouten,M,22,185,1244,M,844234,EUR,853027200,M,22,22,False,79.0,76.0,1.0,1.0,0.0,42.0,42.0,34.0,37.0,4.0,,1.0,,,90.0,89.0,6.8,5.0,0.100615,2,,,,2.0,1.0,,,2.0,1.0,,1.0,1.0,,,0.49,0.9685,,,,2.0,,,,,,1.0,1.0,,,,,,,,
11388388,home,PSV Eindhoven,Joey Veerman,,,joey-veerman,J. Veerman,M,23,185,3780,M,850816,EUR,911433600,M,23,23,False,61.0,54.0,2.0,1.0,1.0,24.0,26.0,32.0,38.0,2.0,,1.0,,,90.0,78.0,7.7,11.0,0.380541,3,,3.0,1.0,6.0,3.0,1.0,1.0,1.0,,1.0,,,3.0,3.0,0.2333,,5.0,2.0,,,3.0,,1.0,,,2.0,,1.0,,,,,,,
11388388,home,PSV Eindhoven,Johan Bakayoko,Johan Bakayoko,,johan-bakayoko,J. Bakayoko,F,9,179,6820,M,1088896,EUR,1050796800,M,11,11,False,42.0,37.0,,,0.0,8.0,9.0,29.0,38.0,4.0,,2.0,,,90.0,63.0,7.9,16.0,0.286306,3,,5.0,,5.0,4.0,,2.0,3.0,1.0,,3.0,1.0,2.0,2.0,0.4546,1.1649,1.0,,1.0,,,,1.0,,,2.0,,,johanbakayoko,,,,,,
11388388,home,PSV Eindhoven,Guus Til,,,guus-til,G. Til,M,20,183,2263,M,845798,EUR,882748800,M,20,20,False,12.0,10.0,,,0.0,1.0,2.0,9.0,10.0,1.0,,1.0,,,58.0,16.0,6.4,3.0,0.0199981,0,,,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
11388388,home,PSV Eindhoven,Malik Tillman,,,malik-tillman,M. Tillman,M,10,186,5864,M,975798,EUR,1022544000,M,10,10,False,34.0,31.0,4.0,3.0,0.0,9.0,10.0,22.0,26.0,3.0,,2.0,,,90.0,54.0,6.9,11.0,0.0845817,0,,2.0,,7.0,7.0,2.0,1.0,2.0,,,,,4.0,3.0,,,1.0,,,1.0,,,,,3.0,2.0,,,MalikTillman8,,,,,,
