match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_challengeLost,stat_fouls,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_outfielderBlock,stat_keyPass,stat_dispossessed,stat_interceptionWon,stat_unsuccessfulTouch,stat_penaltyConceded,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalOffside,captain,stat_hitWoodwork,stat_goals,stat_clearanceOffLine,stat_penaltyWon
10385656,home,Manchester City,Ederson,ederson,Ederson,G,31,188,48699,M,Ederson93,254491,EUR,745545600,G,31,31,False,67.0,59.0,22.0,14.0,58.0,61.0,1.0,6.0,3.0,8.0,3.0,1.0,5.0,1.0,1.0,1.0,90.0,78.0,6.8,8.0,0.0,0.0,0.00514142,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385656,home,Manchester City,Kyle Walker,kyle-walker,K. Walker,D,2,183,26779,M,KyleWalker2,44614,EUR,643852800,D,2,2,False,23.0,21.0,1.0,1.0,11.0,12.0,10.0,11.0,,1.0,,,,,,,41.0,28.0,6.4,2.0,0.0,0.0,0.0110346,0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385656,home,Manchester City,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,22699,M,manuel_akanji,383560,EUR,806112000,D,25,25,False,73.0,71.0,5.0,3.0,59.0,60.0,12.0,13.0,2.0,8.0,,,,,,,90.0,83.0,6.8,2.0,0.0199,0.0,0.0045726,1,,,,2.0,,,2.0,1.0,6.0,2.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10385656,home,Manchester City,Nathan Aké,nathan-ake,N. Aké,D,6,180,21292,M,nathanake,149663,EUR,793065600,D,6,6,False,66.0,58.0,5.0,3.0,42.0,46.0,16.0,20.0,1.0,2.0,,,,,,,90.0,69.0,6.5,9.0,0.0,0.0,0.0986585,0,,,,1.0,,,1.0,2.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
10385656,home,Manchester City,João Cancelo,joao-cancelo,J. Cancelo,D,2,182,90478,M,JCancelo,138892,EUR,769996800,D,7,7,False,64.0,55.0,5.0,5.0,34.0,39.0,21.0,25.0,,7.0,,,,,,,90.0,87.0,6.6,12.0,0.0,0.0,0.0124172,0,,,,4.0,1.0,1.0,,1.0,9.0,3.0,3.0,,3.0,1.0,2.0,,,2.0,5.0,1.0,1.0,,,,,,,,,,,,
10385656,home,Manchester City,Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,317675,M,KDB,70996,EUR,678067200,M,17,17,False,31.0,26.0,3.0,2.0,6.0,7.0,22.0,27.0,,4.0,,,,,,,75.0,42.0,8.3,7.0,0.2833,0.1377,0.567073,3,,,,2.0,1.0,,,,3.0,3.0,2.0,,,,1.0,,2.0,,,,,2.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,,
10385656,home,Manchester City,İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,180,51151,M,IGunny,45853,EUR,656726400,M,8,8,False,32.0,30.0,2.0,2.0,16.0,16.0,14.0,16.0,2.0,2.0,,,,,,,75.0,41.0,7.0,4.0,0.2293,0.0,0.00816392,2,,,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,2.0,,,,,,1.0,,,True,1.0,,,
10385656,home,Manchester City,Bernardo Silva,bernardo-silva,B. Silva,M,20,173,62967,M,BSilva,331209,EUR,776476800,M,20,20,False,55.0,49.0,2.0,1.0,32.0,33.0,18.0,23.0,,6.0,,,,,,,90.0,70.0,7.3,9.0,0.5383,0.0,0.586995,2,,,,6.0,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,3.0,1.0,,,3.0,3.0,,,,1.0,1.0,1.0,,,1.0,,,,,,
10385656,home,Manchester City,Phil Foden,phil-foden,P. Foden,M,47,171,175652,M,Foden,859765,EUR,959472000,F,47,47,False,22.0,21.0,,,8.0,8.0,14.0,16.0,,5.0,,,,,,,75.0,37.0,9.6,4.0,1.0751,1.8731,0.0330892,6,,,,1.0,,,,,2.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,2.0,1.0,,1.0,4.0,,,,3.0,,
10385656,home,Manchester City,Erling Haaland,erling-haaland,E. Haaland,F,9,194,843810,M,EHaaland,839956,EUR,964137600,F,9,9,False,23.0,17.0,1.0,1.0,9.0,11.0,8.0,12.0,,2.0,,,,,,,90.0,35.0,10.0,9.0,1.1117,1.0492,0.755738,6,,,,3.0,,,1.0,2.0,3.0,,,1.0,,,1.0,,4.0,2.0,1.0,1.0,,2.0,,,2.0,2.0,3.0,,,,3.0,,
