match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_totalShots,stat_goalAssist,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_possessionLostCtrl,stat_keyPass,player_firstName,player_lastName,captain,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_accurateCross,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_fouls,stat_outfielderBlock,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_clearanceOffLine
10438129,home,FC Porto,Diogo Costa,diogo-costa,D. Costa,G,99,186,12694,M,diogomcosta99,843115,EUR,937699200,G,99,99,False,16.0,16.0,4.0,4.0,15.0,15.0,1.0,1.0,3.0,90.0,17.0,6.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438129,home,FC Porto,Pepê,pepe,Pepê,F,11,175,5029,M,pepe,882664,EUR,856742400,D,11,11,False,84.0,74.0,3.0,3.0,18.0,18.0,56.0,67.0,7.0,90.0,102.0,7.2,0,1.0,1.0,2.0,8.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,19.0,1.0,,,,,,,,,,,,,,,,,,
10438129,home,FC Porto,Pepe,pepe,Pepe,D,,188,6226,M,Pepe,5884,EUR,415065600,D,3,3,False,71.0,67.0,8.0,8.0,13.0,14.0,54.0,57.0,5.0,63.0,75.0,6.9,0,,,,,3.0,,,,,,,,1.0,,,5.0,1.0,,,True,2.0,1.0,1.0,,,,,,,,,,,,
10438129,home,FC Porto,Iván Marcano,ivan-marcano,I. Marcano,D,,189,542,M,,26056,EUR,551404800,D,5,5,False,76.0,72.0,7.0,6.0,29.0,30.0,43.0,46.0,15.0,90.0,79.0,7.2,0,,,2.0,3.0,7.0,1.0,,,,,,,,1.0,,4.0,,,,,5.0,1.0,,,,,,,,,,,,,
10438129,home,FC Porto,Wendell,wendell,Wendell,D,18,176,3234,M,,335033,EUR,743126400,D,22,22,False,57.0,54.0,2.0,2.0,18.0,18.0,37.0,48.0,4.0,82.0,76.0,6.8,0,,9.0,,3.0,5.0,2.0,,2.0,1.0,,1.0,1.0,1.0,1.0,,13.0,,,,,1.0,2.0,,1.0,,,,,,,,,,,
10438129,home,FC Porto,Otávio,otavio,Otávio,M,25,171,6972,M,otavio,244801,EUR,792288000,M,25,25,False,40.0,29.0,6.0,4.0,4.0,5.0,25.0,37.0,5.0,74.0,59.0,8.1,3,,2.0,,6.0,6.0,1.0,,5.0,2.0,1.0,,1.0,2.0,2.0,,19.0,3.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,,,,,
10438129,home,FC Porto,Stephen Eustaquio,stephen-eustaquio,S. Eustaquio,M,6,178,1808,M,,886223,EUR,851126400,M,46,46,False,67.0,59.0,7.0,6.0,12.0,13.0,47.0,55.0,5.0,90.0,78.0,6.9,0,,1.0,3.0,10.0,5.0,4.0,,1.0,,,,1.0,1.0,1.0,,12.0,2.0,,,,1.0,3.0,2.0,,,,,,3.0,,,,,,
10438129,home,FC Porto,Matheus Uribe,mateus-uribe,M. Uribe,M,8,182,1621,M,,247773,EUR,669513600,M,8,8,False,97.0,86.0,15.0,10.0,21.0,22.0,65.0,75.0,15.0,90.0,119.0,7.8,1,,,1.0,6.0,10.0,2.0,,3.0,3.0,,2.0,3.0,2.0,2.0,,14.0,,,,,1.0,4.0,2.0,,,,1.0,,3.0,1.0,,,,,
10438129,home,FC Porto,Wenderson Galeno,wenderson-galeno,W. Galeno,M,13,178,4340,M,w_galeno90,845754,EUR,877478400,M,13,13,False,31.0,23.0,1.0,,4.0,4.0,19.0,28.0,6.0,63.0,41.0,7.6,4,1.0,1.0,1.0,2.0,2.0,,,,,,,,,1.0,,9.0,3.0,,,,,1.0,1.0,,3.0,1.0,,,1.0,,,,,,
10438129,home,FC Porto,Evanilson,evanilson,Evanilson,F,9,181,7635,M,evanilsonlima99,998490,EUR,939168000,F,30,30,False,16.0,12.0,1.0,,2.0,2.0,10.0,15.0,3.0,63.0,32.0,6.9,4,,1.0,,7.0,3.0,2.0,3.0,1.0,,,,,2.0,2.0,,11.0,,,,,,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,1.0,,,,
