match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_keyPass,stat_dispossessed,stat_accurateCross,stat_goals,stat_totalOffside,stat_goalAssist,stat_blockedScoringAttempt,stat_hitWoodwork,player_sofascoreId,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_bigChanceMissed,stat_bigChanceCreated
11408497,home,CF Estrela Amadora,Bruno Brígido,bruno-brigido,B. Brígido,G,1,187,51,M,329079,EUR,668476800,G,30,30,False,20.0,18.0,5.0,3.0,16.0,16.0,2.0,4.0,1.0,8.0,1.0,1.0,90.0,28.0,6.6,2.0,0.00013819,0,-0.1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408497,home,CF Estrela Amadora,Kialonda Gaspar,kialonda-gaspar,K. Gaspar,D,4,193,1228,M,1090374,EUR,875318400,D,4,4,False,77.0,67.0,8.0,7.0,39.0,43.0,28.0,35.0,9.0,2.0,,,90.0,96.0,7.5,14.0,0.0230241,2,,Kialonda Gaspar,,True,1.0,7.0,7.0,9.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,0.078,0.146,,,,,,,,,,,,,,,,
11408497,home,CF Estrela Amadora,Pedro Mendes,pedro-mendes,P. Mendes,D,5,187,77,M,44563,EUR,654739200,D,5,5,False,51.0,46.0,7.0,3.0,42.0,45.0,4.0,6.0,7.0,,4.0,,90.0,68.0,7.1,5.0,0.0225693,0,,,,,,2.0,6.0,5.0,,,,,8.0,3.0,2.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,
11408497,home,CF Estrela Amadora,Rúben Lima,ruben-lima,R. Lima,D,,176,41,M,59772,EUR,623376000,D,28,28,False,51.0,49.0,3.0,2.0,30.0,30.0,19.0,24.0,4.0,5.0,2.0,,90.0,64.0,7.0,5.0,0.00634332,0,,,,,3.0,2.0,1.0,3.0,,,,,3.0,,2.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
11408497,home,CF Estrela Amadora,Hevertton Santos,hevertton-santos,H. Santos,D,20,182,177,M,1087355,EUR,980985600,M,27,27,False,30.0,25.0,1.0,,11.0,13.0,14.0,21.0,5.0,3.0,,,58.0,58.0,6.9,17.0,0.136168,0,,,,,4.0,,3.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,1.0,3.0,,,,,2.0,,,,,,,,,,,,,,
11408497,home,CF Estrela Amadora,Léo Cordeiro,leo-cordeiro,L. Cordeiro,M,22,174,96,M,869461,EUR,812160000,M,22,22,False,54.0,44.0,8.0,5.0,18.0,19.0,26.0,35.0,5.0,11.0,3.0,,90.0,70.0,7.5,13.0,0.0465321,2,,,,,,,,2.0,2.0,2.0,1.0,1.0,,,2.0,,,2.0,,0.0716,0.0542,1.0,,1.0,,,,,,,,,,,,,
11408497,home,CF Estrela Amadora,Aloisio,aloisio,Aloisio,M,20,180,45,M,962371,EUR,831081600,M,6,6,False,42.0,33.0,3.0,1.0,19.0,21.0,14.0,21.0,6.0,5.0,1.0,,76.0,52.0,7.0,12.0,0.0416742,1,,,,,,1.0,2.0,3.0,,,1.0,,,,,3.0,2.0,2.0,1.0,0.009,,,2.0,1.0,,,,,,,,,,,,,
11408497,home,CF Estrela Amadora,Nilton Varela,nilton-varela,N. Varela,M,75,182,76,M,998414,EUR,990748800,M,75,75,False,17.0,11.0,3.0,1.0,3.0,6.0,9.0,14.0,4.0,,,,45.0,31.0,6.5,12.0,0.0115388,0,,,,,3.0,,2.0,3.0,3.0,2.0,,,,,,,,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,
11408497,home,CF Estrela Amadora,André Luiz,andre-luiz,André Luiz,M,17,185,1296,M,1133282,EUR,1014422400,F,10,10,False,8.0,5.0,,,1.0,1.0,4.0,8.0,3.0,4.0,1.0,,45.0,20.0,6.5,10.0,0.0653847,0,,André Luiz,,,1.0,,,6.0,2.0,,,,,,,2.0,1.0,1.0,2.0,,,,,2.0,,,,,,,,,,,,,
11408497,home,CF Estrela Amadora,Ronaldo Tavares,ronaldo-tavares,R. Tavares,F,9,192,337,M,828707,EUR,869529600,F,9,9,False,11.0,6.0,,,1.0,2.0,5.0,10.0,2.0,2.0,2.0,,83.0,25.0,7.1,11.0,0.0111965,2,,,,,1.0,1.0,,7.0,2.0,,1.0,1.0,2.0,,,,,1.0,2.0,0.1755,0.2355,,,2.0,,1.0,1.0,,,,,,,,,,
11408497,home,CF Estrela Amadora,Léo Jabá,leo-jaba,L. Jabá,F,,178,256,M,852518,EUR,902016000,F,8,8,False,29.0,18.0,6.0,3.0,4.0,5.0,16.0,26.0,4.0,2.0,2.0,,90.0,52.0,7.1,19.0,0.231801,1,,,,,2.0,,1.0,6.0,3.0,,,,,,2.0,1.0,,3.0,1.0,0.0112,,,4.0,2.0,2.0,,,1.0,1.0,,,,,,,,
11408497,home,CF Estrela Amadora,Nanú,nanu,Nanú,D,14,177,273,M,343965,EUR,769132800,D,31,31,True,14.0,13.0,,,5.0,5.0,8.0,10.0,2.0,,1.0,,45.0,33.0,6.9,6.0,0.00345708,1,,,,,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,,1.0,,,1.0,,0.0779,0.242,,,,,,,,,,,,,,,,
11408497,home,CF Estrela Amadora,Regis Ndo,regis-ndo,R. Ndo,F,77,181,274,M,1084705,EUR,990489600,F,7,7,True,21.0,15.0,1.0,,5.0,7.0,10.0,15.0,3.0,3.0,2.0,,45.0,34.0,6.5,14.0,0.0109506,1,,,,,1.0,1.0,1.0,6.0,2.0,,,,,,,,,3.0,2.0,0.0233,,,,1.0,,,,,1.0,,,,,,,,
11408497,home,CF Estrela Amadora,Jean Felipe,jean-felipe,J. Felipe,D,12,180,36,M,386094,EUR,769219200,D,12,12,True,22.0,16.0,5.0,3.0,5.0,7.0,12.0,21.0,1.0,3.0,,,32.0,37.0,7.1,13.0,0.0701835,1,,,,,6.0,,,,,,1.0,,,,,1.0,1.0,1.0,,0.0168,,,2.0,,1.0,,,,,1.0,,,,,,,
