match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_clearanceOffLine,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoalsOnTarget,stat_challengeLost,stat_dispossessed,stat_fouls,stat_wasFouled,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_penaltyMiss,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_totalOffside
11401905,home,Fortuna Sittard,Ivor Pandur,ivor-pandur,I. Pandur,G,1,187,669,M,943212,EUR,953942400,G,31,31,False,40.0,27.0,22.0,9.0,23.0,24.0,4.0,16.0,1.0,1.0,2.0,15.0,2.0,2.0,2.0,90.0,54.0,7.6,13.0,0.00123836,0,0.2816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401905,home,Fortuna Sittard,Ivo Pinto,ivo-pinto,I. Pinto,D,12,184,113,M,78730,EUR,631670400,D,12,12,False,40.0,24.0,7.0,1.0,12.0,16.0,14.0,31.0,1.0,6.0,4.0,9.0,,,,90.0,87.0,7.8,34.0,0.228434,1,,True,7.0,2.0,3.0,5.0,2.0,1.0,1.0,3.0,2.0,3.0,0.021,2.0,,,,,,,,,,,,,,,,,,,,,,,
11401905,home,Fortuna Sittard,Rodrigo Guth,rodrigo-guth,R. Guth,D,14,191,291,M,905458,EUR,973814400,D,14,14,False,60.0,49.0,12.0,3.0,33.0,35.0,16.0,25.0,3.0,6.0,5.0,4.0,,,,90.0,73.0,8.0,12.0,0.120786,1,,,,,1.0,2.0,2.0,,1.0,1.0,,1.0,0.0106,,Rodrigo,Guth,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11401905,home,Fortuna Sittard,Dimitrios Siovas,dimitrios-siovas,D. Siovas,D,,191,184,M,41165,EUR,590284800,D,33,33,False,66.0,55.0,8.0,2.0,50.0,53.0,5.0,13.0,4.0,6.0,4.0,7.0,,,,90.0,78.0,7.4,11.0,0.00591137,1,,,,,,,,,,2.0,,,0.0213,,Dimitrios,Siovas,,,,1.0,3.0,0.2467,,,,,,,,,,,,,,,
11401905,home,Fortuna Sittard,Rémy Vita,remy-vita,R. Vita,D,21,170,144,M,1035696,EUR,986083200,D,61,61,False,25.0,17.0,6.0,2.0,13.0,18.0,5.0,10.0,,4.0,,4.0,,,,63.0,53.0,6.9,16.0,0.0933078,1,,,3.0,1.0,6.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,0.0132,1.0,,,1.0,,,,3.0,,2.0,1.0,2.0,,,,,,,,,,,,
11401905,home,Fortuna Sittard,Rosier Loreintz,loreintz-rosier,R. Loreintz,M,32,190,104,M,954812,EUR,903052800,M,32,32,False,52.0,41.0,7.0,5.0,27.0,31.0,14.0,21.0,2.0,9.0,1.0,5.0,,,,90.0,67.0,7.5,12.0,0.039333,1,,,,,2.0,1.0,1.0,,1.0,5.0,3.0,1.0,0.0355,,,,1.0,,,,2.0,,1.0,,,1.0,,,,,,,,,,,
11401905,home,Fortuna Sittard,Deroy Duarte,deroy-duarte,D. Duarte,M,23,177,217,M,921089,EUR,931046400,M,6,6,False,32.0,26.0,1.0,,10.0,12.0,16.0,20.0,1.0,4.0,,3.0,,,,90.0,44.0,6.7,7.0,0.0455598,0,,,,,6.0,1.0,1.0,,,2.0,1.0,,,1.0,,,1.0,,,,,,2.0,1.0,2.0,,,,,,,,,,,,
11401905,home,Fortuna Sittard,Iman Griffith,griffith-iman,I. Griffith,F,11,170,61,M,1002670,EUR,1007251200,M,17,17,False,10.0,8.0,,,3.0,3.0,5.0,8.0,,1.0,,2.0,,,,86.0,22.0,6.5,6.0,0.00600072,0,,,1.0,,7.0,2.0,1.0,,,,,1.0,,,,,,,,,2.0,,5.0,1.0,,,,,,,,,,,,,
11401905,home,Fortuna Sittard,Alen Halilović,alen-halilovic,A. Halilović,M,10,169,1721,M,277331,EUR,835056000,M,10,10,False,40.0,33.0,9.0,7.0,18.0,19.0,16.0,24.0,,1.0,,1.0,,,,86.0,55.0,6.6,14.0,0.0684515,4,,,3.0,1.0,5.0,3.0,1.0,,,,,3.0,0.9214,2.0,,,1.0,,,3.0,,1.3761,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,
11401905,home,Fortuna Sittard,Íñigo Cordoba,inigo-cordoba,I. Cordoba,M,21,178,215,M,605650,EUR,858211200,M,7,7,False,16.0,11.0,1.0,,7.0,7.0,4.0,9.0,,4.0,,9.0,,,,31.0,23.0,6.6,7.0,0.00161945,0,,,,,1.0,2.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,
