match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_sofascoreId,captain,stat_dispossessed,stat_fouls,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_totalOffside,stat_goals,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_bigChanceMissed
10382263,home,FC Twente,Lars Unnerstall,lars-unnerstall,L. Unnerstall,G,1,198,265,M,94835,EUR,648432000,G,1,1,False,35.0,18.0,24.0,7.0,11.0,14.0,7.0,21.0,1.0,1.0,1.0,8.0,1.0,2.0,90.0,43.0,6.5,17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382263,home,FC Twente,Joshua Brenet,joshua-brenet,J. Brenet,D,30,181,142,M,296438,EUR,764121600,D,20,20,False,51.0,41.0,4.0,3.0,19.0,23.0,23.0,31.0,6.0,1.0,1.0,11.0,,,90.0,74.0,7.7,17.0,0,1.0,3.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,
10382263,home,FC Twente,Mees Hilgers,mees-hilgers,M. Hilgers,D,2,185,8875,M,1014288,EUR,989712000,D,2,2,False,21.0,19.0,4.0,3.0,9.0,9.0,10.0,12.0,2.0,1.0,1.0,1.0,,,35.0,26.0,7.0,2.0,0,,,,,,,3.0,,1.0,,,,1.0,meeshilgerss,,,,,,,,,,,,,,,,
10382263,home,FC Twente,Robin Pröpper,robin-propper,R. Pröpper,D,3,190,269,M,196082,EUR,748742400,D,3,3,False,55.0,47.0,10.0,5.0,35.0,37.0,12.0,18.0,13.0,,,6.0,,,90.0,71.0,7.3,10.0,0,,,,4.0,5.0,6.0,5.0,1.0,5.0,4.0,1.0,3.0,,,True,1.0,1.0,,,,,,,,,,,,,
10382263,home,FC Twente,Gijs Smal,gijs-smal,G. Smal,D,5,183,339,M,860160,EUR,872985600,D,5,5,False,49.0,39.0,8.0,6.0,21.0,23.0,18.0,32.0,5.0,1.0,1.0,7.0,,,90.0,73.0,7.2,16.0,2,,6.0,,2.0,1.0,3.0,1.0,1.0,3.0,2.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,
10382263,home,FC Twente,Ramiz Zerrouki,ramiz-zerrouki,R. Zerrouki,M,6,183,8083,M,989882,EUR,896140800,M,8,8,False,51.0,44.0,7.0,6.0,24.0,26.0,20.0,25.0,5.0,,,8.0,,,89.0,61.0,7.3,8.0,0,,,,1.0,1.0,2.0,,3.0,3.0,3.0,,1.0,1.0,rramizz_,,,,1.0,,,,,,,,,,,,
10382263,home,FC Twente,Michel Vlap,michel-vlap,M. Vlap,M,14,189,423,M,798181,EUR,865209600,M,18,18,False,22.0,17.0,,,4.0,5.0,13.0,18.0,2.0,,,4.0,,,80.0,34.0,6.7,12.0,1,,1.0,,,1.0,2.0,1.0,,1.0,,6.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,
10382263,home,FC Twente,Anass Salah-Eddine,anass-salah-eddine,A. Salah-Eddine,D,2,179,6705,M,961684,EUR,1011312000,M,17,17,False,51.0,44.0,7.0,3.0,17.0,20.0,28.0,32.0,9.0,5.0,4.0,8.0,,,90.0,68.0,7.1,11.0,3,,1.0,1.0,2.0,2.0,8.0,,,3.0,3.0,1.0,,2.0,,,2.0,1.0,2.0,1.0,1.0,,,,1.0,,,,,,
10382263,home,FC Twente,Václav Černý,vaclav-cerny,V. Černý,M,18,182,3495,M,280631,EUR,877046400,F,7,7,False,45.0,40.0,4.0,3.0,13.0,14.0,29.0,38.0,2.0,1.0,1.0,4.0,,,90.0,64.0,8.0,12.0,4,1.0,7.0,2.0,,,2.0,,2.0,1.0,,2.0,,4.0,,,,2.0,1.0,3.0,1.0,,,,,1.0,1.0,,,,
10382263,home,FC Twente,Manfred Ugalde,manfred-ugalde,M. Ugalde,F,9,171,2754,M,993560,EUR,1022284800,F,27,27,False,12.0,11.0,,,1.0,1.0,10.0,11.0,3.0,1.0,,2.0,,,45.0,23.0,8.4,3.0,4,,,,1.0,1.0,3.0,,,,,1.0,2.0,,,,,,1.0,2.0,,,,,2.0,,,2.0,,,
