match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_bigChanceCreated,stat_interceptionWon,stat_fouls,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_accurateCross,stat_shotOffTarget,captain,stat_challengeLost,stat_hitWoodwork,stat_errorLeadToAShot,stat_punches,stat_lastManTackle,stat_totalOffside,stat_clearanceOffLine
12448264,home,NEC Nijmegen,Robin Roefs,robin-roefs,R. Roefs,G,22,193,2142,M,1012928,EUR,1042761600,G,22,22,False,50.0,37.0,24.0,11.0,0.0,32.0,35.0,5.0,15.0,2.0,8.0,1.0,4.0,5.0,1.0,1.0,90.0,60.0,7.6,13.0,0.00264031,0,0.4221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448264,home,NEC Nijmegen,Brayann Pereira,brayann-pereira,B. Pereira,D,2,172,178,M,1012639,EUR,1053475200,D,2,2,False,30.0,26.0,,,0.0,11.0,12.0,15.0,23.0,1.0,3.0,,,,,,67.0,50.0,7.0,12.0,0.0353103,0,,,,5.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12448264,home,NEC Nijmegen,Philippe Sandler,philippe-sandler,P. Sandler,D,3,188,233,M,842275,EUR,855532800,D,3,3,False,82.0,70.0,8.0,4.0,0.0,34.0,36.0,36.0,46.0,1.0,4.0,,,,,,82.0,88.0,7.6,13.0,0.0946492,0,,,,,5.0,6.0,1.0,1.0,1.0,1.0,,2.0,4.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
12448264,home,NEC Nijmegen,Iván Márquez,ivan-marquez,I. Márquez,D,44,191,78,M,862479,EUR,771120000,D,4,4,False,71.0,69.0,3.0,2.0,0.0,44.0,44.0,25.0,27.0,6.0,3.0,,,,,,90.0,86.0,7.9,3.0,0.0824603,2,,,,,5.0,6.0,,,1.0,1.0,1.0,4.0,3.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.364,0.4859,,,,,,,,,,,
12448264,home,NEC Nijmegen,Calvin Verdonk,calvin-verdonk,C. Verdonk,D,24,174,14345,M,361780,EUR,862012800,D,24,24,False,79.0,64.0,9.0,3.0,0.0,25.0,27.0,40.0,55.0,1.0,3.0,,,,,,90.0,102.0,7.1,20.0,0.072758,2,,,,3.0,2.0,4.0,,,3.0,2.0,2.0,2.0,1.0,,,,,1.0,,,1.0,,,,0.0723,,c.verdonk,1.0,1.0,,,,,,,,
12448264,home,NEC Nijmegen,Dirk Proper,dirk-proper,D. Proper,M,71,167,193,M,961685,EUR,1014508800,M,71,71,False,57.0,55.0,3.0,2.0,0.0,19.0,20.0,36.0,37.0,1.0,2.0,,,,,,90.0,70.0,7.4,5.0,0.0613412,1,,,,,3.0,3.0,2.0,1.0,1.0,1.0,2.0,,,,,1.0,2.0,,,1.0,,,,1.0,0.0698,0.0197,,,,True,,,,,,,
12448264,home,NEC Nijmegen,Kodai Sano,kodai-sano,K. Sano,M,23,176,1274,M,1184054,EUR,1064448000,M,23,23,False,49.0,38.0,3.0,1.0,0.0,16.0,17.0,22.0,32.0,5.0,4.0,,,,,,90.0,64.0,6.5,15.0,0.0167338,3,,Kodai Sano,,,8.0,2.0,2.0,,,,1.0,3.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,0.0725,0.0097,,,1.0,,2.0,,,,,,
12448264,home,NEC Nijmegen,Sontje Hansen,sontje-hansen,S. Hansen,M,27,172,611,M,1199057,EUR,1021680000,M,10,10,False,21.0,17.0,1.0,1.0,0.0,2.0,2.0,15.0,21.0,1.0,,,,,,,90.0,46.0,6.7,14.0,0.0420704,2,,,,2.0,7.0,2.0,6.0,2.0,,,2.0,1.0,,1.0,,1.0,,2.0,,,,,,,0.1293,,,,2.0,,1.0,1.0,,,,,
12448264,home,NEC Nijmegen,Sami Ouaissa,sami-ouaissa,S. Ouaissa,M,25,180,488,M,1394147,EUR,1096675200,M,25,25,False,9.0,8.0,,,0.0,2.0,2.0,10.0,20.0,,,,,,,,67.0,31.0,6.9,12.0,0.141796,1,,Sami Ouaissa,,13.0,1.0,1.0,,,,,2.0,1.0,,,,1.0,,3.0,1.0,1.0,,,,1.0,0.4839,0.2689,,4.0,,,,,,,,,
12448264,home,NEC Nijmegen,Başar Önal,basar-onal,B. Önal,F,11,173,621,M,1193676,EUR,1089072000,M,11,11,False,14.0,11.0,1.0,,0.0,4.0,6.0,8.0,10.0,,3.0,,,,,,59.0,26.0,6.3,9.0,0.108154,1,,Basar Onal,,2.0,8.0,,4.0,,,,,,,1.0,,,3.0,2.0,,,,,1.0,,0.0106,,,1.0,1.0,,,,,,,,
