match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,description,reason,injury,length,playerName,rescinded,from
14065726,FT,2.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
14065726,,2.0,2.0,,90,6.0,,1,,,goal,322869263.0,True,regular,45512.0,Youssef El Arabi,,,,,,,
14065726,,,,,90,2.0,,1,,,inGamePenalty,118565153.0,True,missed,999070.0,Matthis Abline,Goalkeeper save,goalkeeperSave,,,,,
14065726,,,,,90,,,1,,,substitution,124538352.0,True,regular,,,,,False,,,,
14065726,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,5.0,,,
14065726,,,,,82,,,9,,,substitution,124538272.0,True,regular,,,,,False,,,,
14065726,,,,,81,,,10,,,substitution,124538266.0,False,regular,,,,,False,,,,
14065726,,,,,78,,,13,,,substitution,124538235.0,True,regular,,,,,False,,,,
14065726,,,,,77,,,14,,,substitution,124538233.0,True,injury,,,,,True,,,,
14065726,,,,,69,,,22,,,substitution,124538169.0,False,regular,,,,,False,,,,
14065726,,,,,68,,,23,,,card,124174188.0,False,yellow,991479.0,Anthony Rouault,,Foul,,,Anthony Rouault,False,
14065726,,,,,67,,,24,,,substitution,124538148.0,True,regular,,,,,False,,,,
14065726,,,,,66,,,25,,,substitution,124538109.0,True,regular,,,,,False,,,,
14065726,,,,,65,,,26,,,substitution,124538110.0,False,regular,,,,,False,,,,
14065726,,1.0,2.0,,64,,,27,,,goal,322866420.0,True,regular,1197153.0,Junior Mwanga,,,,,,,
14065726,,,,,63,,,28,,,card,123908648.0,False,yellow,1445628.0,Djaoui Cissé,,Persistent fouling,,,Djaoui Cissé,False,
14065726,,,,,46,,,45,,,substitution,124537940.0,False,regular,,,,,False,,,,
14065726,,,,,46,,,45,,,substitution,124537929.0,False,regular,,,,,False,,,,
14065726,HT,0.0,2.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
14065726,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,3.0,,,
14065726,,,,,38,,,8,,,card,123907833.0,True,yellow,873551.0,Mostafa Mohamed,,Persistent fouling,,,Mostafa Mohamed,False,
14065726,,0.0,2.0,,35,,,11,,,goal,322861586.0,False,regular,966621.0,Esteban Lepaul,,,,,,,
14065726,,0.0,1.0,,29,,,17,,,goal,322861022.0,False,penalty,806076.0,Ludovic Blas,,,,,,,penalty
14065726,,,,,6,,,40,,,card,123907220.0,True,yellow,2193204.0,Tylel Tati,,Foul,,,Tylel Tati,False,
