match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_errorLeadToAGoal,player_firstName,player_lastName,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_keyPass,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle,stat_totalOffside
11396386,home,FC Bayern München,Manuel Neuer,manuel-neuer,M. Neuer,G,1,193,36498,M,MNeuer,8959,EUR,512265600,G,1,1,False,True,43.0,39.0,15.0,11.0,35.0,38.0,4.0,5.0,4.0,90.0,45.0,6.3,4.0,0.00139559,0,-0.8073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396386,home,FC Bayern München,Noussair Mazraoui,noussair-mazraoui,N. Mazraoui,D,3,183,53749,M,nousmaz97,847030,EUR,879465600,D,40,40,False,,86.0,79.0,5.0,2.0,41.0,44.0,38.0,43.0,5.0,90.0,102.0,6.5,11.0,0.0307315,0,,1.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11396386,home,FC Bayern München,Dayot Upamecano,dayot-upamecano,D. Upamecano,D,2,185,14152,M,Upamecano,798583,EUR,909446400,D,2,2,False,,90.0,81.0,1.0,1.0,45.0,49.0,36.0,41.0,7.0,61.0,96.0,7.2,9.0,0.0358847,1,,,1.0,2.0,2.0,3.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.021,,,,,,,,,,,,,,,,,,,,
11396386,home,FC Bayern München,Min-jae Kim,min-jae-kim,M. Kim,D,3,190,15013,M,kiminjae3,896569,EUR,848016000,D,3,3,False,,132.0,120.0,9.0,4.0,88.0,95.0,32.0,37.0,11.0,90.0,146.0,6.5,12.0,0.0114853,1,,,4.0,2.0,4.0,3.0,,,5.0,2.0,,,,1.0,1.0,1.0,,0.0529,1.0,,,,,,,,,,,,,,,,,,,
11396386,home,FC Bayern München,Bouna Sarr,bouna-sarr,B. Sarr,D,70,177,1413,M,,158233,EUR,696816000,D,20,20,False,,81.0,73.0,3.0,2.0,37.0,39.0,36.0,42.0,3.0,90.0,104.0,6.9,12.0,0.0177813,1,,,1.0,,2.0,4.0,,2.0,,,2.0,1.0,,,,2.0,,0.2227,,,,1.0,1.0,1.0,0.6665,,,,,,,,,,,,,
11396386,home,FC Bayern München,Konrad Laimer,konrad-laimer,K. Laimer,D,27,180,7452,M,KonradLaimer,355492,EUR,864691200,M,27,27,False,,71.0,58.0,3.0,2.0,31.0,36.0,27.0,37.0,10.0,90.0,88.0,6.7,19.0,0.276789,1,,2.0,3.0,,8.0,4.0,1.0,2.0,,1.0,2.0,1.0,3.0,1.0,,2.0,1.0,0.0308,,,,1.0,,,,1.0,1.0,,,,,,,,,,,
11396386,home,FC Bayern München,Aleksandar Pavlović,aleksandar-pavlovic,A. Pavlović,M,45,186,10825,M,alekspavlovic_,1142251,EUR,1083542400,M,45,45,False,,77.0,71.0,3.0,2.0,39.0,40.0,32.0,37.0,9.0,75.0,89.0,6.9,9.0,0.0397215,0,,,4.0,1.0,7.0,5.0,,,1.0,,1.0,1.0,1.0,,,3.0,3.0,,,,,,,,,2.0,,,,,,,,,,,,
11396386,home,FC Bayern München,Leroy Sané,leroy-sane,L. Sané,M,10,184,41295,M,LeroySane,293519,EUR,821318400,M,10,10,False,,55.0,45.0,2.0,,10.0,11.0,42.0,53.0,7.0,90.0,89.0,8.8,23.0,0.955518,3,,9.0,,,8.0,9.0,1.0,12.0,,1.0,4.0,1.0,1.0,1.0,,1.0,1.0,0.4871,,,,7.0,1.0,,,1.0,9.0,2.0,7.0,1.0,2.0,,,,,,,
11396386,home,FC Bayern München,Thomas Müller,thomas-muller,T. Müller,F,13,186,37471,M,esmuellert,35166,EUR,621648000,M,25,25,False,,30.0,22.0,2.0,1.0,5.0,6.0,18.0,25.0,3.0,61.0,38.0,7.5,11.0,0.767847,0,,1.0,,1.0,3.0,3.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,2.0,2.0,,1.0,1.0,,,,,,,,
11396386,home,FC Bayern München,Serge Gnabry,serge-gnabry,S. Gnabry,M,7,176,19183,M,sergegnabry,187433,EUR,805680000,M,7,7,False,,20.0,17.0,,,4.0,4.0,13.0,16.0,2.0,61.0,31.0,6.7,7.0,0.0620369,0,,,1.0,,4.0,2.0,2.0,1.0,,,3.0,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,
11396386,home,FC Bayern München,Harry Kane,harry-kane,H. Kane,F,9,188,299741,M,HurriKane,108579,EUR,743817600,F,9,9,False,,36.0,27.0,2.0,1.0,10.0,12.0,18.0,26.0,1.0,90.0,57.0,9.2,16.0,0.576832,6,,2.0,2.0,1.0,5.0,2.0,,2.0,,1.0,3.0,,,1.0,,,,0.6122,,,,1.0,,4.0,0.6684,2.0,2.0,,1.0,,1.0,2.0,,,,,,
