match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_interceptionWon,stat_outfielderBlock,stat_wasFouled,stat_accurateCross,player_sofascoreId,captain,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_goals,stat_goalAssist,stat_goodHighClaim,stat_totalOffside
10382219,home,Feyenoord,Timon Wellenreuther,,,timon-wellenreuther,T. Wellenreuther,G,22,186,588,M,253875,EUR,817948800,G,22,22,False,23.0,16.0,8.0,1.0,14.0,15.0,2.0,8.0,7.0,1.0,2.0,90.0,28.0,6.2,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382219,home,Feyenoord,Marcus Pedersen,,,marcus-pedersen,M. Pedersen,D,16,178,655,M,934409,EUR,963705600,D,2,2,False,51.0,44.0,2.0,1.0,21.0,23.0,23.0,32.0,7.0,,,90.0,81.0,6.9,17.0,3,4.0,4.0,5.0,1.0,5.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,
10382219,home,Feyenoord,Lutsharel Geertruida,,,lutsharel-geertruida,L. Geertruida,D,6,185,2489,M,856739,EUR,963878400,D,4,4,False,82.0,77.0,3.0,2.0,38.0,39.0,39.0,43.0,7.0,,,90.0,93.0,7.1,5.0,0,,1.0,5.0,,2.0,2.0,,,1.0,2.0,2.0,,,2.0,1.0,1.0,3.0,,,,,,,,,,,,,
10382219,home,Feyenoord,Dávid Hancko,,,david-hancko,D. Hancko,D,17,188,4795,M,807771,EUR,881971200,D,33,33,False,74.0,69.0,8.0,4.0,37.0,37.0,32.0,37.0,6.0,,,84.0,83.0,6.8,6.0,1,,3.0,2.0,,1.0,,1.0,,2.0,1.0,1.0,,1.0,,1.0,1.0,3.0,1.0,,,,,,,,,,,,
10382219,home,Feyenoord,Marcos López,,,marcos-lopez,M. López,D,15,176,2887,M,883745,EUR,943056000,D,15,15,False,37.0,34.0,2.0,2.0,10.0,11.0,24.0,30.0,5.0,,,70.0,68.0,7.3,12.0,1,4.0,1.0,12.0,,1.0,1.0,,1.0,,6.0,3.0,2.0,,,1.0,3.0,3.0,,2.0,,,,,,,,,,,
10382219,home,Feyenoord,Mats Wieffer,,,mats-wieffer,M. Wieffer,M,27,188,2174,M,959628,EUR,942710400,M,20,20,False,64.0,50.0,10.0,6.0,12.0,18.0,39.0,50.0,8.0,,,90.0,82.0,7.4,19.0,3,4.0,9.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,6.0,3.0,1.0,,,1.0,,,,,,,,,,
10382219,home,Feyenoord,Orkun Kökçü,,,orkun-kokcu,O. Kökçü,M,10,175,13499,M,907461,EUR,978048000,M,10,10,False,83.0,66.0,10.0,5.0,17.0,20.0,51.0,75.0,12.0,,,90.0,112.0,7.3,31.0,4,12.0,3.0,7.0,1.0,3.0,2.0,1.0,3.0,,2.0,,1.0,1.0,1.0,,1.0,,,2.0,2.0,orkunkokcu,True,,,,,,,,
10382219,home,Feyenoord,Igor Paixão,,,igor-paixao,I. Paixão,F,14,168,12525,M,981815,EUR,962150400,M,14,14,False,11.0,9.0,2.0,,,,9.0,12.0,2.0,,,62.0,28.0,6.0,10.0,0,1.0,8.0,3.0,3.0,2.0,,,,,,,2.0,,2.0,3.0,,,,3.0,,,,,,,,,,,
10382219,home,Feyenoord,Quinten Timber,,,quinten-timber,Q. Timber,M,27,177,8611,M,959805,EUR,992736000,M,8,8,False,17.0,15.0,,,2.0,3.0,13.0,14.0,6.0,,,62.0,38.0,6.1,12.0,2,,9.0,3.0,3.0,4.0,1.0,1.0,,,2.0,1.0,4.0,2.0,3.0,,,,,,,,,2.0,1.0,1.0,,,,,
10382219,home,Feyenoord,Javairô Dilrosun,,,javairo-dilrosun,J. Dilrosun,F,24,175,728,M,803028,EUR,898473600,M,11,11,False,27.0,25.0,2.0,2.0,6.0,6.0,22.0,27.0,4.0,,,70.0,49.0,7.3,11.0,1,6.0,4.0,6.0,1.0,4.0,2.0,,,,2.0,,2.0,,1.0,,,,,2.0,3.0,,,1.0,,1.0,1.0,,,,
