match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_unsuccessfulTouch,stat_fouls,stat_blockedScoringAttempt,stat_dispossessed,stat_bigChanceMissed,player_firstName,player_lastName,stat_totalOffside,player_sofascoreId,stat_hitWoodwork,stat_goals,stat_goalAssist
11396368,home,1. FSV Mainz 05,Daniel Batz,daniel-batz,D. Batz,G,33,189,138,M,94312,EUR,663638400,G,33,33,False,23.0,15.0,9.0,1.0,14.0,16.0,1.0,7.0,1.0,6.0,3.0,4.0,90.0,33.0,7.0,8.0,0.00053831,0,0.1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396368,home,1. FSV Mainz 05,Silvan Widmer,silvan-widmer,S. Widmer,M,30,182,532,M,157377,EUR,731289600,D,30,30,False,57.0,48.0,9.0,5.0,26.0,28.0,23.0,31.0,3.0,5.0,,,86.0,81.0,7.6,17.0,0.501557,0,,True,2.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
11396368,home,1. FSV Mainz 05,Sepp van den Berg,sepp-van-den-berg,S. van den Berg,D,4,192,2107,M,924378,EUR,1008806400,D,3,3,False,95.0,82.0,8.0,2.0,68.0,75.0,14.0,20.0,1.0,3.0,,,90.0,103.0,7.4,13.0,0.0119834,3,,,,,10.0,4.0,10.0,,,,,2.0,,,,,4.0,1.0,2.0,1.0,0.206,0.2892,,,,,,,,,,,,
11396368,home,1. FSV Mainz 05,Anthony Caci,anthony-caci,A. Caci,M,19,184,357,M,846471,EUR,867715200,D,19,19,False,85.0,69.0,19.0,7.0,50.0,56.0,19.0,29.0,6.0,3.0,,,90.0,97.0,6.5,19.0,0.015574,0,,,,,2.0,3.0,3.0,,1.0,,,,,,1.0,,1.0,,,,,,2.0,1.0,,,,,,,,,,
11396368,home,1. FSV Mainz 05,Phillipp Mwene,phillipp-mwene,P. Mwene,M,2,170,470,M,138126,EUR,759801600,D,2,2,False,40.0,32.0,4.0,1.0,9.0,12.0,26.0,38.0,,4.0,,,90.0,64.0,6.7,17.0,0.255835,2,,,10.0,3.0,1.0,9.0,4.0,2.0,,,,,3.0,,,3.0,4.0,,,,0.0971,,2.0,3.0,2.0,,,,,,,,,
11396368,home,1. FSV Mainz 05,Tom Krauß,tom-krauss,T. Krauß,M,5,182,398,M,930272,EUR,993168000,M,14,14,False,49.0,41.0,6.0,3.0,20.0,20.0,21.0,30.0,3.0,7.0,,,86.0,71.0,7.5,12.0,0.0358945,1,,,1.0,,2.0,5.0,6.0,2.0,,,,2.0,4.0,4.0,,,1.0,,,2.0,0.0642,,2.0,1.0,1.0,1.0,,,,,,,,
11396368,home,1. FSV Mainz 05,Leandro Barreiro,leandro-barreiro,L. Barreiro,M,18,170,2537,M,906800,EUR,946857600,M,8,8,False,47.0,36.0,5.0,1.0,22.0,27.0,14.0,20.0,1.0,6.0,,,90.0,64.0,6.6,13.0,0.0271908,3,,,,,1.0,5.0,6.0,,,,,1.0,3.0,1.0,3.0,1.0,2.0,,1.0,,0.3299,0.7618,1.0,3.0,2.0,,1.0,,,,,,,
11396368,home,1. FSV Mainz 05,Brajan Gruda,gruda-brajan,B. Gruda,M,10,178,2919,M,1198075,EUR,1085961600,M,43,43,False,40.0,31.0,3.0,2.0,10.0,11.0,21.0,32.0,,4.0,,,76.0,70.0,7.4,22.0,0.516751,0,,,3.0,,,8.0,7.0,,6.0,3.0,1.0,,1.0,,3.0,5.0,1.0,,,,,,2.0,1.0,,3.0,,Brajan Gruda,,,,,,
11396368,home,1. FSV Mainz 05,Jae-sung Lee,jae-sung-lee,J. Lee,F,7,180,2646,M,537552,EUR,713404800,M,7,7,False,26.0,21.0,3.0,1.0,2.0,2.0,19.0,24.0,,,,,76.0,31.0,6.5,7.0,0.103036,0,,,,,1.0,6.0,1.0,,,,,,,,,1.0,3.0,,,,,,1.0,2.0,,1.0,,,,1.0,,,,
11396368,home,1. FSV Mainz 05,Marco Richter,marco-richter,M. Richter,M,23,176,248,M,796027,EUR,880329600,M,10,10,False,27.0,16.0,3.0,2.0,7.0,8.0,10.0,22.0,1.0,3.0,,,66.0,47.0,7.5,17.0,0.330055,6,,,3.0,1.0,,4.0,1.0,,2.0,1.0,1.0,,,,,3.0,1.0,3.0,1.0,,0.2512,0.0738,2.0,2.0,2.0,,,,,,,,,
11396368,home,1. FSV Mainz 05,Ludovic Ajorque,ludovic-ajorque,L. Ajorque,F,19,196,1365,M,343971,EUR,762134400,F,17,17,False,19.0,13.0,1.0,,4.0,5.0,9.0,14.0,1.0,6.0,,,90.0,33.0,5.4,10.0,0.0373723,4,,,,,,12.0,1.0,1.0,1.0,,,,,,1.0,,9.0,2.0,1.0,,1.3362,0.1658,2.0,1.0,1.0,,3.0,,,,,,,
