match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalCross,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_challengeLost,stat_fouls,stat_dispossessed,stat_wasFouled,stat_keyPass,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock
14035900,home,KAA Gent,Davy Roef,,,davy-roef,D. Roef,G,33,187.0,232,M,156663,EUR,760492800,G,33,33,False,True,34.0,24.0,14.0,4.0,0.0,22.0,26.0,2.0,8.0,17.0,1.0,2.0,6.0,90.0,54.0,7.6,11.0,0.00047072,0.5615,0,0.0361,0.07,0.02,0.15,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035900,home,KAA Gent,Jean-Kévin Duverne,,,jean-kevin-duverne,J. Duverne,D,29,184.0,2644,M,845930,EUR,868665600,D,29,29,False,,79.0,65.0,6.0,1.0,0.0,48.0,52.0,17.0,27.0,2.0,,,,90.0,91.0,6.8,15.0,0.00675768,,0,,0.18,0.08,-0.17,,3.0,7.0,3.0,8.0,5.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14035900,home,KAA Gent,Maksim Paskotsi,,,maksim-paskotsi,M. Paskotsi,D,3,183.0,399,M,954621,EUR,1042934400,D,3,3,False,,79.0,74.0,3.0,1.0,0.0,63.0,65.0,11.0,14.0,6.0,,,,90.0,91.0,6.6,6.0,0.0035195,,0,,0.1,0.18,0.16,,6.0,2.0,6.0,2.0,7.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14035900,home,KAA Gent,Siebe Van Der Heyden,,,siebe-van-der-heyden,S. V. D. Heyden,D,44,185.0,270,M,842164,EUR,896486400,D,44,44,False,,72.0,67.0,6.0,3.0,0.0,47.0,48.0,20.0,24.0,5.0,,,,90.0,88.0,7.2,7.0,0.087366,,1,,0.34,0.06,-0.13,,2.0,5.0,3.0,6.0,5.0,4.0,,,,1.0,2.0,1.0,1.0,0.0251,-0.03,,,,,,,,,,,,,,,,
14035900,home,KAA Gent,Matisse Samoise,,,matisse-samoise,M. Samoise,M,18,180.0,256,M,1046245,EUR,1006300800,M,18,18,False,,51.0,39.0,5.0,1.0,0.0,24.0,25.0,15.0,26.0,1.0,,,,90.0,72.0,6.2,16.0,0.00852406,,0,,-0.21,-0.25,-0.16,,1.0,1.0,3.0,3.0,1.0,1.0,2.0,,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
14035900,home,KAA Gent,Mathias Delorge,Mathias Delorge-Knieper,,mathias-delorge-knieper,M. Delorge,M,17,189.0,582,M,1124749,EUR,1091232000,M,17,17,False,,53.0,47.0,4.0,4.0,1.0,26.0,29.0,21.0,24.0,3.0,,,,60.0,59.0,7.5,8.0,0.348157,,0,,0.33,0.16,-0.04,,,,2.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
14035900,home,KAA Gent,Abdelkahar Kadri,,,abdelkahar-kadri,A. Kadri,M,37,170.0,2010,M,1007528,EUR,961804800,M,37,37,False,,68.0,62.0,9.0,6.0,0.0,32.0,34.0,30.0,34.0,8.0,,,,90.0,77.0,7.3,9.0,0.038709,,1,,0.28,0.26,,,,,1.0,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,0.0153,-0.05,,,1.0,,1.0,1.0,,,,,,,,,,
14035900,home,KAA Gent,Michał Skóraś,,,michal-skoras,M. Skóraś,F,8,172.0,3088,M,942479,EUR,950572800,M,8,8,False,,50.0,44.0,1.0,1.0,1.0,21.0,22.0,23.0,28.0,9.0,,,,78.0,77.0,7.3,16.0,0.236092,,1,,0.29,0.39,-0.19,,1.0,,6.0,5.0,1.0,1.0,,,2.0,7.0,4.0,2.0,1.0,0.1056,-0.28,3.0,,,3.0,2.0,,2.0,1.0,,,,,,,,
14035900,home,KAA Gent,Omri Gandelman,Omri Gandelman,,omri-gandelman,O. Gandelman,M,16,188.0,1075,M,1019125,EUR,958435200,F,6,6,False,,24.0,17.0,1.0,1.0,0.0,7.0,8.0,10.0,16.0,3.0,,,,89.0,31.0,7.1,9.0,0.00724213,,2,,-0.26,0.09,-0.02,,7.0,4.0,10.0,4.0,,,,,,,1.0,,,0.19,0.5,,1.0,1.0,,,,,,2.0,1.0,0.5342,,,,,
14035900,home,KAA Gent,Atsuki Ito,Atsuki Ito,,atsuki-ito,A. Ito,M,15,185.0,595,M,1034816,EUR,902793600,F,15,15,False,,38.0,29.0,3.0,1.0,0.0,13.0,14.0,16.0,24.0,5.0,,,,90.0,53.0,7.4,16.0,0.0725153,,1,,-0.05,0.02,-0.04,,2.0,1.0,4.0,2.0,,,,,4.0,2.0,,,,0.0167,0.54,1.0,,1.0,1.0,2.0,,,,1.0,1.0,0.3502,1.0,,,,
14035900,home,KAA Gent,Wilfried Kanga,,,wilfried-kanga,W. Kanga,F,7,189.0,938,M,838640,EUR,888019200,F,7,7,False,,17.0,14.0,,,0.0,10.0,10.0,4.0,7.0,,,,,90.0,28.0,6.3,8.0,0.00463661,,2,,0.0,0.09,-0.03,,3.0,6.0,5.0,8.0,1.0,,,,5.0,,,,2.0,0.2844,-0.59,1.0,1.0,,2.0,1.0,,,,,,,,1.0,,,
14035900,home,KAA Gent,Hyllarion Goore,Bi Christ Hyllarion,Goore,bi-goore,H. Goore,F,45,183.0,294,M,2048955,EUR,1124841600,F,45,45,True,,9.0,8.0,,,0.0,1.0,1.0,7.0,8.0,4.0,,,,30.0,16.0,7.2,2.0,0.0713796,,1,,0.15,0.52,0.15,,1.0,,1.0,3.0,,,,,1.0,,1.0,1.0,,0.0667,-0.22,,,,2.0,1.0,1.0,,1.0,,,,,,,,
14035900,home,KAA Gent,Franck Surdez,,,franck-surdez,F. Surdez,F,19,184.0,273,M,1092662,EUR,1020556800,F,19,19,True,,4.0,4.0,,,0.0,2.0,2.0,2.0,2.0,,,,,12.0,9.0,6.5,2.0,0.00073355,,0,,-0.06,-0.15,0.14,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
14035900,home,KAA Gent,Leonardo Lopes,,,leonardo-lopes,L. Lopes,M,22,168.0,202,M,783478,EUR,912384000,M,22,22,True,,1.0,,,,0.0,,,,1.0,,,,,1.0,2.0,,1.0,,,0,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
14035900,home,KAA Gent,Kjell Peersman,Kjell Peersman,,kjell-peersman,K. Peersman,G,30,194.0,177,M,1119871,EUR,1085097600,G,30,30,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035900,home,KAA Gent,Hatim Essaouabi,,,hatim-essaouabi,H. Essaouabi,D,25,186.0,402,M,1461399,EUR,976665600,D,25,25,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035900,home,KAA Gent,Tiago Araújo,,,tiago-araujo,T. Araújo,D,20,184.0,265,M,997024,EUR,985651200,D,20,20,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035900,home,KAA Gent,Tibe De Vlieger,,,tibe-de-vlieger,T. D. Vlieger,M,27,182.0,175,M,1396529,EUR,1131148800,M,27,27,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035900,home,KAA Gent,Momodou Sonko,Momodou Sonko,,momodou-sonko,M. Sonko,M,11,176.0,575,M,1135616,EUR,1107129600,F,11,11,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035900,home,KAA Gent,Dante Vanzeir,,,dante-vanzeir,D. Vanzeir,F,13,175.0,635,M,822673,EUR,892684800,F,14,14,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035900,away,RC Sporting Charleroi,Martin Delavallée,,,martin-delavalee,M. Delavallée,G,55,185.0,123,M,1141106,EUR,1079568000,G,55,55,False,,33.0,19.0,24.0,10.0,0.0,11.0,14.0,8.0,19.0,9.0,,1.0,1.0,90.0,39.0,6.3,17.0,0.00148029,0.1197,0,-1.1156,0.11,0.01,-0.13,-0.55,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
