match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_interceptionWon,stat_aerialLost,stat_challengeLost,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_expectedGoals,captain,stat_dispossessed,stat_outfielderBlock,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_totalOffside,stat_hitWoodwork,stat_ownGoals,stat_goals
13473384,home,Grêmio,Tiago Volpi,tiago-volpi,T. Volpi,G,18,189,1690,M,243509,EUR,661564800,G,1,1,False,30.0,18.0,25.0,13.0,0.0,6.0,7.0,12.0,23.0,2.0,11.0,2.0,4.0,1.0,4.0,1.0,1.0,90.0,38.0,7.7,12.0,0.00641358,0,1.3445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13473384,home,Grêmio,João Pedro,joao-pedro,J. Pedro,D,18,179,1116,M,605528,EUR,848016000,D,18,18,False,34.0,23.0,12.0,4.0,0.0,9.0,11.0,14.0,23.0,6.0,4.0,,,,,,,90.0,69.0,6.5,20.0,0.00972771,0,,1.0,2.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
13473384,home,Grêmio,Jemerson,jemerson,Jemerson,D,21,184,1651,M,328519,EUR,714614400,D,21,21,False,20.0,17.0,4.0,3.0,0.0,16.0,16.0,1.0,4.0,7.0,2.0,1.0,,,,,,90.0,42.0,7.2,4.0,0.00128174,0,,,4.0,1.0,,11.0,2.0,2.0,1.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,
13473384,home,Grêmio,Wagner Leonardo,wagner-leonardo,W. Leonardo,D,3,186,1490,M,976235,EUR,932688000,D,3,3,False,9.0,7.0,3.0,1.0,0.0,5.0,5.0,2.0,4.0,,1.0,,,,,,,30.0,12.0,6.6,2.0,0.00083488,0,,,,2.0,,2.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
13473384,home,Grêmio,Marlon,marlon,Marlon,D,23,178,1921,M,870787,EUR,864086400,D,23,23,False,23.0,14.0,7.0,2.0,0.0,5.0,8.0,9.0,15.0,8.0,5.0,1.0,,,,,,90.0,56.0,7.7,18.0,0.0758552,1,,7.0,1.0,4.0,1.0,3.0,5.0,4.0,1.0,,1.0,1.0,,,4.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0149,,,,,,,,,,,,
13473384,home,Grêmio,Mathias Villasanti,mathias-villasanti,M. Villasanti,M,20,178,2843,M,1139775,EUR,854064000,M,20,20,False,17.0,14.0,2.0,1.0,0.0,8.0,9.0,6.0,8.0,8.0,3.0,,,,,,,78.0,39.0,7.0,7.0,0.00995459,0,,2.0,2.0,7.0,3.0,3.0,4.0,4.0,,,3.0,,,,2.0,1.0,1.0,,2.0,,,,True,1.0,1.0,,,,,,,,,
13473384,home,Grêmio,Dodi,dodi,Dodi,M,17,169,1040,M,870804,EUR,829699200,M,17,17,False,17.0,12.0,2.0,,0.0,5.0,7.0,7.0,10.0,5.0,2.0,4.0,,,,,,90.0,29.0,6.9,5.0,0.00379747,1,,,,,,2.0,1.0,,,,,,,,3.0,,,,,,,0.0277,,,1.0,1.0,,,,,,,,
13473384,home,Grêmio,Cristian Olivera,cristian-olivera,C. Olivera,M,99,170,1981,M,1068987,EUR,1019001600,M,99,99,False,23.0,17.0,,,0.0,1.0,3.0,16.0,20.0,12.0,7.0,,,,,,,78.0,56.0,7.2,18.0,0.054742,1,,2.0,2.0,12.0,11.0,,4.0,4.0,3.0,,2.0,1.0,Cristian Olivera,,,2.0,1.0,1.0,6.0,,1.0,0.8601,,2.0,,,1.0,,,,,,,
13473384,home,Grêmio,Edenilson,edenilson,Edenilson,M,8,175,1388,M,221636,EUR,629942400,M,8,8,False,22.0,10.0,3.0,1.0,0.0,2.0,5.0,8.0,17.0,5.0,3.0,1.0,,,,,,69.0,37.0,6.5,19.0,0.0404817,0,,,1.0,7.0,6.0,,1.0,,,,,1.0,,,,2.0,,,2.0,,,,,1.0,,,,,,,,,,
13473384,home,Grêmio,Miguel Monsalve,miguel-monsalve,M. Monsalve,M,11,177,2381,M,1066620,EUR,1077840000,M,11,11,False,25.0,21.0,1.0,1.0,0.0,8.0,8.0,13.0,17.0,6.0,5.0,,,,,,,78.0,37.0,6.7,8.0,0.0227244,2,,,1.0,7.0,3.0,,3.0,3.0,,,3.0,,Miguel Monsalve,,,1.0,,,2.0,,,0.0897,,2.0,,1.0,,1.0,0.1638,,,,,
