match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_interceptionWon,stat_keyPass,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_shotOffTarget,stat_goalAssist,stat_bigChanceCreated,stat_fouls,stat_aerialLost,stat_outfielderBlock,stat_penaltyConceded,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches
10583928,home,Al-Nassr,David Ospina,,,david-ospina,D. Ospina,G,1,183.0,5027,M,D_Ospina1,33596,EUR,588988800,G,25,25,False,21.0,17.0,8.0,4.0,16.0,17.0,1.0,4.0,1.0,11.0,2.0,1.0,1.0,1.0,90.0,32.0,6.4,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583928,home,Al-Nassr,Sultan Al-Ghannam,,,sultan-al-ghannam,S. Al-Ghannam,D,2,173.0,1607,M,,830126,EUR,768182400,D,2,2,False,14.0,13.0,1.0,,7.0,7.0,6.0,8.0,,2.0,,,,,16.0,21.0,6.7,4.0,0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10583928,home,Al-Nassr,Abdulelah Al-Amri,,,abdulelah-al-amri,A. Al-Amri,D,5,185.0,1135,M,,881831,EUR,853286400,D,5,5,False,45.0,40.0,3.0,2.0,24.0,26.0,17.0,23.0,,4.0,,,,,88.0,75.0,6.3,18.0,0,,4.0,,7.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10583928,home,Al-Nassr,Álvaro González,,,alvaro-gonzalez,Á. González,D,,183.0,313,M,,150212,EUR,631756800,D,21,21,False,49.0,46.0,9.0,8.0,30.0,31.0,16.0,18.0,4.0,5.0,,,,,90.0,56.0,6.9,3.0,1,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
10583928,home,Al-Nassr,Ghislain Konan,Ghislain,Konan,ghislain-konan,G. Konan,D,3,176.0,2811,M,,831781,EUR,820022400,D,13,13,False,69.0,65.0,,,37.0,37.0,29.0,35.0,,4.0,,,,,90.0,91.0,7.8,11.0,0,,3.0,1.0,1.0,7.0,3.0,,2.0,1.0,,,3.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,
10583928,home,Al-Nassr,Luiz Gustavo,,,luiz-gustavo,L. Gustavo,M,14,187.0,2128,M,,29735,EUR,553996800,M,18,18,False,72.0,64.0,9.0,6.0,27.0,27.0,37.0,46.0,,7.0,,,,,90.0,78.0,6.8,10.0,2,,1.0,,5.0,1.0,,,1.0,,2.0,,,1.0,1.0,1.0,,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,
10583928,home,Al-Nassr,Abdullah Al-Khaibari,,,abdullah-alkhaibari,A. Al-Khaibari,M,17,178.0,1250,M,,867179,EUR,840153600,M,17,17,False,66.0,61.0,2.0,1.0,30.0,33.0,31.0,33.0,1.0,5.0,,,,,90.0,73.0,6.6,6.0,0,,,,5.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,3.0,,,,,,,,,,,
10583928,home,Al-Nassr,Ayman Yahya,,,ayman-ahmed,A. Yahya,M,23,168.0,1412,M,,1130539,EUR,989798400,M,23,23,False,29.0,26.0,,,8.0,8.0,18.0,22.0,,4.0,,,,,63.0,40.0,8.4,6.0,5,,1.0,,1.0,2.0,1.0,,1.0,,,,1.0,1.0,1.0,2.0,,2.0,,,1.0,,,,2.0,3.0,2.0,,,,,
10583928,home,Al-Nassr,Anderson Talisca,,,anderson-talisca,A. Talisca,M,94,191.0,20484,M,AndersonTalisca,329245,EUR,760060800,M,94,94,False,29.0,25.0,6.0,5.0,9.0,11.0,16.0,20.0,3.0,1.0,,,,,90.0,52.0,7.3,10.0,5,,2.0,,8.0,4.0,6.0,,1.0,,2.0,,3.0,1.0,,1.0,,3.0,,,,3.0,,,,1.0,1.0,1.0,1.0,,,
10583928,home,Al-Nassr,Sami Al-Najei,,,sami-al-najei,S. Al-Najei,M,14,181.0,886,M,,832312,EUR,855273600,M,14,14,False,46.0,40.0,1.0,1.0,11.0,13.0,33.0,40.0,,1.0,,,,,88.0,61.0,9.0,11.0,0,,7.0,3.0,4.0,9.0,1.0,,6.0,4.0,1.0,,,3.0,1.0,,3.0,,2.0,3.0,2.0,,,,,,,,,,,
