match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_errorLeadToAGoal,stat_fouls,captain,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_unsuccessfulTouch,stat_wasFouled,stat_interceptionWon,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_saves,stat_keeperSaveValue,stat_goals,stat_totalOffside
14131887,home,Casa Pia,Patrick Sequeira,patrick-sequeira,P. Sequeira,G,1,190,969,M,821628,EUR,920246400,G,1,1,False,18.0,17.0,2.0,1.0,0.0,16.0,16.0,1.0,2.0,8.0,2.0,2.0,90.0,23.0,6.0,1.0,8.067e-05,0,-0.9012,-0.01,0.01,-0.18,-0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131887,home,Casa Pia,João Goulart,joao-goulart,J. Goulart,D,4,191,68,M,1151667,EUR,948931200,D,4,4,False,27.0,20.0,5.0,1.0,0.0,19.0,24.0,1.0,3.0,,,,45.0,32.0,5.5,8.0,0.00069024,0,,-0.02,0.01,-0.69,,,,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131887,home,Casa Pia,José Fonte,jose-fonte,J. Fonte,D,6,191,691,M,27622,EUR,440899200,D,6,6,False,67.0,60.0,3.0,2.0,0.0,41.0,42.0,19.0,25.0,4.0,,,90.0,79.0,6.7,9.0,0.0125787,2,,0.03,0.09,-0.27,,,,2.0,1.0,7.0,2.0,8.0,3.0,,,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.1442,-0.29,,,,,,,,,,,,,,,,,
14131887,home,Casa Pia,Duplexe Tchamba,duplexe-tchamba,D. Tchamba,D,2,191,133,M,891792,EUR,900028800,D,2,2,False,66.0,48.0,21.0,8.0,0.0,27.0,32.0,21.0,34.0,6.0,,,90.0,82.0,6.4,21.0,0.0142047,1,,0.25,0.11,-0.44,,,,,1.0,3.0,3.0,5.0,7.0,,,,,1.0,,,,,1.0,0.1744,-0.17,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
14131887,home,Casa Pia,Gaizka Larrazabal,gaizka-larrazabal,G. Larrazabal,M,72,179,117,M,849719,EUR,882316800,M,72,72,False,35.0,25.0,5.0,2.0,0.0,12.0,18.0,13.0,17.0,4.0,,,73.0,52.0,6.4,14.0,0.00685627,0,,-0.14,0.0,-0.15,,,,,1.0,1.0,3.0,2.0,1.0,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
14131887,home,Casa Pia,Sebastián Pérez,sebastian-perez,S. Pérez,M,42,176,396,M,158597,EUR,733363200,M,42,42,False,56.0,44.0,14.0,7.0,0.0,26.0,26.0,18.0,30.0,4.0,,,90.0,69.0,6.9,14.0,0.0168352,0,,0.08,0.04,-0.13,,,,1.0,,1.0,2.0,6.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,1.0,4.0,,,,,,,,,,,
14131887,home,Casa Pia,Iyad Mohamed,mohamed-iyad,I. Mohamed,M,24,191,113,M,1131015,EUR,983750400,M,24,24,False,19.0,14.0,2.0,1.0,0.0,9.0,11.0,5.0,8.0,1.0,,,45.0,27.0,6.6,6.0,0.00383787,0,,0.07,0.01,-0.13,,,,,1.0,2.0,3.0,3.0,3.0,,1.0,,1.0,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,
14131887,home,Casa Pia,Fahem Benaissa-Yahia,fahem-benaissa-yahia,F. Benaissa-Yahia,M,50,188,115,M,1529932,EUR,1020038400,M,12,12,False,40.0,30.0,2.0,1.0,0.0,18.0,21.0,12.0,19.0,14.0,,,90.0,64.0,7.0,18.0,0.198326,1,,0.29,0.13,-0.06,,,,3.0,,2.0,4.0,9.0,,,,,,1.0,,,6.0,6.0,,0.1277,-0.28,3.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,
14131887,home,Casa Pia,Jérémy Livolant,jeremy-livolant,J. Livolant,F,29,175,282,M,826054,EUR,884304000,F,29,29,False,26.0,18.0,2.0,1.0,0.0,4.0,6.0,14.0,20.0,3.0,,,90.0,51.0,7.3,13.0,0.32345,3,,0.31,0.09,-0.03,,,,8.0,,1.0,4.0,7.0,,,1.0,,1.0,1.0,,,2.0,1.0,,0.1227,0.01,2.0,2.0,2.0,,1.0,2.0,,6.0,,3.0,2.0,0.0489,,,,,
14131887,home,Casa Pia,Max Svensson,max-svensson,M. Svensson,F,9,182,45,M,1085569,EUR,1005177600,F,9,9,False,14.0,6.0,1.0,,0.0,3.0,4.0,3.0,10.0,2.0,,,73.0,23.0,6.3,12.0,0.00446969,1,,-0.19,0.24,-0.01,,,,1.0,1.0,,5.0,2.0,,,3.0,,1.0,,1.0,,1.0,1.0,,0.0721,0.02,,,,,3.0,1.0,,,,,,,,,,,
14131887,home,Casa Pia,Oluwakorede Osundina,oluwakorede-osundina,O. Osundina,M,13,180,112,M,1190517,EUR,1076630400,F,13,13,False,9.0,6.0,1.0,1.0,0.0,4.0,5.0,2.0,4.0,1.0,,,45.0,16.0,6.7,5.0,0.0017354,0,,-0.02,0.0,-0.01,,Oluwakorede Osundina,,1.0,,,2.0,3.0,1.0,,,,1.0,,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,
14131887,home,Casa Pia,André Geraldes,andre-geraldes,A. Geraldes,D,18,181,32,M,125039,EUR,673142400,D,18,18,True,24.0,20.0,2.0,,0.0,11.0,13.0,9.0,11.0,5.0,,,45.0,34.0,6.7,4.0,0.00477101,0,,-0.01,-0.41,0.17,,,,,1.0,,3.0,3.0,1.0,,2.0,,,,,,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,
14131887,home,Casa Pia,Renato Nhaga,renato-nhaga,R. Nhaga,M,74,172,1735,M,2119726,EUR,1174953600,M,74,74,True,30.0,29.0,3.0,3.0,0.0,14.0,14.0,15.0,16.0,4.0,,,45.0,40.0,7.4,2.0,0.0188512,0,,0.19,0.09,-0.06,,Renato Nhaga,,,,2.0,3.0,8.0,1.0,,1.0,,2.0,,,,2.0,2.0,,,,,,,,1.0,4.0,,,,,,,,,,,
14131887,home,Casa Pia,Tiago Morais,tiago-morais,T. Morais,F,21,168,233,M,1067284,EUR,1062547200,F,21,21,True,18.0,11.0,1.0,,0.0,5.0,5.0,6.0,13.0,2.0,,,45.0,33.0,6.9,12.0,0.0136563,1,,0.08,0.02,-0.01,,,,2.0,,,3.0,6.0,,,2.0,,,,,,2.0,2.0,,0.0189,0.0,1.0,1.0,1.0,,2.0,3.0,,,,,1.0,0.0599,,,,,
14131887,home,Casa Pia,Kevin Prieto,kevin-prieto,K. Prieto,D,19,184,57,M,1464186,EUR,1056672000,F,19,19,True,9.0,8.0,,,0.0,,,8.0,9.0,,,,17.0,16.0,6.3,5.0,0.00560408,0,,-0.04,-0.15,-0.07,,,,,1.0,,6.0,1.0,,,1.0,,2.0,,,,1.0,1.0,,,,,2.0,,,2.0,,,,,,,,,,,,
14131887,home,Casa Pia,Cassiano,cassiano,Cassiano,F,90,184,251,M,157023,EUR,613958400,F,90,90,True,2.0,,,,0.0,,,,2.0,,,,17.0,9.0,6.8,4.0,,0,,-0.1,0.13,0.0,,,,,2.0,1.0,2.0,5.0,,,,,,,,,2.0,,,,,,,,,2.0,3.0,,,,,,,,,,,
14131887,home,Casa Pia,Daniel Azevedo,azevedo-daniel,D. Azevedo,G,22,195,26,M,878493,EUR,887241600,G,22,22,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131887,home,Casa Pia,Kaique Rocha,kaique-rocha,K. Rocha,D,27,195,458,M,963990,EUR,983318400,D,27,27,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131887,home,Casa Pia,Rafael Brito,rafael-brito,R. Brito,M,8,183,129,M,983537,EUR,1011398400,M,8,8,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131887,home,Casa Pia,Miguel Sousa,miguel-sousa,M. Sousa,M,20,176,28,M,936367,EUR,906163200,M,14,14,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131887,away,CD Nacional,Lucas França,lucas-franca,L. França,G,37,194,104,M,832672,EUR,822009600,G,37,37,False,31.0,13.0,27.0,9.0,0.0,6.0,7.0,7.0,24.0,17.0,1.0,1.0,90.0,40.0,7.1,18.0,0.00076777,0,0.1088,0.14,0.0,0.22,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0413,,
14131887,away,CD Nacional,João Aurélio,joao-aurelio,J. Aurélio,D,2,185,24,M,44684,EUR,587779200,D,2,2,False,30.0,24.0,3.0,1.0,0.0,12.0,13.0,12.0,17.0,7.0,,,90.0,53.0,6.8,10.0,0.00762219,0,,0.0,0.07,0.18,,,,,,,6.0,3.0,,,3.0,True,1.0,,,,3.0,1.0,,,,,2.0,,,1.0,,2.0,,,1.0,,,,,,,
14131887,away,CD Nacional,Léo Santos,leo-santos,L. Santos,D,34,186,158,M,822509,EUR,913161600,D,34,34,False,40.0,31.0,9.0,2.0,0.0,26.0,27.0,5.0,13.0,3.0,,,90.0,57.0,7.2,10.0,0.00294443,0,,0.08,0.04,0.35,,,,,,1.0,1.0,5.0,7.0,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,2.0,,,,,,,,,,,
14131887,away,CD Nacional,Ze Vitor,ze-vitor,Zé Vitor,D,38,189,125,M,1112474,EUR,981676800,D,38,38,False,24.0,19.0,7.0,4.0,0.0,16.0,18.0,3.0,6.0,2.0,,,90.0,42.0,7.1,6.0,0.00233852,0,,0.0,0.07,0.18,,,,,1.0,3.0,4.0,6.0,10.0,,2.0,,,,,,,,,,,1.0,1.0,1.0,,,2.0,,,,,,,,,,,
14131887,away,CD Nacional,José Gomes,jose-gomes,J. Gomes,D,5,185,33,M,344181,EUR,837820800,D,5,5,False,16.0,9.0,4.0,1.0,1.0,5.0,8.0,4.0,8.0,5.0,,,90.0,57.0,7.3,23.0,0.275442,0,,0.39,0.08,0.22,,,,5.0,1.0,,5.0,4.0,4.0,,1.0,,,,,,2.0,,,,,,5.0,2.0,,2.0,,1.0,1.0,1.0,2.0,,,,,,,
14131887,away,CD Nacional,Liziero,liziero,Liziero,M,28,175,757,M,822510,EUR,886809600,M,28,28,False,25.0,22.0,3.0,2.0,0.0,13.0,14.0,9.0,11.0,4.0,,,68.0,39.0,6.9,6.0,0.316957,2,,0.25,0.08,0.15,,,,4.0,1.0,,3.0,4.0,1.0,,2.0,,,1.0,1.0,,,,,0.0342,-0.1,,1.0,1.0,,1.0,3.0,,2.0,,1.0,,,,,,,
14131887,away,CD Nacional,Matheus Dias,dias-matheus,Matheus Dias,M,6,187,228,M,1020610,EUR,1020902400,M,6,6,False,36.0,29.0,5.0,3.0,0.0,22.0,24.0,7.0,12.0,4.0,,,90.0,50.0,6.9,8.0,0.00157132,1,,-0.04,0.17,0.19,,,,,,1.0,2.0,4.0,6.0,,2.0,,,,1.0,,1.0,,,0.0154,-0.03,,1.0,1.0,,,1.0,3.0,,,,,,,,,,
