match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_accurateCross,stat_totalContest,stat_blockedScoringAttempt,stat_expectedGoals,stat_dispossessed,stat_wonContest,stat_totalOffside,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_penaltyConceded,stat_goals,stat_errorLeadToAShot,stat_shotOffTarget,player_lastName,player_sofascoreId,stat_bigChanceCreated,stat_goodHighClaim,stat_punches,stat_penaltyWon,stat_bigChanceMissed,stat_hitWoodwork
12450276,home,Montpellier,Benjamin Lecomte,benjamin-lecomte,B. Lecomte,G,23,186,336,M,123207,EUR,672624000,G,40,40,False,True,20.0,13.0,13.0,6.0,0.0,12.0,15.0,1.0,5.0,1.0,3.0,3.0,1.0,4.0,90.0,28.0,6.4,7.0,0.00026231,0,-0.5943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450276,home,Montpellier,Enzo Tchato Mbiayi,enzo-tchato-mbiayi,E. T. Mbiayi,D,29,180,511,M,1103548,EUR,1038009600,D,29,29,False,,21.0,15.0,2.0,1.0,0.0,9.0,9.0,6.0,12.0,1.0,,,,,67.0,31.0,6.0,8.0,0.00526018,0,,Enzo Tchato Mbiayi,3.0,3.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450276,home,Montpellier,Yael Mouanga,yael-mouanga,Y. Mouanga,D,23,183,91,M,1170536,EUR,1122076800,D,47,47,False,,30.0,27.0,2.0,1.0,0.0,22.0,23.0,5.0,7.0,3.0,,,,,90.0,38.0,6.2,4.0,0.00243948,0,,Yael Mouanga,2.0,2.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12450276,home,Montpellier,Bećir Omeragić,becir-omeragic,B. Omeragić,D,27,187,462,M,940918,EUR,1011484800,D,27,27,False,,16.0,15.0,,,0.0,11.0,11.0,4.0,5.0,1.0,2.0,,,,90.0,20.0,6.1,1.0,0.00178647,0,,,,2.0,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
12450276,home,Montpellier,Lucas Mincarelli Davin,mincarelli-davin-lucas,L. M. Davin,D,21,180,94,M,1512339,EUR,1074124800,D,21,21,False,,25.0,20.0,5.0,1.0,0.0,15.0,17.0,5.0,8.0,4.0,2.0,,,,90.0,34.0,6.1,5.0,0.00204653,0,,,2.0,2.0,1.0,2.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
12450276,home,Montpellier,Theo Chennahi,chennahi-theo,T. Chennahi,M,44,182,70,M,1634349,EUR,1107648000,D,44,44,False,,26.0,22.0,1.0,,0.0,14.0,15.0,9.0,12.0,1.0,7.0,,,,84.0,47.0,6.0,9.0,0.0101313,1,,Théo Chennahi,5.0,4.0,3.0,4.0,3.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0303,,,,,,,,,,,,,,,,,,
12450276,home,Montpellier,Rabby Nzingoula,rabby-nzingoula,R. Nzingoula,M,22,183,464,M,1492676,EUR,1132876800,M,19,19,False,,25.0,16.0,,,0.0,6.0,11.0,11.0,16.0,,6.0,,,,84.0,47.0,6.4,18.0,0.0123854,1,,,9.0,8.0,2.0,3.0,1.0,2.0,3.0,1.0,,2.0,5.0,,2.0,1.0,3.0,1.0,0.0303,3.0,3.0,1.0,,,,,,,,,,,,,,,
12450276,home,Montpellier,Joris Chotard,joris-chotard,J. Chotard,M,13,179,541,M,976396,EUR,1001289600,M,13,13,False,,30.0,24.0,2.0,1.0,0.0,14.0,16.0,10.0,14.0,1.0,5.0,,,,85.0,41.0,6.9,8.0,0.00439405,1,,,2.0,4.0,,4.0,3.0,,1.0,,,,1.0,1.0,,,,,0.0853,1.0,,,1.0,1.0,0.0424,,,,,,,,,,,,
12450276,home,Montpellier,Jordan Ferri,jordan-ferri,J. Ferri,M,4,172,146,M,123229,EUR,700358400,M,12,12,False,,36.0,34.0,4.0,3.0,1.0,23.0,24.0,11.0,13.0,1.0,5.0,,,,68.0,53.0,6.0,8.0,0.0478699,0,,,8.0,4.0,2.0,1.0,1.0,3.0,2.0,,,,,2.0,1.0,,3.0,,,1.0,,,,,,1.0,,,,,,,,,,,
12450276,home,Montpellier,Tanguy Coulibaly,tanguy-coulibaly,T. Coulibaly,M,70,180,478,M,954060,EUR,982454400,F,70,70,False,,20.0,17.0,,,0.0,8.0,8.0,9.0,12.0,,4.0,,,,90.0,46.0,7.2,11.0,0.00626777,2,,,16.0,9.0,2.0,4.0,2.0,2.0,5.0,3.0,,,1.0,1.0,,,6.0,,0.2669,3.0,3.0,,2.0,,1.1606,,1.0,1.0,,,,,,,,,
12450276,home,Montpellier,Khalil Fayad,khalil-fayad,K. Fayad,M,10,172,588,M,1387157,EUR,1086739200,F,22,22,False,,27.0,22.0,2.0,1.0,0.0,9.0,11.0,14.0,21.0,,5.0,,,,90.0,46.0,6.5,15.0,0.0484493,1,,Khalil Fayad,5.0,6.0,1.0,1.0,1.0,2.0,,,3.0,1.0,2.0,,5.0,1.0,4.0,,0.0202,,,,,,,,,,1.0,,,,,,,,
12450276,home,Montpellier,Wilfried Ndollo Bille,wilfried-ndollo-bille,W. N. Bille,D,49,172,67,M,2063925,EUR,1113523200,D,49,49,True,,5.0,5.0,,,0.0,1.0,1.0,4.0,4.0,,,,,,23.0,6.0,6.5,,0.00139019,0,,Wilfried Ndollo Bille,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450276,home,Montpellier,Junior Ndiaye,ndiaye-junior,J. Ndiaye,F,,180,96,M,1195700,EUR,1112054400,F,41,41,True,,3.0,3.0,,,0.0,3.0,3.0,,,,,,,,22.0,9.0,6.9,1.0,3.88e-05,1,,Junior Ndiaye,,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,,0.0694,,,,1.0,,0.2637,,,,,,,,,,,,
12450276,home,Montpellier,Stefan Džodić,stefan-dzodic,S. Džodić,M,29,185,156,M,1152889,EUR,1110844800,M,45,45,True,,3.0,2.0,,,0.0,,,2.0,3.0,,,,,,6.0,5.0,,1.0,0.0005408,0,,Stefan Dzodic,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450276,home,Montpellier,Wahbi Khazri,wahbi-khazri,W. Khazri,F,,176,1610,M,51640,EUR,665971200,F,10,10,True,,3.0,2.0,,,0.0,,,2.0,3.0,,2.0,,,,6.0,8.0,,2.0,0.00496251,2,,,1.0,1.0,,,,,,,,,,,,,2.0,1.0,0.1076,,1.0,,,,,,,,1.0,,,,,,,,
12450276,home,Montpellier,Teji Savanier,teji-savanier,T. Savanier,M,11,171,790,M,156682,EUR,693360000,M,11,11,True,,3.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,,1.0,,,,5.0,5.0,,2.0,0.00845454,0,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
12450276,home,Montpellier,Dimitry Bertaud,bertaud-dimitry,D. Bertaud,G,16,179,4975,M,794465,EUR,897091200,G,16,16,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d_bertaud16,,,,,,
12450276,home,Montpellier,Falaye Sacko,falaye-sacko,F. Sacko,D,77,179,2233,M,796372,EUR,799286400,D,77,77,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450276,home,Montpellier,Bamo Meïté,bamo-meite,B. Meïté,D,5,183,525,M,1131541,EUR,992995200,D,2,2,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450276,home,Montpellier,Boubakar Kouyaté,boubakar-kouyate,B. Kouyaté,D,25,192,907,M,848537,EUR,861062400,D,4,4,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450276,away,Paris Saint-Germain,Arnau Tenas,arnau-tenas,A. Tenas,G,25,185,5097,M,908714,EUR,991180800,G,80,80,False,,28.0,27.0,7.0,6.0,1.0,25.0,25.0,2.0,3.0,1.0,6.0,3.0,,3.0,90.0,38.0,7.9,1.0,0.0541632,0,0.4667,,,1.0,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
12450276,away,Paris Saint-Germain,Axel Tape,axel-tape,A. Tape,D,16,180,1722,M,1937795,EUR,1186704000,D,48,48,False,,63.0,58.0,2.0,1.0,0.0,40.0,40.0,18.0,23.0,,8.0,,,,90.0,81.0,6.5,12.0,0.00769255,1,,Axel Tape,7.0,4.0,,2.0,,1.0,,4.0,,,4.0,,,,3.0,,0.0291,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,
12450276,away,Paris Saint-Germain,Lucas Beraldo,lucas-beraldo,L. Beraldo,D,4,182,17502,M,1108441,EUR,1069632000,D,35,35,False,,103.0,98.0,4.0,3.0,0.0,73.0,74.0,25.0,29.0,3.0,7.0,,,,90.0,113.0,7.2,6.0,0.00950735,0,,Lucas Beraldo,2.0,3.0,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,2.0,,,,,,,lberaldo,,,,,,
12450276,away,Paris Saint-Germain,Lucas Hernández,lucas-hernandez,L. Hernández,D,21,183,10246,M,352370,EUR,824256000,D,21,21,False,,125.0,116.0,3.0,1.0,0.0,67.0,67.0,49.0,58.0,3.0,4.0,,,,90.0,143.0,7.2,10.0,0.0138042,0,,,5.0,9.0,3.0,3.0,2.0,3.0,1.0,,2.0,2.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,lucashernandez21,,,,,,
