match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_clearanceOffLine,stat_outfielderBlock,stat_unsuccessfulTouch,stat_lastManTackle,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_expectedGoals,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed
12436893,home,Aston Villa,Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,61053,M,EmiMartínez,158263,EUR,715392000,G,23,23,False,True,36.0,26.0,13.0,3.0,0.0,25.0,26.0,1.0,10.0,4.0,1.0,1.0,2.0,90.0,42.0,6.4,11.0,0.00026579,0,0.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436893,home,Aston Villa,Matty Cash,matty-cash,M. Cash,D,2,185,9380,M,mattycash622,833956,EUR,870912000,D,2,2,False,,29.0,26.0,3.0,1.0,0.0,14.0,16.0,12.0,17.0,3.0,,,,90.0,52.0,7.1,14.0,0.00924933,0,,4.0,1.0,1.0,6.0,7.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
12436893,home,Aston Villa,Ezri Konsa,ezri-konsa,E. Konsa,D,4,183,3197,M,,827679,EUR,877564800,D,4,4,False,,27.0,25.0,,,0.0,20.0,21.0,5.0,6.0,3.0,,,,90.0,39.0,7.7,3.0,0.00143103,0,,,1.0,2.0,2.0,6.0,,,,2.0,3.0,3.0,3.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,
12436893,home,Aston Villa,Tyrone Mings,tyrone-mings,T. Mings,D,5,195,1992,M,,303638,EUR,731980800,D,5,5,False,,14.0,12.0,1.0,,0.0,9.0,11.0,3.0,3.0,1.0,,,,38.0,19.0,7.2,2.0,0.00199459,0,,,,,,2.0,,,,,1.0,2.0,2.0,,1.0,,,,,2.0,,1.0,,,,,,,,,,,
12436893,home,Aston Villa,Lucas Digne,lucas-digne,L. Digne,D,12,178,4442,M,LDigne,96538,EUR,743126400,D,12,12,False,,53.0,42.0,6.0,2.0,0.0,28.0,34.0,15.0,22.0,4.0,,,,90.0,83.0,7.0,18.0,0.0680734,2,,3.0,3.0,7.0,5.0,12.0,1.0,1.0,,5.0,1.0,3.0,1.0,2.0,,1.0,,,,,2.0,,1.0,1.0,1.0,1.0,0.0923,,,,,,
12436893,home,Aston Villa,Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177,9789,M,youritielemans,331737,EUR,862963200,M,8,8,False,,53.0,45.0,3.0,2.0,0.0,20.0,22.0,26.0,35.0,5.0,,,,90.0,76.0,7.1,15.0,0.129783,1,,4.0,,,8.0,6.0,4.0,1.0,1.0,3.0,,4.0,3.0,1.0,1.0,1.0,,,,2.0,1.0,,1.0,1.0,,,0.0418,3.0,,,,,
12436893,home,Aston Villa,Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,184,3386,M,,826204,EUR,943315200,M,44,44,False,,47.0,38.0,2.0,,0.0,19.0,23.0,19.0,24.0,11.0,,,,90.0,76.0,7.3,11.0,0.0473801,1,,,2.0,3.0,8.0,17.0,2.0,4.0,2.0,4.0,2.0,9.0,2.0,3.0,2.0,,,,,,,,,,1.0,,0.0996,,,,,,
12436893,home,Aston Villa,Leon Bailey,leon-bailey,L. Bailey,M,31,178,7677,M,leonbailey,808590,EUR,871084800,M,31,31,False,,16.0,11.0,1.0,,0.0,3.0,5.0,8.0,11.0,1.0,,,,65.0,24.0,7.2,7.0,0.121478,2,,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,,,,1.0,1.0,2.0,,,,,1.0,,,1.0,,,0.13,,1.0,0.0296,,,
12436893,home,Aston Villa,Morgan Rogers,morgan-rogers,M. Rogers,M,27,187,13638,M,mrogers,948261,EUR,1027641600,M,27,27,False,,19.0,11.0,1.0,,0.0,8.0,8.0,4.0,12.0,4.0,,,,72.0,40.0,6.2,17.0,0.0490945,0,,1.0,2.0,1.0,10.0,4.0,,5.0,2.0,1.0,,,,1.0,3.0,,,,,,4.0,,1.0,,,,,2.0,,,,,
12436893,home,Aston Villa,Jacob Ramsey,jacob-ramsey,J. Ramsey,M,41,180,3186,M,,975937,EUR,991008000,M,41,41,False,,17.0,16.0,1.0,,0.0,6.0,7.0,11.0,11.0,3.0,,,,73.0,30.0,7.6,3.0,0.0479638,1,,1.0,,,2.0,5.0,1.0,1.0,,2.0,,3.0,1.0,2.0,,2.0,,,,,1.0,,1.0,,,,0.1789,,1.0,0.7473,1.0,,
