match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_aerialLost,stat_lastManTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_bigChanceMissed,captain,stat_bigChanceCreated,stat_outfielderBlock,player_sofascoreId,stat_goals,stat_penaltyWon
13472584,home,Juventude,Jandrei,,,jandrei,Jandrei,G,93,186,1016,M,874979,EUR,730944000,G,13,13,False,29.0,19.0,15.0,8.0,0.0,17.0,24.0,2.0,5.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,90.0,37.0,6.6,10.0,0.00045916,37.207591096123,9.0,12.495,3.36,0,-1.0181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472584,home,Juventude,Luan Freitas,,,luan-freitas,Luan Freitas,D,4,184,248,M,986064,EUR,979948800,D,3,3,False,27.0,24.0,3.0,1.0,0.0,19.0,19.0,5.0,8.0,4.0,,,,,,,77.0,31.0,6.1,4.0,0.00133016,64.891759399146,9.0,23.94,8.61,0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13472584,home,Juventude,Rodrigo Sam,,,rodrigo-sam,R. Sam,D,34,185,108,M,794640,EUR,806544000,D,34,34,False,43.0,40.0,4.0,2.0,0.0,28.0,28.0,12.0,15.0,7.0,,,,,,,90.0,63.0,7.0,4.0,0.0246262,85.664316384294,11.0,22.995,24.465,1,,3.0,10.0,,1.0,6.0,2.0,1.0,2.0,3.0,1.0,3.0,5.0,0.0472,,,,,,,,,,,,,,,,,,,,
13472584,home,Juventude,Marcos Paulo,,,marcos-paulo,M. Paulo,D,47,183,176,M,1170913,EUR,1042848000,D,47,47,False,51.0,39.0,9.0,3.0,0.0,29.0,31.0,10.0,20.0,3.0,,,,,,,90.0,58.0,6.1,14.0,0.00498147,154.41289057483,21.0,71.295,18.48,0,,4.0,3.0,1.0,,1.0,3.0,3.0,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
13472584,home,Juventude,Igor Formiga,,,igor-formiga,Igor Formiga,D,32,175,269,M,1009030,EUR,915753600,M,32,32,False,34.0,24.0,3.0,2.0,0.0,9.0,13.0,15.0,21.0,4.0,,,,,,,90.0,68.0,7.0,20.0,0.0582601,87.954881335198,13.0,30.24,9.24,1,,5.0,9.0,1.0,,,2.0,1.0,1.0,4.0,1.0,6.0,1.0,0.0456,1.0,,2.0,,5.0,1.0,4.0,2.0,,,,,,,,,,,,
13472584,home,Juventude,Jádson,,,jadson,Jádson,M,16,171,454,M,243651,EUR,746668800,M,16,16,False,37.0,35.0,4.0,4.0,0.0,20.0,21.0,15.0,16.0,7.0,,,,,,,90.0,47.0,6.8,3.0,0.0745407,106.95393939228,15.0,56.91,9.765,2,,3.0,4.0,1.0,,,2.0,,2.0,1.0,1.0,,1.0,0.0362,,,1.0,,,,,,1.0,2.0,,,,,,,,,,
13472584,home,Juventude,Peixoto,,,peixoto,Peixoto,M,72,181,94,M,1049781,EUR,867628800,M,72,72,False,25.0,23.0,1.0,1.0,0.0,11.0,12.0,12.0,13.0,5.0,,,,,,,89.0,41.0,6.9,8.0,0.309647,117.29092581507,12.0,27.72,19.425,1,,4.0,6.0,1.0,1.0,,,,1.0,2.0,1.0,2.0,1.0,0.0398,1.0,,3.0,,1.0,,4.0,3.0,,2.0,,,,,,,,,,
13472584,home,Juventude,Marcelo Hermes,,,marcelo-hermes,M. Hermes,D,22,177,288,M,783490,EUR,791596800,M,22,22,False,27.0,19.0,2.0,1.0,0.0,9.0,10.0,10.0,17.0,1.0,,,,,,,90.0,53.0,6.7,16.0,0.014666,79.350489226655,9.0,34.125,14.385,2,,4.0,4.0,1.0,,,1.0,1.0,1.0,3.0,,1.0,,0.0416,2.0,,3.0,,2.0,1.0,,,1.0,,1.0,0.1556,,,,,,,,
13472584,home,Juventude,Luis Mandaca,Luis Mandaca,,luis-mandaca,L. Mandaca,M,44,178,388,M,1116677,EUR,1001980800,F,44,44,False,20.0,16.0,,,0.0,4.0,5.0,12.0,15.0,2.0,,,,,,,90.0,38.0,6.6,11.0,0.025495,107.40298246803,9.0,93.765,30.345,1,,9.0,5.0,1.0,,,1.0,1.0,2.0,1.0,,,,0.0104,2.0,,1.0,,2.0,1.0,7.0,3.0,,2.0,1.0,0.155,1.0,,,,,,,
13472584,home,Juventude,Gabriel Taliari,,,gabriel-taliari,G. Taliari,F,19,176,441,M,933955,EUR,860889600,F,19,19,False,14.0,7.0,1.0,,0.0,5.0,7.0,2.0,7.0,2.0,,,,,,,90.0,25.0,6.3,9.0,0.024832,30.968791194465,4.0,-1.365,4.935,1,,4.0,6.0,,2.0,,2.0,,1.0,,1.0,,2.0,0.2432,1.0,,,,,,2.0,2.0,,,,,1.0,1.0,,,,,,
13472584,home,Juventude,Nenê,,,nene,Nenê,M,10,181,1562,M,5672,EUR,364348800,F,10,10,False,24.0,18.0,3.0,1.0,0.0,4.0,4.0,14.0,20.0,3.0,,,,,,,62.0,40.0,7.5,12.0,0.332555,121.47562368844,10.0,46.725,23.415,2,,3.0,1.0,,1.0,,,,,,1.0,,1.0,0.0443,1.0,,2.0,,8.0,6.0,1.0,,,4.0,1.0,0.099,,,True,1.0,,,,
