match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialWon,stat_outfielderBlock,stat_accurateCross,stat_dispossessed,stat_wasFouled,stat_bigChanceMissed,captain,stat_blockedScoringAttempt,player_sofascoreId,stat_wonContest,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle
12437729,home,Sevilla,Álvaro Fernández,alvaro-fernandez,Á. Fernández,G,25,186,269,M,852412,EUR,892425600,G,1,1,False,22.0,17.0,6.0,1.0,0.0,16.0,18.0,1.0,4.0,1.0,3.0,1.0,2.0,90.0,28.0,6.8,5.0,0.00012544,0,-0.5011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437729,home,Sevilla,José Ángel Carmona,jose-angel-carmona,J. Á. Carmona,D,2,183,1021,M,1015240,EUR,1012262400,D,32,32,False,34.0,26.0,3.0,1.0,0.0,10.0,12.0,16.0,23.0,3.0,4.0,,,86.0,60.0,6.7,16.0,0.0308532,2,,,,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0571,0.05,1.0,,,,,,,,,,,,,,,,
12437729,home,Sevilla,Loïc Badé,loic-bade,L. Badé,D,5,191,3177,M,1006489,EUR,955411200,D,22,22,False,69.0,59.0,7.0,3.0,0.0,47.0,49.0,12.0,20.0,2.0,8.0,,,90.0,76.0,6.9,13.0,0.0286425,1,,,,,,1.0,3.0,,,,1.0,,,,2.0,1.0,0.0642,0.1615,,3.0,1.0,,,,,,,,,,,,,,
12437729,home,Sevilla,Kike Salas,kike-salas,K. Salas,D,4,186,890,M,1097719,EUR,1019433600,D,4,4,False,55.0,46.0,8.0,3.0,0.0,37.0,40.0,9.0,15.0,6.0,2.0,,,90.0,71.0,7.2,12.0,0.00219497,2,,,,,,,2.0,,,2.0,,2.0,1.0,1.0,1.0,,0.0475,,,1.0,1.0,,,,,,,,,,,,,,
12437729,home,Sevilla,Adrià Pedrosa,adria-pedrosa,A. Pedrosa,D,3,176,847,M,928672,EUR,895017600,D,3,3,False,24.0,15.0,1.0,,0.0,7.0,8.0,9.0,20.0,1.0,1.0,,,64.0,57.0,6.3,23.0,0.0140811,0,,,,4.0,4.0,10.0,3.0,1.0,3.0,,,,1.0,1.0,2.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,
12437729,home,Sevilla,Djibril Sow,djibril-sow,D. Sow,M,20,184,1941,M,799054,EUR,855187200,M,20,20,False,29.0,25.0,1.0,1.0,0.0,10.0,10.0,15.0,19.0,,4.0,,,75.0,39.0,6.7,5.0,0.0345737,1,,,,,1.0,3.0,5.0,,,1.0,,,,,1.0,2.0,0.2715,,,1.0,,,,5.0,1.0,,,,,,,,,,
12437729,home,Sevilla,Nemanja Gudelj,nemanja-gudelj,N. Gudelj,M,6,187,1647,M,68332,EUR,690249600,M,6,6,False,55.0,49.0,1.0,1.0,0.0,24.0,26.0,26.0,30.0,5.0,4.0,,,90.0,67.0,7.4,6.0,0.0733428,1,,,,1.0,2.0,6.0,9.0,1.0,,,1.0,,2.0,2.0,,3.0,0.0434,0.3531,1.0,7.0,,1.0,,,,True,,,,,,,,,
12437729,home,Sevilla,Albert Sambi Lokonga,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3626,M,901892,EUR,940550400,M,12,12,False,66.0,58.0,7.0,4.0,0.0,27.0,27.0,31.0,39.0,,8.0,,,86.0,72.0,7.0,9.0,0.0457154,1,,,,,,2.0,3.0,,1.0,,,1.0,1.0,1.0,,1.0,0.0288,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,
12437729,home,Sevilla,Dodi Lukebakio,dodi-lukebakio,D. Lukebakio,M,11,187,4874,M,823631,EUR,875059200,F,11,11,False,33.0,27.0,2.0,1.0,0.0,4.0,4.0,24.0,34.0,,3.0,,,90.0,53.0,7.8,15.0,0.291576,3,,,,5.0,,2.0,6.0,,5.0,1.0,2.0,,1.0,1.0,3.0,,0.7963,1.127,2.0,,,1.0,1.0,1.0,1.0,,,DLukebakio,4.0,1.0,3.0,,,,
12437729,home,Sevilla,Isaac Romero,romero-isaac,I. Romero,F,7,184,1472,M,1018190,EUR,958608000,F,7,7,False,15.0,12.0,,,0.0,4.0,5.0,9.0,12.0,,2.0,,,90.0,39.0,6.8,14.0,0.0617833,0,,,,2.0,1.0,6.0,5.0,,3.0,,,,1.0,,4.0,1.0,,,1.0,,,1.0,2.0,3.0,,,,,1.0,,1.0,1.0,,,
