match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_wasFouled,player_firstName,player_lastName,stat_challengeLost,stat_bigChanceCreated,stat_fouls,captain,stat_blockedScoringAttempt,stat_totalOffside,stat_accurateCross,stat_clearanceOffLine,stat_outfielderBlock,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_errorLeadToAGoal
12437057,home,Nottingham Forest,Matz Sels,matz-sels,M. Sels,G,26,188,2413,M,78152,EUR,699062400,G,26,26,False,18.0,10.0,15.0,7.0,0.0,5.0,5.0,5.0,13.0,4.0,1.0,90.0,21.0,6.9,8.0,0.00217806,0,0.0334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437057,home,Nottingham Forest,Ola Aina,ola-aina,O. Aina,D,34,182,4052,M,800417,EUR,844732800,D,34,34,False,34.0,31.0,2.0,1.0,0.0,14.0,16.0,17.0,20.0,4.0,,89.0,62.0,7.9,14.0,0.0330841,1,,2.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,0.0735,0.4806,1.0,,,,,,,,,,,,,,,,,,,
12437057,home,Nottingham Forest,Nikola Milenković,nikola-milenkovic,N. Milenković,D,31,195,5064,M,836168,EUR,876614400,D,31,31,False,35.0,32.0,4.0,3.0,0.0,19.0,20.0,13.0,15.0,2.0,,90.0,44.0,7.0,4.0,0.12938,2,,,1.0,3.0,3.0,,,,1.0,,4.0,,1.0,1.0,,0.4333,0.4705,1.0,milenkovicn_4,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,
12437057,home,Nottingham Forest,Murillo,murillo,Murillo,D,5,180,9781,M,1199282,EUR,1025740800,D,5,5,False,45.0,36.0,9.0,4.0,0.0,18.0,21.0,18.0,24.0,3.0,,90.0,57.0,7.2,11.0,0.0289893,2,,,2.0,3.0,3.0,1.0,,,,,5.0,,,,1.0,0.0776,,1.0,murillosantiago40,1.0,,2.0,1.0,Murillo,,1.0,,,,,,,,,,,
12437057,home,Nottingham Forest,Álex Moreno,alex-moreno,Á. Moreno,D,24,179,1206,M,294593,EUR,739497600,D,19,19,False,54.0,46.0,4.0,3.0,1.0,19.0,21.0,27.0,34.0,4.0,,90.0,80.0,7.6,17.0,0.581714,1,,1.0,1.0,8.0,3.0,2.0,2.0,2.0,,,3.0,1.0,,,2.0,0.0326,,1.0,,1.0,,1.0,,,,3.0,1.0,2.0,,,,,,,,,
12437057,home,Nottingham Forest,Ryan Yates,ryan-yates,R. Yates,M,22,190,881,M,846252,EUR,880070400,M,22,22,False,58.0,45.0,1.0,,0.0,22.0,27.0,23.0,31.0,8.0,,90.0,75.0,6.8,14.0,0.0171294,2,,,3.0,6.0,6.0,1.0,,,,,3.0,1.0,2.0,1.0,,0.0629,,,,2.0,,,1.0,,,1.0,,2.0,True,2.0,1.0,,,,,,
12437057,home,Nottingham Forest,Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179,3183,M,871765,EUR,898992000,M,16,16,False,54.0,48.0,3.0,1.0,0.0,17.0,19.0,31.0,35.0,3.0,,90.0,70.0,7.5,8.0,0.0939385,2,,,2.0,4.0,7.0,,,,,,1.0,1.0,5.0,2.0,2.0,0.1529,,1.0,,1.0,,2.0,,,,3.0,,,,,,,,,,,
12437057,home,Nottingham Forest,Anthony Elanga,anthony-elanga,A. Elanga,M,20,178,10434,M,979232,EUR,1019865600,M,21,21,False,12.0,8.0,2.0,,0.0,4.0,6.0,5.0,16.0,4.0,,63.0,32.0,6.8,16.0,0.0866265,0,,10.0,,4.0,2.0,,2.0,,,,3.0,,1.0,1.0,1.0,,,1.0,anthonyelanga,2.0,,,1.0,,,,,,,,,1.0,,,,,
12437057,home,Nottingham Forest,Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6974,M,865912,EUR,948931200,M,10,10,False,37.0,33.0,2.0,2.0,0.0,10.0,10.0,23.0,27.0,1.0,,63.0,46.0,7.3,5.0,0.0902154,1,,,,2.0,4.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,,0.1589,,1.0,Morgangibbs27,,,,1.0,,,,,1.0,,1.0,,,,,,,
12437057,home,Nottingham Forest,Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9224,M,867442,EUR,973555200,M,14,14,False,50.0,48.0,2.0,2.0,0.0,5.0,6.0,43.0,47.0,6.0,,89.0,66.0,8.5,9.0,0.153948,4,,3.0,,2.0,1.0,,1.0,,2.0,1.0,,1.0,1.0,1.0,3.0,0.2713,0.2599,4.0,Calteck10,,,2.0,,,,1.0,,,,,,,,,,,
